"","group","lib.size","norm.factors"
"MCL1.DG","B.virgin",23064696,1.23771911428738
"MCL1.DH","B.virgin",21606688,1.21433735240398
"MCL1.DI","B.pregnant",23899772,1.12611860814003
"MCL1.DJ","B.pregnant",22473268,1.06984991343353
"MCL1.DK","B.lactating",21368942,1.03751264348685
"MCL1.DL","B.lactating",19872559,1.08795580374475
"MCL1.LA","L.virgin",20186601,1.37060928365276
"MCL1.LB","L.virgin",21482079,1.36786024694196
"MCL1.LC","L.pregnant",22051964,1.00475959515299
"MCL1.LD","L.pregnant",21818098,0.922776770362403
"MCL1.LE","L.lactating",24628916,0.527565867861586
"MCL1.LF","L.lactating",24571420,0.533501940562714
