"Length","Symbol","logFC","logCPM","F","PValue","FDR"
1699,"Serpinb11",-7.25521571365411,3.0046647953846,629.31314240412,6.20120213072698e-13,9.71418313778381e-09
625,"Glycam1",7.16239317337915,14.4907024280579,625.721972178911,5.60164540446784e-12,3.9117931750742e-08
9437,"Ncam1",3.53483944082619,3.97218964257183,419.865857521577,9.91426891792011e-12,3.9117931750742e-08
4731,"Septin3",3.37209759240397,4.59782027472432,541.558646369267,9.9886196618556e-12,3.9117931750742e-08
1478,"Ckb",3.10965739941281,7.17285271478088,548.160118659641,1.25945874041144e-11,3.94588423370903e-08
920,"Csn1s2a",7.63639470930897,15.5178724798732,530.368494772515,1.52828030069127e-11,3.99008515172146e-08
1251,"Them5",-3.94710450309937,1.76032276018514,291.59830865235,4.41209242087149e-11,9.87363253899313e-08
953,"Id3",-2.73999999500726,5.10119242061893,428.52444381815,5.55868824221127e-11,1.08846064142799e-07
2768,"F2rl1",-3.15692686294348,5.61901764048631,400.462916992543,8.34488615485483e-11,1.45247379573112e-07
2103,"Nrg1",2.92373760962356,6.90066859365841,374.506398744423,1.31731307139901e-10,2.06357092634654e-07
2209,"Gm9885",3.5168262561845,1.68711444324153,276.37436539686,1.94489344810014e-10,2.76970507858988e-07
3222,"Nkd2",-3.16183740166961,2.89828779426934,258.940290123985,2.2042916494732e-10,2.87751905741648e-07
1986,"Apol10b",2.38910106252243,3.96284374955226,324.905528179333,3.00532646404797e-10,3.62001414831103e-07
4711,"Lgr5",-3.97074826996783,4.29056853971863,218.140730016065,3.23525043577111e-10,3.62001414831103e-07
3490,"Serpinb10",-3.63486352145684,1.81749207915579,347.33290000173,3.96821469850267e-10,4.14413888346962e-07
2859,"Fmod",3.35071759659537,8.06648112255628,305.970698971924,4.38899077019122e-10,4.19132058118262e-07
640,"Fabp3",4.09446466821984,9.29738199799852,301.819262953356,4.54851260007051e-10,4.19132058118262e-07
4605,"Psd2",2.02424850815128,5.22538249893711,233.920586005454,5.03620753913772e-10,4.22254347537666e-07
3436,"Sema3b",-4.14821586360689,3.47614790340423,298.168409862407,5.12150182139525e-10,4.22254347537666e-07
3108,"Nphs2",3.92678623935202,1.06657712181236,182.84436127965,6.06764647879043e-10,4.70080455116039e-07
14743,"Lrp1b",3.73490228481128,2.35645955578036,204.544999483451,6.51718892794856e-10,4.70080455116039e-07
4652,"Hpcal4",3.59603597830312,4.69358506339946,260.697080661091,6.60183211781222e-10,4.70080455116039e-07
5008,"Malt1",-2.03249265786579,5.51804236502929,274.95420529077,7.91857958404607e-10,5.07469384742332e-07
7981,"Pgm5",2.58646149018018,8.28354752437467,274.293065763437,8.03791162838164e-10,5.07469384742332e-07
1676,"Pnck",3.01818764190066,5.07979189828444,273.581003762629,8.36133621676194e-10,5.07469384742332e-07
562,"Wap",7.17374173959315,14.0621611204813,271.247026783144,8.59093774392492e-10,5.07469384742332e-07
1120,"Csn2",6.63209823908511,15.3296016001632,270.38943143942,8.7466794689071e-10,5.07469384742332e-07
6330,"Adcy7",-3.30365837878709,3.17162140019837,265.872969267982,1.01049670243969e-09,5.65336815847061e-07
531,"Ppp1r14a",2.8149259078111,4.45701251154968,252.55489159906,1.06641584255601e-09,5.76048419780685e-07
5771,"Iqgap2",-3.69391269256865,4.98801194032193,259.732966172894,1.1106893338574e-09,5.7996494716254e-07
1315,"Actg2",2.64227891752559,7.91538077555754,255.352971232913,1.277584375338e-09,6.45592233537733e-07
1416,"Csn1s1",5.11755391948099,15.1376511943172,250.12272390964,1.3883970924845e-09,6.70760346511833e-07
11050,"Celsr1",-2.8172902885796,4.41680530527507,249.413667207072,1.41302849887587e-09,6.70760346511833e-07
1330,"Igfbp2",2.6453807684378,8.68184244101257,246.56238346868,1.51905099523821e-09,6.99880407070781e-07
1835,"Bcl3",-1.62837232459444,7.18388522162626,243.744080178811,1.61772045494462e-09,7.24045455048784e-07
5275,"Zfp281",1.43684427216014,6.008576766844,241.274618218056,1.71819603478148e-09,7.4765391346811e-07
3205,"Eogt",1.75431780644378,7.38568877111497,238.921027695703,1.82089485231123e-09,7.70927509769067e-07
11860,"Tanc2",-2.18181086037515,6.68125858874832,232.444965498272,2.14135321286128e-09,8.75609478528795e-07
3920,"Galnt16",-2.33660704915956,3.38535426267812,184.462601740193,2.2292578062844e-09,8.75609478528795e-07
2290,"Cdh13",1.70376798459259,6.4514674887045,230.678645073832,2.24276627542287e-09,8.75609478528795e-07
2109,"Ackr4",2.88799792856004,5.3669355090604,185.430434292068,2.29173243662181e-09,8.75609478528795e-07
4312,"Plekha7",-1.98816624380378,4.75817899790078,228.761024627684,2.35323240507493e-09,8.77699657749971e-07
3161,"St8sia6",-3.19356489340201,2.67846512456047,228.925830485319,2.43869015765006e-09,8.88420495804378e-07
3549,"Ptch2",-3.27106890991287,2.20229489663188,226.545324163312,2.6964679589687e-09,9.60003876755563e-07
5330,"Podxl",-2.15228651338379,6.67465444583565,220.433550540861,2.92785460119225e-09,9.9779316215388e-07
4399,"Fgfr3",-2.61072921462179,4.41518186025743,220.450424136608,2.93000226358624e-09,9.9779316215388e-07
5504,"Ptpru",-2.45950409411021,4.21823020400017,219.700068183432,3.02993279096618e-09,1.00987015256352e-06
1607,"Popdc1",3.57337402372508,2.32674907305386,239.161373177115,3.31107797194208e-09,1.06607546597456e-06
7100,"Tnc",-3.0421062400059,6.81782829870514,215.609083554788,3.33467589101521e-09,1.06607546597456e-06
1658,"Spp1",3.08248674221377,12.962879589918,213.525452304581,3.53042840949529e-09,1.10608322069488e-06
2532,"Plat",-3.13296113579137,5.57562152864228,208.890731223238,4.02343580060274e-09,1.23582591796945e-06
3800,"Cyrib",1.64571263044416,5.72098506968554,206.818904147117,4.2580816652761e-09,1.26990770514383e-06
4086,"Spaar",3.90844348287221,2.29676334910233,208.525860611595,4.29652782461685e-09,1.26990770514383e-06
7866,"Synm",3.03138364037035,8.36443968179596,204.766086194505,4.52185515156302e-09,1.31175668424509e-06
5171,"Ntrk3",2.80189580674716,7.61967023806857,201.854766807541,4.94054074245334e-09,1.40418121433424e-06
8253,"Ptprj",1.69210520888245,5.72490055124328,201.094488971432,5.01973495070012e-09,1.40418121433424e-06
544,"Wfdc18",3.2484936520978,10.4109797993403,199.705242538341,5.2279161043182e-09,1.43675975042359e-06
2241,"Tprkb",1.58931081163734,4.83216156454242,197.888555834223,5.51550800216026e-09,1.48678587027563e-06
2761,"Dmpk",2.59357183726047,6.66654727907142,197.376976118868,5.59976803997844e-09,1.48678587027563e-06
3346,"Micall2",1.82351271136925,5.19232948823275,195.11396187642,5.99051471911191e-09,1.56402355124813e-06
8308,"Vldlr",2.40105399018128,5.3083485887375,194.072944872047,6.18108480716062e-09,1.58732284433067e-06
982,"Ifi30",1.4821325285807,7.07288522824,193.133903308118,6.35818260029367e-09,1.60646661989678e-06
3849,"Pigr",5.62341680749633,8.97634156587815,190.289893143544,6.96838999009246e-09,1.73188947209052e-06
2493,"Ldlrad4",-2.45983996417127,3.80260431346232,189.642075646092,7.07570547167529e-09,1.73188947209052e-06
5722,"Car8",-3.19471070316485,3.96874516496663,187.937939923482,7.46162712105066e-09,1.75800643106428e-06
10480,"Fbn2",-1.98379533216733,4.04911638450398,180.813640254927,7.51551494854567e-09,1.75800643106428e-06
1597,"Csn3",2.96246334117303,13.4606078963203,187.667455645362,7.51908272462857e-09,1.75800643106428e-06
2039,"Htra1",2.15596957413954,6.38667285221373,184.72705952647,8.26187299153529e-09,1.90326824135883e-06
8547,"Scn5a",-2.43820577181485,4.61169258946451,147.897384720827,9.13176355182118e-09,2.07317501506201e-06
1589,"Ckmt1",2.72845978548265,4.97590975534883,179.041168181512,9.89214863280875e-09,2.14164136463677e-06
2491,"Psat1",2.19550302469763,6.21107107187171,179.002853295008,9.90394993493749e-09,2.14164136463677e-06
4188,"Kcnmb1",1.69282447926148,5.40751901512702,166.463868087873,9.91230355397093e-09,2.14164136463677e-06
6080,"Sez6l",2.03816660319402,3.96338633957628,138.130079700003,9.9801991457698e-09,2.14164136463677e-06
1494,"Serpinf1",1.72415765877066,5.0325941083924,177.546911834253,1.04031159989355e-08,2.20123549090658e-06
