"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0006325","chromatin organization","BP",1193,15,53,0.999691541767383,0.565833916408764
"GO:0006338","chromatin remodeling","BP",1073,15,51,0.997985652175306,0.365337023374531
"GO:0006468","protein phosphorylation","BP",1074,26,72,0.675989831583282,0.000431756906658289
"GO:0006793","phosphorus metabolic process","BP",2060,48,114,0.813724283811912,0.0106653157285177
"GO:0006796","phosphate-containing compound metabolic process","BP",2059,48,114,0.812703976419145,0.010516585944996
"GO:0006915","apoptotic process","BP",1763,53,93,0.144093652695897,0.0582485837697348
"GO:0007275","multicellular organism development","BP",4052,130,210,0.00320237909982409,0.00971837891639532
"GO:0007399","nervous system development","BP",2190,73,97,0.0139100909585571,0.592071103862004
"GO:0007417","central nervous system development","BP",840,26,37,0.20316569930692,0.583156913949314
"GO:0007420","brain development","BP",604,14,27,0.707392496710645,0.546421431213642
"GO:0008150","biological_process","BP",14713,386,675,0.253319738276173,0.0288470342053828
"GO:0008152","metabolic process","BP",8918,207,402,0.994565115997465,0.51374150419069
"GO:0008219","cell death","BP",1824,55,96,0.133583139337522,0.057445780452652
"GO:0009987","cellular process","BP",12836,342,619,0.147722991337668,1.47459609128516e-05
"GO:0012501","programmed cell death","BP",1823,55,96,0.132687719492847,0.0568096691431902
"GO:0016043","cellular component organization","BP",5886,162,311,0.186765581136942,0.00018120596437214
"GO:0016310","phosphorylation","BP",1158,29,74,0.610551253659293,0.00137517558226994
"GO:0018108","peptidyl-tyrosine phosphorylation","BP",243,5,21,0.760525918223485,0.0033318014559521
"GO:0018193","peptidyl-amino acid modification","BP",665,15,43,0.74951242194835,0.0110591195875226
"GO:0018212","peptidyl-tyrosine modification","BP",247,5,21,0.772818543802943,0.00403015492113166
"GO:0019538","protein metabolic process","BP",3922,77,165,0.998760698719364,0.862410731734511
"GO:0032501","multicellular organismal process","BP",5554,176,300,0.000605673477098314,4.5078810874881e-05
"GO:0032502","developmental process","BP",5366,179,278,2.37512770973813e-05,0.00206151583830934
"GO:0036211","protein modification process","BP",2379,52,114,0.928047640904984,0.248168287855767
"GO:0038083","peptidyl-tyrosine autophosphorylation","BP",20,1,0,0.409522165633409,1
"GO:0043170","macromolecule metabolic process","BP",7338,167,337,0.992620970635699,0.32738174668049
"GO:0043412","macromolecule modification","BP",2525,52,129,0.975646565897705,0.0634827329280611
"GO:0044238","primary metabolic process","BP",8034,179,355,0.998815686496885,0.720495806925596
"GO:0046777","protein autophosphorylation","BP",187,2,8,0.957259796458937,0.610446884301583
"GO:0048513","animal organ development","BP",2653,92,145,0.0017276842906951,0.00606491776025556
"GO:0048731","system development","BP",3458,116,165,0.00123787754763796,0.210042757896538
"GO:0048856","anatomical structure development","BP",4986,171,259,7.70623803577434e-06,0.0028413563700681
"GO:0051402","neuron apoptotic process","BP",334,10,14,0.369152959053417,0.648437034849872
"GO:0060322","head development","BP",660,15,28,0.739342219852799,0.658506458731945
"GO:0071840","cellular component organization or biogenesis","BP",6075,162,342,0.351753019842612,5.95305551041837e-08
"GO:0002237","response to molecule of bacterial origin","BP",302,4,27,0.956419900395931,0.000564558999025035
"GO:0002790","peptide secretion","BP",250,10,17,0.117647391524985,0.0603374197880842
"GO:0006066","alcohol metabolic process","BP",283,23,7,1.43463193490698e-06,0.973734099077452
"GO:0006497","protein lipidation","BP",54,2,0,0.411255705296462,1
"GO:0006629","lipid metabolic process","BP",1121,37,45,0.0788369776821879,0.814971590501078
"GO:0006810","transport","BP",3647,87,178,0.836633466857202,0.116241754223009
"GO:0006869","lipid transport","BP",339,7,17,0.781684716449567,0.36031984324612
"GO:0006897","endocytosis","BP",611,15,29,0.62659332305141,0.413589432165156
"GO:0006909","phagocytosis","BP",180,8,10,0.097858924364963,0.294091053139896
"GO:0006911","phagocytosis, engulfment","BP",41,2,4,0.288541838942208,0.111779486275645
"GO:0006950","response to stress","BP",3306,83,192,0.65852860542544,4.7630659868128e-05
"GO:0006996","organelle organization","BP",3205,92,188,0.152864137607526,3.27670800546924e-05
"GO:0007033","vacuole organization","BP",229,5,7,0.713601081058754,0.895979163367181
"GO:0007040","lysosome organization","BP",96,1,3,0.920737800727986,0.813419241056555
"GO:0007154","cell communication","BP",4740,160,270,5.02046465561427e-05,2.16653939170464e-06
"GO:0007165","signal transduction","BP",4314,146,243,0.000122179258864514,2.43487572404964e-05
"GO:0007166","cell surface receptor signaling pathway","BP",2213,68,117,0.0768523022469179,0.0338731862174399
"GO:0007186","G protein-coupled receptor signaling pathway","BP",535,27,36,0.000804827873517912,0.0108400939539623
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","BP",153,8,7,0.0465038540086385,0.538378835570097
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP",109,7,6,0.0235507624287621,0.368212980702503
"GO:0007264","small GTPase-mediated signal transduction","BP",406,13,18,0.259003337381415,0.563292269580056
"GO:0007266","Rho protein signal transduction","BP",129,7,6,0.0513124838533997,0.527621753990198
"GO:0007267","cell-cell signaling","BP",1028,33,67,0.121770559548833,0.00141846252743664
"GO:0007584","response to nutrient","BP",156,5,10,0.38168987303943,0.16689804299449
"GO:0008104","protein localization","BP",2375,57,102,0.764786273651142,0.721496756929728
"GO:0008202","steroid metabolic process","BP",239,20,7,4.49677295319701e-06,0.918041440380884
"GO:0008203","cholesterol metabolic process","BP",119,15,2,4.52458080283475e-07,0.973023316057974
"GO:0009058","biosynthetic process","BP",6374,142,290,0.993480765252265,0.429691893321642
"GO:0009059","macromolecule biosynthetic process","BP",5554,119,254,0.996968188959521,0.397423580828118
"GO:0009306","protein secretion","BP",346,15,18,0.0372876523755121,0.298777152924018
"GO:0009410","response to xenobiotic stimulus","BP",350,10,28,0.425164362933566,0.00242679301049689
"GO:0009605","response to external stimulus","BP",1859,57,121,0.10323451279956,1.56888042242403e-05
"GO:0009607","response to biotic stimulus","BP",1254,28,88,0.825907959933048,1.82781128252667e-05
"GO:0009617","response to bacterium","BP",559,21,42,0.0586506013888117,0.000829251593856079
"GO:0009966","regulation of signal transduction","BP",2651,81,149,0.0619249006235451,0.00181680141784296
"GO:0010256","endomembrane system organization","BP",518,17,11,0.1930326450165,0.998839769465016
"GO:0010324","membrane invagination","BP",58,2,5,0.447018374345121,0.119570388625948
"GO:0010646","regulation of cell communication","BP",3041,90,179,0.092846579876228,4.51483215771864e-05
"GO:0010874","regulation of cholesterol efflux","BP",30,2,0,0.182681871960431,1
"GO:0010875","positive regulation of cholesterol efflux","BP",21,1,0,0.424883270049337,1
"GO:0010876","lipid localization","BP",359,7,19,0.828097813247469,0.267239511852208
"GO:0015031","protein transport","BP",1342,29,43,0.8752158781824,0.99503432183815
"GO:0015748","organophosphate ester transport","BP",132,3,5,0.670655896747822,0.715299868385804
"GO:0015833","peptide transport","BP",274,10,19,0.177378156820466,0.0418172172600359
"GO:0015850","organic hydroxy compound transport","BP",220,5,8,0.680203381213133,0.780126856848039
"GO:0015914","phospholipid transport","BP",78,2,2,0.605418551737731,0.872352431079958
"GO:0015918","sterol transport","BP",88,4,1,0.195534229480055,0.982918640524046
"GO:0016050","vesicle organization","BP",344,11,5,0.283529277221619,0.999569016700391
"GO:0016125","sterol metabolic process","BP",125,15,2,8.59870149859491e-07,0.978707213566924
"GO:0016192","vesicle-mediated transport","BP",1394,31,58,0.843725579857899,0.761839902819002
"GO:0016197","endosomal transport","BP",272,6,5,0.713432011334635,0.994751335145951
"GO:0022607","cellular component assembly","BP",2707,60,137,0.927194739586999,0.0713414187173932
"GO:0023051","regulation of signaling","BP",3039,90,176,0.0917352344280605,0.000131488418934526
"GO:0023052","signaling","BP",4720,160,270,3.94112156200144e-05,1.48982465552118e-06
"GO:0023061","signal release","BP",478,16,29,0.181506067806408,0.0642863163374227
"GO:0030301","cholesterol transport","BP",84,4,1,0.174631527531842,0.97943712744028
"GO:0031334","positive regulation of protein-containing complex assembly","BP",195,6,9,0.395874159864211,0.519248496139737
"GO:0031667","response to nutrient levels","BP",469,11,22,0.678194817871107,0.454588825605677
"GO:0032365","intracellular lipid transport","BP",42,2,0,0.298211309286053,1
"GO:0032366","intracellular sterol transport","BP",32,2,0,0.201632335734658,1
"GO:0032367","intracellular cholesterol transport","BP",29,2,0,0.173309675379325,1
