"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0010965","regulation of mitotic sister chromatid separation",58,-0.775039111345705,-2.46572629306882,0.00131406044678055,0.0371949685534591,0.0321482952664681,1509,"tags=45%, list=10%, signal=41%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/68612/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0051306","mitotic sister chromatid separation",61,-0.767315948437066,-2.46226858040579,0.00129198966408269,0.0371949685534591,0.0321482952664681,1509,"tags=43%, list=10%, signal=39%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/68612/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0031577","spindle checkpoint signaling",53,-0.775557384995385,-2.43305671506162,0.00132978723404255,0.0371949685534591,0.0321482952664681,1825,"tags=53%, list=12%, signal=47%","16319/20878/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/20460/18817/268697/12236/208628/56419/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0051985","negative regulation of chromosome segregation",52,-0.779607961809323,-2.4299837355429,0.00134228187919463,0.0371949685534591,0.0321482952664681,1509,"tags=50%, list=10%, signal=45%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/214901/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",50,-0.785132745018748,-2.42891641884441,0.00134770889487871,0.0371949685534591,0.0321482952664681,1509,"tags=50%, list=10%, signal=45%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:1905819","negative regulation of chromosome separation",50,-0.785132745018748,-2.42891641884441,0.00134770889487871,0.0371949685534591,0.0321482952664681,1509,"tags=50%, list=10%, signal=45%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0071174","mitotic spindle checkpoint signaling",49,-0.789566341271612,-2.42149847455908,0.00136425648021828,0.0371949685534591,0.0321482952664681,1400,"tags=51%, list=9%, signal=47%","219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/20460/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0033046","negative regulation of sister chromatid segregation",49,-0.788776499223804,-2.41907613052801,0.00136425648021828,0.0371949685534591,0.0321482952664681,1509,"tags=51%, list=10%, signal=46%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0033048","negative regulation of mitotic sister chromatid segregation",49,-0.788776499223804,-2.41907613052801,0.00136425648021828,0.0371949685534591,0.0321482952664681,1509,"tags=51%, list=10%, signal=46%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition",49,-0.788776499223804,-2.41907613052801,0.00136425648021828,0.0371949685534591,0.0321482952664681,1509,"tags=51%, list=10%, signal=46%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
