"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0006325","chromatin organization","BP",1193,59,124,0.999999941763382,0.617156614068489
"GO:0006338","chromatin remodeling","BP",1073,57,117,0.999996610451913,0.390995465421334
"GO:0006468","protein phosphorylation","BP",1074,103,145,0.182425459182148,0.00119181914376761
"GO:0006793","phosphorus metabolic process","BP",2060,190,234,0.239695126168283,0.128264170157195
"GO:0006796","phosphate-containing compound metabolic process","BP",2059,190,234,0.237402389158687,0.126544004271151
"GO:0006915","apoptotic process","BP",1763,170,234,0.0983528218928633,0.000106878645107631
"GO:0007275","multicellular organism development","BP",4052,424,550,9.82028411235808e-06,2.42788704331732e-12
"GO:0007399","nervous system development","BP",2190,217,289,0.0267423715475416,2.21428902952009e-05
"GO:0007417","central nervous system development","BP",840,73,119,0.560659167889522,0.000568700177866997
"GO:0007420","brain development","BP",604,46,80,0.868249159782894,0.0214966545250534
"GO:0008150","biological_process","BP",14713,1304,1593,0.113167417758285,0.000265374552302625
"GO:0008152","metabolic process","BP",8918,669,928,0.999999999970367,0.843180957083575
"GO:0008219","cell death","BP",1824,177,244,0.0788011674086589,4.40829298055137e-05
"GO:0009987","cellular process","BP",12836,1110,1441,0.9154529888748,2.98238548365687e-08
"GO:0012501","programmed cell death","BP",1823,177,243,0.0776510512042189,5.81879007344021e-05
"GO:0016043","cellular component organization","BP",5886,518,728,0.496809412471589,2.47183407235098e-08
"GO:0016310","phosphorylation","BP",1158,112,152,0.147761829999983,0.00287617146457921
"GO:0018108","peptidyl-tyrosine phosphorylation","BP",243,22,40,0.475133539551342,0.00327148936350742
"GO:0018193","peptidyl-amino acid modification","BP",665,49,78,0.921011683408456,0.186314439122559
"GO:0018212","peptidyl-tyrosine modification","BP",247,23,40,0.417765898356498,0.0043765482148389
"GO:0019538","protein metabolic process","BP",3922,286,395,0.999957175395137,0.905189133787518
"GO:0032501","multicellular organismal process","BP",5554,587,745,4.95523373025664e-09,6.06067284798765e-17
