"NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","Contrast"
62,"Up",0.0148153403611496,0.0197537871481995,5.17175045791196e-07,1.03435009158239e-06,"B.LvsP"
39,"Up",0.0275821055477362,0.0330985266572834,6.81406524162162e-05,6.81406524162162e-05,"B.LvsP"
62,"Up",0.0376466176338125,0.0410690374187045,4.99297512478201e-06,4.99297512478201e-06,"B.PvsV"
39,"Up",0.492184159166024,0.492184159166024,2.12252465360982e-06,4.24504930721963e-06,"B.PvsV"
62,"Up",0.000658163077735456,0.00112827956183221,3.93450089767693e-06,6.63703051427016e-06,"B.LvsV"
39,"Up",0.00915867212343914,0.0137380081851587,6.63703051427016e-06,6.63703051427016e-06,"B.LvsV"
62,"Up",1.13939783000639e-05,2.73455479201533e-05,1.63520633890025e-09,3.27041267780049e-09,"L.LvsP"
39,"Up",0.000164141786947669,0.000328283573895339,3.91777169259958e-06,3.91777169259958e-06,"L.LvsP"
62,"Up",3.34791231303864e-07,1.87662133591691e-06,3.77322632309885e-11,7.54645264619771e-11,"L.PvsV"
39,"Up",4.40041847109851e-06,1.32012554132955e-05,1.12092254037293e-08,1.12092254037293e-08,"L.PvsV"
62,"Up",2.1760265470449e-08,2.61123185645388e-07,1.27215167680862e-11,2.54430335361723e-11,"L.LvsV"
39,"Up",4.69155333979228e-07,1.87662133591691e-06,7.51430916163077e-09,7.51430916163077e-09,"L.LvsV"
