"NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","Contrast"
62,"Down",0.0304736192418894,0.0609472384837788,6.17621904337351e-06,6.17621904337351e-06,"B.LvsP"
39,"Up",0.981012716318821,0.981012716318821,1.9634478857065e-06,3.92689577141299e-06,"B.LvsP"
39,"Down",0.132461749093019,0.264923498186037,2.83709671714039e-06,2.83709671714039e-06,"B.PvsV"
62,"Down",0.365497157361721,0.365497157361721,5.24820108114595e-07,1.04964021622919e-06,"B.PvsV"
62,"Down",0.00777522136218303,0.0155504427243661,3.35427610824887e-06,3.35427610824887e-06,"B.LvsV"
39,"Down",0.135446572810075,0.135446572810075,1.25215267956626e-06,2.50430535913252e-06,"B.LvsV"
62,"Down",0.000562254512797646,0.00112450902559529,4.30707224407798e-08,4.30707224407798e-08,"L.LvsP"
39,"Down",0.0101677339568059,0.0101677339568059,1.87236436248524e-08,3.74472872497048e-08,"L.LvsP"
62,"Down",0.0169102788582238,0.0338205577164477,3.64458167542655e-10,7.28916335085311e-10,"L.PvsV"
39,"Down",0.571563637457485,0.571563637457485,2.07230929556365e-06,2.07230929556365e-06,"L.PvsV"
62,"Down",6.92252358152879e-05,0.000138450471630576,7.17435754740606e-09,7.17435754740606e-09,"L.LvsV"
39,"Down",0.00781746088872869,0.00781746088872869,4.57813229654822e-13,9.15626459309645e-13,"L.LvsV"
