"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0006325","chromatin organization","BP",1193,89,131,0.999987927285826,0.0685503736445267
"GO:0006338","chromatin remodeling","BP",1073,83,121,0.99987539766071,0.0420541395967133
"GO:0006468","protein phosphorylation","BP",1074,124,167,0.260557044140311,2.39807080856645e-10
"GO:0006793","phosphorus metabolic process","BP",2060,309,248,5.43667807766705e-10,0.000104794163412683
"GO:0006796","phosphate-containing compound metabolic process","BP",2059,309,248,5.14570253659862e-10,0.000101510473287444
"GO:0006915","apoptotic process","BP",1763,206,239,0.14522445763092,1.73483104047049e-08
"GO:0007275","multicellular organism development","BP",4052,413,547,0.960157234562766,2.54269765308024e-20
"GO:0007399","nervous system development","BP",2190,176,289,0.999999424023706,6.15542663265587e-09
"GO:0007417","central nervous system development","BP",840,79,105,0.935599342922821,0.00377801594814
"GO:0007420","brain development","BP",604,56,73,0.919969835575665,0.028430810793596
"GO:0008150","biological_process","BP",14713,1616,1457,0.156056659432334,0.000320881893103076
"GO:0008152","metabolic process","BP",8918,990,864,0.203866039559585,0.540080091209575
"GO:0008219","cell death","BP",1824,218,246,0.0720982535810278,1.6271868197359e-08
"GO:0009987","cellular process","BP",12836,1444,1307,0.00211984235820894,5.46980298584303e-06
"GO:0012501","programmed cell death","BP",1823,218,246,0.0708883631749331,1.54850156145426e-08
"GO:0016043","cellular component organization","BP",5886,585,666,0.998982425649126,9.07546590551803e-08
"GO:0016310","phosphorylation","BP",1158,140,174,0.101055514690453,1.46534577020458e-09
"GO:0018108","peptidyl-tyrosine phosphorylation","BP",243,26,43,0.574322716500145,7.50987236854243e-05
"GO:0018193","peptidyl-amino acid modification","BP",665,72,92,0.549264397781615,0.000286812744504399
"GO:0018212","peptidyl-tyrosine modification","BP",247,26,44,0.609043038382715,5.29260670249941e-05
"GO:0019538","protein metabolic process","BP",3922,404,417,0.927991350389489,0.0130910641225393
"GO:0032501","multicellular organismal process","BP",5554,623,717,0.19232961265578,3.31181957085266e-23
"GO:0032502","developmental process","BP",5366,574,704,0.745504085298959,9.75043661369503e-25
"GO:0036211","protein modification process","BP",2379,260,283,0.502910188007618,7.35827768762066e-05
"GO:0038083","peptidyl-tyrosine autophosphorylation","BP",20,2,3,0.658276648350324,0.306147668921324
"GO:0043170","macromolecule metabolic process","BP",7338,699,746,0.999999935701438,0.0351260603377999
"GO:0043412","macromolecule modification","BP",2525,265,288,0.780268708459749,0.00108586741397717
"GO:0044238","primary metabolic process","BP",8034,864,785,0.755490124525025,0.394723730886383
"GO:0046777","protein autophosphorylation","BP",187,17,29,0.821075490975827,0.00758755895853324
"GO:0048513","animal organ development","BP",2653,305,371,0.154461244426938,3.31185855346145e-15
"GO:0048731","system development","BP",3458,342,466,0.987493351378029,1.53229214356754e-16
"GO:0048856","anatomical structure development","BP",4986,526,663,0.849163460857643,2.26870531981913e-24
"GO:0051402","neuron apoptotic process","BP",334,33,41,0.755215886229794,0.0687464227575395
"GO:0060322","head development","BP",660,62,80,0.912876010548511,0.0212687677347814
"GO:0071840","cellular component organization or biogenesis","BP",6075,593,691,0.999906889239847,1.38922509093689e-08
"GO:0002237","response to molecule of bacterial origin","BP",302,34,52,0.451239660418129,3.02159654971222e-05
"GO:0002790","peptide secretion","BP",250,36,33,0.050667015215548,0.0423257942867206
"GO:0006066","alcohol metabolic process","BP",283,61,38,1.29504907072484e-07,0.0247062732093454
"GO:0006497","protein lipidation","BP",54,6,10,0.545985821307245,0.0330471527075522
"GO:0006629","lipid metabolic process","BP",1121,218,114,1.43567460180008e-18,0.307089575455889
"GO:0006810","transport","BP",3647,479,381,8.46509752341876e-07,0.0452982282045457
"GO:0006869","lipid transport","BP",339,66,40,1.95296898486262e-06,0.112092905336552
"GO:0006897","endocytosis","BP",611,83,81,0.0205088959313949,0.00223864980431063
"GO:0006909","phagocytosis","BP",180,21,21,0.40754837298431,0.2169596955736
"GO:0006911","phagocytosis, engulfment","BP",41,6,9,0.2872312109949,0.0150046020289127
"GO:0006950","response to stress","BP",3306,420,375,0.000144079978130805,0.000234223168473961
"GO:0006996","organelle organization","BP",3205,329,350,0.913225279977158,0.00540353167885499
"GO:0007033","vacuole organization","BP",229,28,21,0.290018534353439,0.641101856147026
"GO:0007040","lysosome organization","BP",96,11,7,0.480259382260418,0.834906608570804
"GO:0007154","cell communication","BP",4740,539,644,0.120075646589098,4.13995140469221e-26
"GO:0007165","signal transduction","BP",4314,498,586,0.0642162521978845,6.25867665651927e-23
"GO:0007166","cell surface receptor signaling pathway","BP",2213,230,334,0.812359557983947,1.6191865374223e-18
"GO:0007186","G protein-coupled receptor signaling pathway","BP",535,79,68,0.0031549533750603,0.0123638838626451
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","BP",153,22,19,0.108352660054723,0.157527246930082
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP",109,15,15,0.207035901839878,0.104922397515926
"GO:0007264","small GTPase-mediated signal transduction","BP",406,32,82,0.983969683949462,8.06908128404205e-11
"GO:0007266","Rho protein signal transduction","BP",129,9,36,0.950838869996232,3.29457062494131e-09
"GO:0007267","cell-cell signaling","BP",1028,118,145,0.289519629491127,1.78275166432067e-06
"GO:0007584","response to nutrient","BP",156,33,17,0.000138355701232658,0.34413312444511
"GO:0008104","protein localization","BP",2375,259,248,0.518964449716613,0.100464358644638
"GO:0008202","steroid metabolic process","BP",239,59,31,1.08129879879883e-09,0.0580810092255244
"GO:0008203","cholesterol metabolic process","BP",119,38,18,4.8122252827459e-10,0.0381842907162113
"GO:0009058","biosynthetic process","BP",6374,695,628,0.526304214315423,0.309713069124507
"GO:0009059","macromolecule biosynthetic process","BP",5554,509,572,0.999999941511861,0.0333484101337162
"GO:0009306","protein secretion","BP",346,49,36,0.0341207242453334,0.354043727612031
"GO:0009410","response to xenobiotic stimulus","BP",350,51,48,0.0194513676635112,0.00885718110145865
"GO:0009605","response to external stimulus","BP",1859,244,239,0.000824695172033311,1.41695964829366e-06
"GO:0009607","response to biotic stimulus","BP",1254,164,151,0.00690085073248834,0.00260424861678182
"GO:0009617","response to bacterium","BP",559,82,75,0.00319421700633566,0.00233885630779143
"GO:0009966","regulation of signal transduction","BP",2651,300,376,0.243758085470271,2.02291856963709e-16
"GO:0010256","endomembrane system organization","BP",518,66,47,0.101488360034444,0.710534593248481
"GO:0010324","membrane invagination","BP",58,7,12,0.449793384829009,0.0087863339353483
"GO:0010646","regulation of cell communication","BP",3041,344,432,0.226632096563162,2.38218693392636e-19
"GO:0010874","regulation of cholesterol efflux","BP",30,5,3,0.224633821216506,0.567506499200219
"GO:0010875","positive regulation of cholesterol efflux","BP",21,4,3,0.190181718949408,0.333808583433882
"GO:0010876","lipid localization","BP",359,72,43,2.06179422507809e-07,0.0862064273400863
"GO:0015031","protein transport","BP",1342,160,111,0.117634198215966,0.973323071821263
