"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0006325","chromatin organization","BP",1193,48,114,0.999999991269271,0.999931916364354
"GO:0006338","chromatin remodeling","BP",1073,45,106,0.999999804060582,0.999433980777935
"GO:0006468","protein phosphorylation","BP",1074,78,162,0.792063306213578,0.0189310301445098
"GO:0006793","phosphorus metabolic process","BP",2060,231,269,4.57568028962865e-09,0.450429311427494
"GO:0006796","phosphate-containing compound metabolic process","BP",2059,231,268,4.38082437924166e-09,0.474733481067551
"GO:0006915","apoptotic process","BP",1763,149,259,0.177147739601685,0.0124850394623027
"GO:0007275","multicellular organism development","BP",4052,332,683,0.192061105641269,2.94485039988553e-17
"GO:0007399","nervous system development","BP",2190,179,381,0.29382032168502,6.92910962658118e-11
"GO:0007417","central nervous system development","BP",840,79,151,0.0533200124649913,1.21335184645489e-05
"GO:0007420","brain development","BP",604,52,99,0.264806814143467,0.00737182075617903
"GO:0008150","biological_process","BP",14713,1179,1944,0.00286624373238442,4.20466584771035e-05
"GO:0008152","metabolic process","BP",8918,693,1045,0.702826580438779,0.999999941111963
"GO:0008219","cell death","BP",1824,154,265,0.175847424604675,0.019082426279606
"GO:0009987","cellular process","BP",12836,1040,1711,0.00947546048180754,0.00132724998751482
"GO:0012501","programmed cell death","BP",1823,154,264,0.173949172330326,0.0221783052372323
"GO:0016043","cellular component organization","BP",5886,421,810,0.995509628155819,0.0104767966793797
"GO:0016310","phosphorylation","BP",1158,89,172,0.61001164153858,0.0267375916173192
"GO:0018108","peptidyl-tyrosine phosphorylation","BP",243,18,49,0.640027029802566,0.000976098514017622
"GO:0018193","peptidyl-amino acid modification","BP",665,47,88,0.802034667454825,0.430850854812428
"GO:0018212","peptidyl-tyrosine modification","BP",247,18,49,0.66735277569204,0.00140736854531519
"GO:0019538","protein metabolic process","BP",3922,276,432,0.988654493603038,0.99998991592149
"GO:0032501","multicellular organismal process","BP",5554,486,905,0.00133842815915887,5.07779859754316e-20
"GO:0032502","developmental process","BP",5366,455,850,0.0215145929802589,1.01795568250672e-14
"GO:0036211","protein modification process","BP",2379,175,268,0.851503073438739,0.996858146177792
"GO:0038083","peptidyl-tyrosine autophosphorylation","BP",20,0,5,1,0.106817340893598
"GO:0043170","macromolecule metabolic process","BP",7338,443,861,1,0.999991386680077
"GO:0043412","macromolecule modification","BP",2525,180,274,0.939616176547209,0.999792365518377
"GO:0044238","primary metabolic process","BP",8034,584,924,0.997951555193512,0.999999987639175
"GO:0046777","protein autophosphorylation","BP",187,12,29,0.807453078792907,0.173237186280828
"GO:0048513","animal organ development","BP",2653,227,460,0.0799101461272116,5.61823522720587e-13
"GO:0048731","system development","BP",3458,273,603,0.482357573071984,3.67112691632061e-18
"GO:0048856","anatomical structure development","BP",4986,419,802,0.0470174198281045,2.40710333612666e-15
"GO:0051402","neuron apoptotic process","BP",334,24,51,0.708737252074734,0.117930054777638
"GO:0060322","head development","BP",660,54,108,0.400026295566578,0.00557080766927869
"GO:0071840","cellular component organization or biogenesis","BP",6075,426,811,0.99932283511885,0.124254404307397
"GO:0002237","response to molecule of bacterial origin","BP",302,44,56,5.00768268246411e-05,0.00332449330773011
"GO:0002790","peptide secretion","BP",250,31,41,0.00769755319146589,0.0649532940269467
"GO:0006066","alcohol metabolic process","BP",283,37,42,0.00154063525359528,0.191836661449113
"GO:0006497","protein lipidation","BP",54,6,5,0.249023002469338,0.845551692266176
"GO:0006629","lipid metabolic process","BP",1121,164,156,1.26090650861992e-15,0.170507650523232
"GO:0006810","transport","BP",3647,376,527,6.96451514295613e-10,0.00127066388589177
"GO:0006869","lipid transport","BP",339,59,52,5.09310550462517e-09,0.108911840645759
"GO:0006897","endocytosis","BP",611,67,101,0.00336860965247527,0.00535291365160342
"GO:0006909","phagocytosis","BP",180,28,35,0.000383918874549858,0.00860351742917084
"GO:0006911","phagocytosis, engulfment","BP",41,7,8,0.0389649431010751,0.15328205442475
"GO:0006950","response to stress","BP",3306,291,438,0.0140332952311244,0.292950164167182
"GO:0006996","organelle organization","BP",3205,209,402,0.999457152082991,0.788775748076454
"GO:0007033","vacuole organization","BP",229,21,25,0.262160261254053,0.847384269270572
"GO:0007040","lysosome organization","BP",96,6,7,0.776023153552575,0.972784556122207
"GO:0007154","cell communication","BP",4740,409,761,0.0109229598780734,4.07098623167936e-14
"GO:0007165","signal transduction","BP",4314,364,688,0.0544895897311753,8.04378613093775e-12
"GO:0007166","cell surface receptor signaling pathway","BP",2213,201,405,0.0131471379863454,5.4965736408312e-15
"GO:0007186","G protein-coupled receptor signaling pathway","BP",535,45,104,0.339413968406252,1.09407881444895e-05
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","BP",153,11,40,0.665988101681226,7.975784924532e-06
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP",109,7,23,0.763367614760805,0.0116076653089764
"GO:0007264","small GTPase-mediated signal transduction","BP",406,32,70,0.522146109453168,0.00713438917783263
"GO:0007266","Rho protein signal transduction","BP",129,12,27,0.315231686294244,0.00742299394788793
"GO:0007267","cell-cell signaling","BP",1028,94,189,0.066927194878589,1.87778542156445e-07
"GO:0007584","response to nutrient","BP",156,29,20,1.10035122711953e-05,0.555883018241009
"GO:0008104","protein localization","BP",2375,175,288,0.845458826555524,0.909811370187847
"GO:0008202","steroid metabolic process","BP",239,33,36,0.00108310581173821,0.187371280841231
"GO:0008203","cholesterol metabolic process","BP",119,15,17,0.0463520977244035,0.37146585862632
"GO:0009058","biosynthetic process","BP",6374,477,754,0.933207878329021,0.999772223898155
"GO:0009059","macromolecule biosynthetic process","BP",5554,339,672,0.999999999734616,0.991583670174733
"GO:0009306","protein secretion","BP",346,45,53,0.000571466031042375,0.108402172771391
"GO:0009410","response to xenobiotic stimulus","BP",350,49,53,5.45670301233337e-05,0.125380789191109
"GO:0009605","response to external stimulus","BP",1859,203,317,3.69469447678698e-07,3.54574663655812e-08
"GO:0009607","response to biotic stimulus","BP",1254,149,197,1.30263759868765e-07,0.00173734348318248
"GO:0009617","response to bacterium","BP",559,79,113,2.10109570582284e-07,6.4494144022746e-07
"GO:0009966","regulation of signal transduction","BP",2651,217,416,0.261652311401945,3.67009884696812e-06
"GO:0010256","endomembrane system organization","BP",518,45,64,0.261880747902949,0.679472476674527
"GO:0010324","membrane invagination","BP",58,8,11,0.0828077351847423,0.123241909737495
"GO:0010646","regulation of cell communication","BP",3041,262,476,0.0479523286584675,7.36478657117713e-07
"GO:0010874","regulation of cholesterol efflux","BP",30,2,8,0.69525869982152,0.0331158119057179
"GO:0010875","positive regulation of cholesterol efflux","BP",21,1,7,0.821164784967632,0.0134848349947908
"GO:0010876","lipid localization","BP",359,66,53,5.55130291078528e-11,0.169463283514126
"GO:0015031","protein transport","BP",1342,119,145,0.0862956903106186,0.994495880292144
"GO:0015748","organophosphate ester transport","BP",132,12,25,0.343858649145833,0.0316574758348624
"GO:0015833","peptide transport","BP",274,34,47,0.0053808043761787,0.0260345874266055
"GO:0015850","organic hydroxy compound transport","BP",220,32,38,0.000522205900216312,0.0381347681635443
"GO:0015914","phospholipid transport","BP",78,8,15,0.269217899862429,0.073881620615034
"GO:0015918","sterol transport","BP",88,13,12,0.0197358358009253,0.471451287616324
"GO:0016050","vesicle organization","BP",344,35,48,0.0696547116900296,0.311144020512446
"GO:0016125","sterol metabolic process","BP",125,15,18,0.0659481947701215,0.352528969498894
"GO:0016192","vesicle-mediated transport","BP",1394,134,181,0.00752180430432549,0.498514327679572
"GO:0016197","endosomal transport","BP",272,17,22,0.868915180827061,0.995892546202925
"GO:0022607","cellular component assembly","BP",2707,192,387,0.954836831974506,0.0126042493465655
"GO:0023051","regulation of signaling","BP",3039,260,478,0.0630286571262354,3.77601053205439e-07
"GO:0023052","signaling","BP",4720,408,754,0.00984664283857399,2.02073346539966e-13
"GO:0023061","signal release","BP",478,51,87,0.0157825202239392,0.000561633473547761
"GO:0030301","cholesterol transport","BP",84,12,12,0.0309606091990874,0.405109652281668
"GO:0031334","positive regulation of protein-containing complex assembly","BP",195,19,23,0.195376955204101,0.71720501431927
"GO:0031667","response to nutrient levels","BP",469,71,61,5.94173374777888e-08,0.507275334785853
"GO:0032365","intracellular lipid transport","BP",42,4,3,0.423113135702626,0.92265906806804
"GO:0032366","intracellular sterol transport","BP",32,2,3,0.728960450951238,0.802567419621724
"GO:0032367","intracellular cholesterol transport","BP",29,1,3,0.907232011338862,0.744161871589662
"GO:0032368","regulation of lipid transport","BP",116,17,17,0.00914708849972987,0.330952163572483
"GO:0032370","positive regulation of lipid transport","BP",75,11,12,0.0319396227055693,0.260536247207437
"GO:0032371","regulation of sterol transport","BP",44,4,9,0.458994623550705,0.107954111327848
"GO:0032373","positive regulation of sterol transport","BP",28,2,8,0.658161066377455,0.0222106310927217
"GO:0032374","regulation of cholesterol transport","BP",44,4,9,0.458994623550705,0.107954111327848
"GO:0032376","positive regulation of cholesterol transport","BP",28,2,8,0.658161066377455,0.0222106310927217
"GO:0032488","Cdc42 protein signal transduction","BP",11,0,4,1,0.043656909456521
"GO:0032489","regulation of Cdc42 protein signal transduction","BP",5,0,1,1,0.500262769296684
"GO:0032496","response to lipopolysaccharide","BP",288,39,53,0.000592903360494054,0.00492407644571809
"GO:0032526","response to retinoic acid","BP",86,7,11,0.519623524200118,0.566373976082803
"GO:0032879","regulation of localization","BP",1863,178,284,0.00273787150126727,0.00115685099417471
"GO:0032940","secretion by cell","BP",776,85,137,0.00106052902801418,7.43263418214039e-05
"GO:0033036","macromolecule localization","BP",2722,229,330,0.129652536932081,0.927064725677286
"GO:0033273","response to vitamin","BP",79,12,13,0.0200552120495869,0.217842010847525
"GO:0033344","cholesterol efflux","BP",43,7,9,0.0488086434613441,0.0963768025897644
"GO:0033363","secretory granule organization","BP",61,4,9,0.717074852574183,0.392349323003669
"GO:0033552","response to vitamin B3","BP",3,1,0,0.217883340118557,1
"GO:0033700","phospholipid efflux","BP",9,0,3,1,0.099993270374047
"GO:0033993","response to lipid","BP",769,97,127,1.90625859288214e-06,0.00200519936466542
"GO:0034097","response to cytokine","BP",877,90,169,0.00516063491134943,3.52624019917808e-08
"GO:0034204","lipid translocation","BP",50,6,11,0.19716416155308,0.052039707284078
"GO:0034377","plasma lipoprotein particle assembly","BP",15,1,3,0.707487423824014,0.306280182745701
"GO:0034380","high-density lipoprotein particle assembly","BP",5,0,1,1,0.500262769296684
"GO:0034405","response to fluid shear stress","BP",33,5,9,0.113397587446131,0.0212514740719259
"GO:0034616","response to laminar fluid shear stress","BP",11,3,2,0.0496623266509924,0.426721528328094
"GO:0035023","regulation of Rho protein signal transduction","BP",80,9,18,0.175709308444586,0.0125834086411554
"GO:0035556","intracellular signal transduction","BP",2558,216,372,0.125534617389256,0.00526943878050292
"GO:0035592","establishment of protein localization to extracellular region","BP",348,45,54,0.000646597428422632,0.0891508141988209
"GO:0036314","response to sterol","BP",25,4,4,0.128909953669261,0.409437610073534
"GO:0036315","cellular response to sterol","BP",20,4,4,0.0670041255758918,0.255057968889844
"GO:0038027","apolipoprotein A-I-mediated signaling pathway","BP",5,0,1,1,0.500262769296684
"GO:0042157","lipoprotein metabolic process","BP",85,8,11,0.352258483403844,0.54999748148878
"GO:0042158","lipoprotein biosynthetic process","BP",57,6,7,0.290161565977739,0.619540749370185
"GO:0042221","response to chemical","BP",2991,312,478,1.22298189315938e-08,4.77262840960576e-08
"GO:0042592","homeostatic process","BP",1528,180,235,9.78378249192763e-09,0.00199807958191729
"GO:0042632","cholesterol homeostasis","BP",78,13,12,0.00746991830672114,0.307087141825652
"GO:0042886","amide transport","BP",308,41,55,0.000617727959503748,0.00793041110072851
"GO:0043207","response to external biotic stimulus","BP",1215,143,191,4.22450830181718e-07,0.00197511258725556
"GO:0043254","regulation of protein-containing complex assembly","BP",410,33,63,0.471248996262824,0.0829791713124257
"GO:0043691","reverse cholesterol transport","BP",7,1,2,0.436448284927828,0.226832373296983
"GO:0043933","protein-containing complex organization","BP",1577,109,172,0.939140793053934,0.995843493970974
"GO:0044085","cellular component biogenesis","BP",2966,197,390,0.997701560485375,0.371490083166106
"GO:0044087","regulation of cellular component biogenesis","BP",983,76,158,0.582030631178235,0.00194586626535769
"GO:0044089","positive regulation of cellular component biogenesis","BP",492,38,74,0.572023403646076,0.0930210811281193
"GO:0044281","small molecule metabolic process","BP",1475,232,178,1.29661507986037e-26,0.865597455732821
"GO:0044419","biological process involved in interspecies interaction between organisms","BP",1333,152,208,1.19093866828293e-06,0.00181303873536653
"GO:0045184","establishment of protein localization","BP",1599,135,170,0.194829700896657,0.998742658360176
"GO:0045332","phospholipid translocation","BP",45,6,10,0.139069408282733,0.0586730797360893
"GO:0046903","secretion","BP",877,112,152,1.54940313297146e-07,7.79515631693233e-05
"GO:0046907","intracellular transport","BP",1277,97,130,0.661280981219178,0.999336175105699
"GO:0048518","positive regulation of biological process","BP",5292,454,764,0.00993174038770276,4.80334299635404e-05
"GO:0048522","positive regulation of cellular process","BP",5047,425,727,0.0405022418825921,0.000116619363783927
"GO:0048583","regulation of response to stimulus","BP",3404,287,509,0.0888960563271458,5.97185423905809e-05
"GO:0048878","chemical homeostasis","BP",877,119,128,1.83120489915368e-09,0.0766226169670151
"GO:0050789","regulation of biological process","BP",8855,689,1287,0.682539474798217,7.7517264423146e-12
"GO:0050794","regulation of cellular process","BP",8592,668,1241,0.688494949068136,4.37926215772038e-10
"GO:0050896","response to stimulus","BP",6687,599,990,7.17366702057147e-06,1.69181941355464e-09
"GO:0051049","regulation of transport","BP",1486,146,239,0.0023761518812718,0.000134914029684272
"GO:0051050","positive regulation of transport","BP",832,89,131,0.00167625969048875,0.0091092731006838
"GO:0051056","regulation of small GTPase mediated signal transduction","BP",226,16,42,0.706231992782047,0.00961518996998725
"GO:0051128","regulation of cellular component organization","BP",2331,171,368,0.857905284906746,8.98420964140772e-06
"GO:0051130","positive regulation of cellular component organization","BP",1129,88,179,0.553590987233738,0.00186551043673696
"GO:0051179","localization","BP",4477,427,630,7.63611811710413e-07,0.0046897142088217
"GO:0051234","establishment of localization","BP",3915,392,554,1.08800066219893e-08,0.00565568162070674
"GO:0051239","regulation of multicellular organismal process","BP",2576,244,441,0.000667055150845239,1.50425469899395e-11
"GO:0051240","positive regulation of multicellular organismal process","BP",1485,164,267,3.05391312300288e-06,3.75723410001939e-09
"GO:0051641","cellular localization","BP",3149,239,404,0.750129566256528,0.600830959555608
"GO:0051649","establishment of localization in cell","BP",1861,147,228,0.491008975216002,0.84040827006801
"GO:0051707","response to other organism","BP",1214,143,191,4.02518394975084e-07,0.00190119493004519
"GO:0051716","cellular response to stimulus","BP",5503,455,823,0.0888868327401206,2.93621614870774e-08
"GO:0055085","transmembrane transport","BP",1167,150,184,6.01610866159685e-10,0.00208242589563977
"GO:0055088","lipid homeostasis","BP",142,26,18,4.04368552282706e-05,0.57714673559001
"GO:0055091","phospholipid homeostasis","BP",14,2,2,0.302720546457373,0.557928030383328
"GO:0055092","sterol homeostasis","BP",79,13,12,0.00831539706873537,0.323071344388899
"GO:0060155","platelet dense granule organization","BP",21,2,1,0.500147322724004,0.945797246738179
"GO:0061024","membrane organization","BP",718,63,101,0.194583199188032,0.195698129870906
"GO:0065003","protein-containing complex assembly","BP",1401,95,152,0.950828100448654,0.994562895117587
"GO:0065005","protein-lipid complex assembly","BP",19,2,3,0.447115574437535,0.454370639502764
"GO:0065007","biological regulation","BP",9134,727,1311,0.312415686156728,2.92985339836576e-10
"GO:0065008","regulation of biological quality","BP",2521,231,396,0.00519939497541431,6.13525658085585e-06
"GO:0070723","response to cholesterol","BP",20,3,3,0.204823098014231,0.489543463728573
"GO:0070727","cellular macromolecule localization","BP",2387,175,289,0.863095508226395,0.915288388740625
"GO:0070887","cellular response to chemical stimulus","BP",1803,180,283,0.000330887159727353,0.000177536194120247
"GO:0071216","cellular response to biotic stimulus","BP",216,29,38,0.00319913711716843,0.0296987609869847
"GO:0071219","cellular response to molecule of bacterial origin","BP",190,27,35,0.00194100014259667,0.0191896101982039
"GO:0071222","cellular response to lipopolysaccharide","BP",183,24,35,0.00916595544783306,0.0110844830665648
"GO:0071300","cellular response to retinoic acid","BP",43,2,4,0.862424096897781,0.825650706333809
"GO:0071345","cellular response to cytokine stimulus","BP",784,83,145,0.00314976324596075,3.85541498144847e-06
"GO:0071396","cellular response to lipid","BP",501,57,81,0.00299598860145506,0.0195777919664939
"GO:0071397","cellular response to cholesterol","BP",15,3,3,0.108562991799428,0.306280182745701
"GO:0071466","cellular response to xenobiotic stimulus","BP",123,21,18,0.00057577737470115,0.326526560943376
"GO:0071692","protein localization to extracellular region","BP",353,45,56,0.000874140050930877,0.0613888559680744
"GO:0071705","nitrogen compound transport","BP",1728,163,207,0.00676846022925203,0.906756275668001
"GO:0071806","protein transmembrane transport","BP",66,4,4,0.772901164304639,0.978107886442603
"GO:0071825","protein-lipid complex organization","BP",32,4,7,0.241396887828849,0.111325340162645
"GO:0071827","plasma lipoprotein particle organization","BP",28,3,7,0.380009244989276,0.0614760956623282
"GO:0080171","lytic vacuole organization","BP",96,6,7,0.776023153552575,0.972784556122207
"GO:0090107","regulation of high-density lipoprotein particle assembly","BP",3,0,0,1,1
"GO:0090108","positive regulation of high-density lipoprotein particle assembly","BP",2,0,0,1,1
"GO:0097006","regulation of plasma lipoprotein particle levels","BP",50,7,10,0.0947910047062509,0.105119741973142
"GO:0097035","regulation of membrane lipid distribution","BP",55,6,11,0.262559128594369,0.0921431432475576
"GO:0097305","response to alcohol","BP",240,35,42,0.000278697778725184,0.0251947351687831
"GO:0097306","cellular response to alcohol","BP",96,15,16,0.00779325512062352,0.173384554065349
"GO:0098657","import into cell","BP",782,94,132,2.00639667418792e-05,0.000698707211723998
"GO:0099024","plasma membrane invagination","BP",50,7,10,0.0947910047062509,0.105119741973142
"GO:0099039","sphingolipid translocation","BP",5,0,2,1,0.128355917368491
"GO:0140115","export across plasma membrane","BP",60,9,13,0.0437559840968637,0.0410196059252051
"GO:0140352","export from cell","BP",835,95,150,0.000146726774291237,1.34590479048263e-05
"GO:0141124","intracellular signaling cassette","BP",1578,143,265,0.0366774306167702,2.07372942246641e-06
"GO:1901652","response to peptide","BP",891,92,169,0.00397473046236095,1.07637005911157e-07
"GO:1901700","response to oxygen-containing compound","BP",1499,159,233,4.06839759776808e-05,0.00119153380185322
"GO:1901701","cellular response to oxygen-containing compound","BP",1065,102,168,0.0202705398646821,0.00315164725804881
"GO:1902531","regulation of intracellular signal transduction","BP",1715,147,258,0.135091207305034,0.00399669118960033
"GO:1902652","secondary alcohol metabolic process","BP",129,15,18,0.0817166300450343,0.405601856542532
"GO:1905952","regulation of lipid localization","BP",143,28,18,5.57161482264944e-06,0.589695076511054
"GO:1905954","positive regulation of lipid localization","BP",93,19,12,9.5220795377296e-05,0.552314277072131
"GO:0001523","retinoid metabolic process","BP",39,9,5,0.0027360675731072,0.581461492094236
"GO:0001894","tissue homeostasis","BP",249,27,45,0.0552453543943741,0.0123820239935657
"GO:0001895","retina homeostasis","BP",50,0,11,1,0.052039707284078
"GO:0003008","system process","BP",1441,136,260,0.0128112914430528,4.43065901220671e-09
"GO:0006081","aldehyde metabolic process","BP",69,12,7,0.00708643953098025,0.806804255723427
"GO:0006649","phospholipid transfer to membrane","BP",2,0,0,1,1
"GO:0006720","isoprenoid metabolic process","BP",70,12,8,0.00795694601927399,0.701034109933808
"GO:0006721","terpenoid metabolic process","BP",51,9,7,0.0168494315311887,0.496731444631712
"GO:0007600","sensory perception","BP",348,34,60,0.110661473637365,0.0120362070681242
"GO:0007601","visual perception","BP",87,4,12,0.918920002034269,0.454924289650013
"GO:0016101","diterpenoid metabolic process","BP",43,9,5,0.00548391834261894,0.670263958198878
"GO:0042574","retinal metabolic process","BP",9,1,1,0.521644595305149,0.713146090139783
"GO:0045494","photoreceptor cell maintenance","BP",35,0,10,1,0.0111207324868271
"GO:0048871","multicellular organismal-level homeostasis","BP",795,87,131,0.000956491155455476,0.00186746349716529
"GO:0050877","nervous system process","BP",845,71,166,0.293553631831478,1.18339603191088e-08
"GO:0050953","sensory perception of light stimulus","BP",89,4,12,0.927044031005743,0.487893558174431
"GO:0060249","anatomical structure homeostasis","BP",249,27,45,0.0552453543943741,0.0123820239935657
"GO:0120254","olefinic compound metabolic process","BP",96,15,18,0.00779325512062352,0.0663818602384156
"GO:0001573","ganglioside metabolic process","BP",25,5,5,0.0422846696243344,0.215915580478846
"GO:0006486","protein glycosylation","BP",193,29,26,0.000547738499171801,0.446728260749669
"GO:0006643","membrane lipid metabolic process","BP",178,22,21,0.0229445072152945,0.710569990357137
"GO:0006644","phospholipid metabolic process","BP",328,35,38,0.0399784668024039,0.794525336249324
"GO:0006664","glycolipid metabolic process","BP",88,10,11,0.15238358386319,0.598369646627047
"GO:0006665","sphingolipid metabolic process","BP",132,20,18,0.0033827449914989,0.445841323992533
"GO:0006670","sphingosine metabolic process","BP",18,1,3,0.771277196235733,0.418218934837684
"GO:0006672","ceramide metabolic process","BP",92,14,15,0.0124557886914821,0.206484103993059
"GO:0006684","sphingomyelin metabolic process","BP",20,2,1,0.474036960706791,0.937720176646505
"GO:0006687","glycosphingolipid metabolic process","BP",49,9,8,0.0130912239893634,0.297767384440901
"GO:0006898","receptor-mediated endocytosis","BP",241,20,35,0.434866320335132,0.258239628207799
"GO:0007272","ensheathment of neurons","BP",167,16,35,0.24033725764957,0.00249553529480281
"GO:0007610","behavior","BP",628,43,119,0.851967414999401,9.10994885424727e-06
"GO:0007626","locomotory behavior","BP",215,9,40,0.989661811351337,0.0110897783780018
"GO:0008366","axon ensheathment","BP",167,16,35,0.24033725764957,0.00249553529480281
"GO:0008610","lipid biosynthetic process","BP",581,81,70,2.62084176107498e-07,0.763491766678167
"GO:0008654","phospholipid biosynthetic process","BP",206,18,21,0.355776233073107,0.905121497928723
"GO:0009056","catabolic process","BP",2289,206,235,0.0173030776072394,0.999990785575985
"GO:0009057","macromolecule catabolic process","BP",1343,70,114,0.999972211540649,0.99999996721658
"GO:0009100","glycoprotein metabolic process","BP",332,40,56,0.00452649191235036,0.0222625096982547
"GO:0009101","glycoprotein biosynthetic process","BP",277,34,41,0.00635469923833985,0.200117207027683
"GO:0009653","anatomical structure morphogenesis","BP",2396,180,455,0.768312706717458,4.06216788673001e-20
"GO:0009719","response to endogenous stimulus","BP",1347,123,232,0.0418136986892222,1.4997434929838e-06
"GO:0009725","response to hormone","BP",833,85,153,0.00746762339175701,3.11034712261704e-06
"GO:0009889","regulation of biosynthetic process","BP",4226,287,567,0.999053002025768,0.152581463982623
"GO:0009890","negative regulation of biosynthetic process","BP",1933,131,234,0.975641150792472,0.889533745865576
"GO:0009891","positive regulation of biosynthetic process","BP",2282,175,314,0.659586067609772,0.113820528237462
"GO:0009892","negative regulation of metabolic process","BP",2470,169,310,0.983264244683404,0.751020898624012
"GO:0009893","positive regulation of metabolic process","BP",3097,240,401,0.616937127521518,0.513404651055793
"GO:0009894","regulation of catabolic process","BP",925,68,91,0.742797851675939,0.998876563602265
"GO:0009896","positive regulation of catabolic process","BP",501,37,44,0.681683045456899,0.998778164079933
"GO:0010001","glial cell differentiation","BP",246,23,48,0.221501250449378,0.00222901176331836
"GO:0010556","regulation of macromolecule biosynthetic process","BP",4067,265,554,0.999931512622511,0.0739536396475552
"GO:0010557","positive regulation of macromolecule biosynthetic process","BP",2177,161,303,0.820691281772252,0.0798520264469731
"GO:0010559","regulation of glycoprotein biosynthetic process","BP",39,3,8,0.601572926590629,0.123720747620018
"GO:0010560","positive regulation of glycoprotein biosynthetic process","BP",22,3,6,0.247544090800003,0.0558438428686468
"GO:0010563","negative regulation of phosphorus metabolic process","BP",339,22,55,0.854801338727658,0.0447660269607163
"GO:0010604","positive regulation of macromolecule metabolic process","BP",2833,200,372,0.965131942934673,0.387357678823805
"GO:0010927","cellular component assembly involved in morphogenesis","BP",119,11,20,0.333619784625033,0.132619118197389
"GO:0014003","oligodendrocyte development","BP",45,6,10,0.139069408282733,0.0586730797360893
"GO:0019216","regulation of lipid metabolic process","BP",304,40,44,0.000898728229280144,0.235272456044311
"GO:0019218","regulation of steroid metabolic process","BP",93,10,14,0.194371529737433,0.315509919053609
"GO:0019220","regulation of phosphate metabolic process","BP",971,88,149,0.0871598776391191,0.0137737503296867
"GO:0019222","regulation of metabolic process","BP",5241,362,695,0.999354248331224,0.214581518145155
"GO:0019637","organophosphate metabolic process","BP",938,143,98,3.66048249962905e-15,0.993134724026881
"GO:0019725","cellular homeostasis","BP",709,85,99,5.51653629334116e-05,0.221074039198897
"GO:0019751","polyol metabolic process","BP",91,8,12,0.425572056158186,0.520421319436749
"GO:0021782","glial cell development","BP",128,12,25,0.305819628849751,0.0224365663491485
"GO:0022008","neurogenesis","BP",1652,132,301,0.435371816842678,6.70015123745205e-11
"GO:0022010","central nervous system myelination","BP",27,5,7,0.0564937042158096,0.0516597295199266
"GO:0030100","regulation of endocytosis","BP",295,34,49,0.0157803764380004,0.0391595872831214
"GO:0030148","sphingolipid biosynthetic process","BP",87,14,12,0.00769518513137316,0.454924289650013
"GO:0030154","cell differentiation","BP",3733,302,626,0.289534906314231,5.07762963315891e-15
"GO:0030163","protein catabolic process","BP",991,52,88,0.999652115742185,0.9999854132871
"GO:0031399","regulation of protein modification process","BP",1060,86,149,0.395263103506224,0.14449458533159
"GO:0032288","myelin assembly","BP",25,4,7,0.128909953669261,0.0351441780484282
"GO:0032289","central nervous system myelin formation","BP",7,2,0,0.0995750617502844,1
"GO:0032291","axon ensheathment in central nervous system","BP",27,5,7,0.0564937042158096,0.0516597295199266
"GO:0032369","negative regulation of lipid transport","BP",26,3,3,0.335802174504523,0.672737748452318
"GO:0032372","negative regulation of sterol transport","BP",7,1,1,0.436448284927828,0.621374815795562
"GO:0032375","negative regulation of cholesterol transport","BP",7,1,1,0.436448284927828,0.621374815795562
"GO:0032377","regulation of intracellular lipid transport","BP",9,0,1,1,0.713146090139783
"GO:0032378","negative regulation of intracellular lipid transport","BP",2,0,0,1,1
"GO:0032380","regulation of intracellular sterol transport","BP",8,0,1,1,0.670437946383811
"GO:0032381","negative regulation of intracellular sterol transport","BP",2,0,0,1,1
"GO:0032383","regulation of intracellular cholesterol transport","BP",8,0,1,1,0.670437946383811
"GO:0032384","negative regulation of intracellular cholesterol transport","BP",2,0,0,1,1
"GO:0032386","regulation of intracellular transport","BP",286,20,39,0.741017452146485,0.390346782252635
"GO:0032387","negative regulation of intracellular transport","BP",55,4,7,0.637544869304204,0.580359997945102
"GO:0032799","low-density lipoprotein receptor particle metabolic process","BP",6,0,2,1,0.176518567158426
"GO:0032801","receptor catabolic process","BP",30,0,4,1,0.556450627712132
"GO:0032802","low-density lipoprotein particle receptor catabolic process","BP",6,0,2,1,0.176518567158426
"GO:0032803","regulation of low-density lipoprotein particle receptor catabolic process","BP",6,0,2,1,0.176518567158426
"GO:0032805","positive regulation of low-density lipoprotein particle receptor catabolic process","BP",3,0,1,1,0.340435301822401
"GO:0032880","regulation of protein localization","BP",894,82,126,0.0782996250715532,0.15967740022515
"GO:0032989","cellular anatomical entity morphogenesis","BP",119,11,20,0.333619784625033,0.132619118197389
"GO:0034205","amyloid-beta formation","BP",46,3,11,0.712404945644789,0.0299941695460069
"GO:0034248","regulation of amide metabolic process","BP",68,9,11,0.0841302190513008,0.2610283153372
