"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu00010","Glycolysis / Gluconeogenesis",53,1,1,0.752804347983981,0.913559461629751
"mmu00020","Citrate cycle (TCA cycle)",30,0,1,1,0.749622682598913
"mmu00030","Pentose phosphate pathway",30,1,0,0.546377864648326,1
"mmu00040","Pentose and glucuronate interconversions",18,0,0,1,1
"mmu00051","Fructose and mannose metabolism",31,0,0,1,1
"mmu00052","Galactose metabolism",25,2,0,0.136759486458242,1
"mmu00053","Ascorbate and aldarate metabolism",13,0,0,1,1
"mmu00061","Fatty acid biosynthesis",16,0,0,1,1
"mmu00062","Fatty acid elongation",30,0,3,1,0.151251515835518
"mmu00071","Fatty acid degradation",41,0,0,1,1
"mmu00100","Steroid biosynthesis",19,5,0,9.94069786023702e-05,1
"mmu00120","Primary bile acid biosynthesis",12,0,1,1,0.425116882792849
"mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,0,1,1,0.397964923952318
"mmu00140","Steroid hormone biosynthesis",21,0,0,1,1
"mmu00190","Oxidative phosphorylation",124,1,3,0.962271946508928,0.922494610738715
"mmu00220","Arginine biosynthesis",18,0,1,1,0.564188598178355
"mmu00230","Purine metabolism",110,2,11,0.783668699660497,0.0107314500509277
"mmu00232","Caffeine metabolism",2,1,0,0.0512895526777291,1
"mmu00240","Pyrimidine metabolism",50,0,10,1,6.4825202528889e-05
"mmu00250","Alanine, aspartate and glutamate metabolism",30,1,3,0.546377864648326,0.151251515835518
"mmu00260","Glycine, serine and threonine metabolism",35,0,2,1,0.472271524771275
"mmu00270","Cysteine and methionine metabolism",47,1,3,0.710360423527522,0.356016376101065
"mmu00280","Valine, leucine and isoleucine degradation",52,3,1,0.152481004921627,0.909465611754566
"mmu00290","Valine, leucine and isoleucine biosynthesis",4,0,1,1,0.168464490295855
"mmu00310","Lysine degradation",59,0,0,1,1
"mmu00330","Arginine and proline metabolism",44,1,3,0.686486391545721,0.31854762934913
"mmu00340","Histidine metabolism",19,1,3,0.393751808091103,0.0515831691561611
"mmu00350","Tyrosine metabolism",27,2,1,0.154823998922102,0.712400183729329
"mmu00360","Phenylalanine metabolism",14,2,1,0.0498655016010021,0.475807089819866
"mmu00380","Tryptophan metabolism",31,1,1,0.558186256659079,0.760928495588051
"mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5,1,0,0.123345109180533,1
"mmu00410","beta-Alanine metabolism",28,1,0,0.521808285943347,1
"mmu00430","Taurine and hypotaurine metabolism",15,0,0,1,1
"mmu00440","Phosphonate and phosphinate metabolism",6,1,0,0.146129179459175,1
"mmu00450","Selenocompound metabolism",16,0,0,1,1
"mmu00470","D-Amino acid metabolism",5,0,0,1,1
"mmu00480","Glutathione metabolism",58,1,6,0.783392849445208,0.0456731941624219
"mmu00500","Starch and sucrose metabolism",21,1,0,0.424883270049337,1
"mmu00510","N-Glycan biosynthesis",50,0,0,1,1
"mmu00511","Other glycan degradation",17,0,1,1,0.543596786527566
"mmu00512","Mucin type O-glycan biosynthesis",24,2,3,0.127915797345948,0.0914824315161283
"mmu00513","Various types of N-glycan biosynthesis",42,0,0,1,1
"mmu00514","Other types of O-glycan biosynthesis",37,1,2,0.622867880572892,0.501688009989987
"mmu00515","Mannose type O-glycan biosynthesis",21,0,0,1,1
"mmu00520","Amino sugar and nucleotide sugar metabolism",34,0,1,1,0.791877789925566
"mmu00524","Neomycin, kanamycin and gentamicin biosynthesis",2,0,0,1,1
"mmu00531","Glycosaminoglycan degradation",16,0,1,1,0.522033468003071
"mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,1,1,0.409522165633409,0.60263057954431
"mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",13,1,1,0.289905688347366,0.451045936696142
"mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",20,0,2,1,0.227071261148437
"mmu00541","Biosynthesis of various nucleotide sugars",20,0,0,1,1
"mmu00561","Glycerolipid metabolism",56,1,1,0.771638840696547,0.924764773487333
"mmu00562","Inositol phosphate metabolism",70,2,1,0.546416775826732,0.96065569221171
"mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",29,0,0,1,1
"mmu00564","Glycerophospholipid metabolism",90,2,2,0.682721838333378,0.917909235247751
"mmu00565","Ether lipid metabolism",39,1,1,0.642256010816973,0.834825436698189
