"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu00010","Glycolysis / Gluconeogenesis",53,2,1,0.735193410015708,0.913865721976942
"mmu00020","Citrate cycle (TCA cycle)",30,3,0,0.176465285639051,1
"mmu00030","Pentose phosphate pathway",30,0,0,1,1
"mmu00040","Pentose and glucuronate interconversions",18,2,0,0.216470256782609,1
"mmu00051","Fructose and mannose metabolism",31,1,0,0.786306751179304,1
"mmu00052","Galactose metabolism",25,2,1,0.343946752842973,0.685091266440036
"mmu00053","Ascorbate and aldarate metabolism",13,3,0,0.0225877455074225,1
"mmu00061","Fatty acid biosynthesis",16,2,0,0.18053931999107,1
"mmu00062","Fatty acid elongation",30,1,2,0.775388642331994,0.395120938996064
"mmu00071","Fatty acid degradation",41,2,1,0.598086603851813,0.849826985383787
"mmu00100","Steroid biosynthesis",19,2,0,0.234670300899032,1
"mmu00120","Primary bile acid biosynthesis",12,1,1,0.449540175378677,0.425578049809794
"mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,1,0,0.421451719174017,1
"mmu00140","Steroid hormone biosynthesis",21,3,0,0.0790032376760628,1
"mmu00190","Oxidative phosphorylation",124,6,2,0.561570571701254,0.978003681606531
"mmu00220","Arginine biosynthesis",18,0,3,1,0.0450544212663352
"mmu00230","Purine metabolism",110,10,2,0.0409850166536054,0.961906252913591
"mmu00232","Caffeine metabolism",2,1,0,0.0946807633133334,1
"mmu00240","Pyrimidine metabolism",50,4,2,0.223379317062594,0.666333107155971
"mmu00250","Alanine, aspartate and glutamate metabolism",30,1,2,0.775388642331994,0.395120938996064
"mmu00260","Glycine, serine and threonine metabolism",35,5,0,0.0257579575454263,1
"mmu00270","Cysteine and methionine metabolism",47,6,2,0.0252345979059682,0.632813334130584
"mmu00280","Valine, leucine and isoleucine degradation",52,2,1,0.725494287253898,0.909780324515363
"mmu00290","Valine, leucine and isoleucine biosynthesis",4,0,1,1,0.168686840856642
"mmu00310","Lysine degradation",59,2,2,0.787426355935658,0.75218548067448
"mmu00330","Arginine and proline metabolism",44,4,2,0.163492797861424,0.596719343365544
"mmu00340","Histidine metabolism",19,2,1,0.234670300899032,0.584381178390953
