"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","mmu04110","Cell cycle","31/474","157/10563",0.197452229299363,4.40018543900669,9.30355030043345,1.95622095211345e-12,6.02516053250942e-10,4.59197128759262e-10,"12428/77011/12534/12235/17216/20877/76464/17219/17218/12236/17127/69716/67849/18817/107995/434175/71988/105988/17215/268697/22137/12442/13557/67052/12649/27214/67177/56150/13555/12571/72415",31
"Organismal Systems","Digestive system","mmu04970","Salivary secretion","14/474","87/10563",0.160919540229885,3.58606139967991,5.24975341519974,2.94679882856149e-05,0.0045380701959847,0.00345861125668007,"381290/19092/11555/11941/12796/17105/16534/18795/432530/11513/16531/18751/64177/18752",14
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","14/474","94/10563",0.148936170212766,3.31901427417183,4.8950027501954,7.12169944724788e-05,0.00598748957547507,0.0045632610230039,"12977/16590/21926/12475/14961/17380/12985/14960/12978/12509/12479/16176/333883/100504404",14
"Organismal Systems","Endocrine system","mmu04911","Insulin secretion","13/474","86/10563",0.151162790697674,3.36863408890197,4.78042952825253,0.000109943866515553,0.00598748957547507,0.0045632610230039,"231991/12424/16534/18795/432530/11513/16531/26427/18751/56508/18752/78284/11517",13
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","24/474","233/10563",0.103004291845494,2.29543108599989,4.3339141641954,0.000123984934393996,0.00598748957547507,0.0045632610230039,"21953/21827/14115/12833/67451/53311/12834/56419/16906/118449/11472/12839/12832/76441/11464/12829/319565/22352/22437/17879/24053/21826/14119/59006",24
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","15/474","112/10563",0.133928571428571,2.98457278481013,4.57651942729239,0.000137221409705018,0.00598748957547507,0.0045632610230039,"17131/20482/13732/17130/21926/18121/14313/110542/17127/84506/244058/15904/14264/268977/434215",15
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","14/474","101/10563",0.138613861386139,3.08898358190249,4.57221397933298,0.0001572919126362,0.00598748957547507,0.0045632610230039,"22339/21926/20296/18787/18795/13614/12829/17127/14205/50490/14066/18751/16176/13653",14
NA,NA,"mmu04382","Cornified envelope formation","23/474","223/10563",0.103139013452915,2.29843333144122,4.24766256540971,0.000167569850802197,0.00598748957547507,0.0045632610230039,"12740/16669/12739/18260/67451/53624/16665/12737/235542/18553/20198/239673/12829/20200/16670/332131/18599/13518/12821/19041/15109/26457/56735",23
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","16/474","128/10563",0.125,2.78560126582278,4.40536030939163,0.000188857434710465,0.00598748957547507,0.0045632610230039,"16669/12266/16665/50908/12796/12268/14961/14960/12262/317677/14962/16670/20344/11537/12259/100504404",16
"Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism","10/474","57/10563",0.175438596491228,3.9096158116811,4.77411162463715,0.000194399012190749,0.00598748957547507,0.0045632610230039,"320685/20135/66422/18102/21877/80914/56520/22171/22247/72269",10
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","14/474","104/10563",0.134615384615385,2.99987828627069,4.44235585328525,0.000215606650514709,0.00603698621441185,0.00460098402533781,"381290/231991/11941/16835/18795/432530/11513/16890/18227/26427/18751/18752/78284/207728",14
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","13/474","94/10563",0.138297872340426,3.0819418260167,4.39458742345949,0.000274450048600627,0.00662928385800235,0.00505239337093139,"12266/50908/12268/18787/12262/317677/12509/14962/14061/14066/11537/12259/333883",13
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","21/474","202/10563",0.103960396039604,2.31673768642687,4.09555068510208,0.000286058334228792,0.00662928385800235,0.00505239337093139,"21827/12833/22339/12834/17931/21923/12839/13731/12829/286940/14205/21826/18751/18591/329251/18752/13645/12927/16542/271849/23928",21
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","24/474","247/10563",0.097165991902834,2.16532568031569,4.01678251981051,0.000301331084454652,0.00662928385800235,0.00505239337093139,"231991/18019/12428/110196/23871/21926/14961/432530/14960/11513/12236/17127/107995/105988/12442/13557/16169/26427/12649/78284/56150/13555/13653/100504404",24
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","12/474","87/10563",0.137931034482759,3.07376691401135,4.20978594727365,0.000479585384164415,0.00924313907552471,0.00704449765496244,"12977/22339/24088/68775/110935/21926/20296/14961/20310/14960/16176/100504404",12
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","11/474","75/10563",0.146666666666667,3.2684388185654,4.2731639343286,0.000480163068858427,0.00924313907552471,0.00704449765496244,"170770/20135/12534/333654/18787/434175/268697/12442/12521/12649/12571",11
"Cellular Processes","Cell motility","mmu04814","Motor proteins","20/474","198/10563",0.101010101010101,2.250990921877,3.85159213723824,0.000575891980705504,0.0104338076504291,0.00795194499673854,"21953/71819/209737/74376/16551/100502766/16571/11464/110033/232943/381293/70218/16560/17879/212733/73804/229841/19348/208943/16578",20
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","14/474","118/10563",0.11864406779661,2.64396052349281,3.89239008381347,0.000797918502883722,0.0136532721604548,0.0104056038680158,"231991/16878/12977/21926/67384/20296/20310/22029/13614/22033/14205/26427/78284/16176",14
"Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation","12/474","93/10563",0.129032258064516,2.87545937117191,3.93744032820272,0.000883306852374423,0.0143188689753327,0.0109128769019112,"12428/12534/12235/432530/110033/11513/18817/20112/434175/268697/12442/56150",12
