"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","76/976","299/10563",0.254180602006689,2.75093206864411,9.79948372975477,7.83390916974991e-17,1.722449694636e-14,1.07909871153853e-14,"14183/11839/14182/19417/67603/18750/12064/15507/17311/13866/16001/16590/14184/18479/13836/17295/13197/18033/170758/15370/29857/114713/23939/18591/14164/13640/102626/63953/65964/22059/18034/21802/20807/15482/15511/26405/193740/17532/66922/14673/17164/109689/26921/13537/192176/13867/75590/19698/18176/19697/12295/18590/53859/13636/26417/54635/319520/16177/12297/23797/18654/22341/14701/14256/21803/67071/26404/21687/18752/18595/12977/14254/18018/18783/18212/13639",76
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells","65/976","233/10563",0.278969957081545,3.0192209596848,9.9441638617892,1.04075510249909e-16,1.722449694636e-14,1.07909871153853e-14,"53318/16398/70435/109620/67399/18810/13506/14119/71960/16905/12814/223697/13179/16416/14200/326618/12841/94216/11717/12840/320910/22330/13007/213019/21825/71409/233199/20740/13527/16400/68794/14199/74122/16402/21956/16651/20650/668940/22003/14115/77579/319565/50874/16480/17929/16404/11735/20969/11461/53311/13808/11931/16399/21827/192897/57778/22352/64009/20743/74103/17884/13807/12830/22437/11459",65
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","55/976","181/10563",0.303867403314917,3.28867969386831,9.90924162463339,4.32932805566837e-16,4.7766919547541e-14,2.99255307707603e-14,"18750/13845/226251/80883/18019/17974/12767/22068/235611/13642/13641/18846/18479/13836/13848/17295/65254/170758/20353/13846/107449/22417/13838/20351/18208/18481/67938/67268/319757/117606/13640/22419/22418/19876/14365/22253/69632/214968/14678/18176/13841/231637/13636/26417/20360/13643/20350/20355/20356/20347/57764/12322/13639/53972/12167",55
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","78/976","368/10563",0.21195652173913,2.2939515769779,8.06129743032588,1.19394089251399e-12,9.87986088555329e-11,6.18964094276991e-11,"14183/11839/14182/12043/16398/18750/12064/231991/17311/18414/13866/12125/16001/16590/30955/14184/16416/13836/105787/17295/18033/12841/15370/94216/17863/16774/19116/18591/12840/14164/12567/13640/320910/16779/22059/21825/12669/16453/21802/16400/14700/15516/83490/16402/16775/22630/13867/18176/19697/19054/18590/13636/19053/26417/16776/54635/23797/74551/18654/22341/14701/14256/16404/16193/21687/16399/21827/192897/18595/12977/16452/14254/14697/170755/12830/18212/13639/66066",78
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","57/976","237/10563",0.240506329113924,2.60293888773605,7.96309147223556,7.6248755889897e-12,5.04766763991118e-10,3.1623168232231e-10,"14183/14182/19417/18750/12064/17311/16001/16590/14184/23871/18479/13836/17295/18033/170758/240057/16706/114713/225870/18481/18591/14164/216148/13640/21802/54153/23872/17532/66922/14700/54354/18784/18176/19697/18590/13636/26417/54635/23797/18654/22341/14701/64143/14256/18805/19730/21687/18752/18595/12977/18806/14254/14697/18783/18212/13639/66066",57
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","50/976","202/10563",0.247524752475248,2.67889750040578,7.68697833606433,5.00141957536951e-11,2.44287755372073e-09,1.53044006386702e-09,"13731/19417/12043/16398/18750/13866/16001/16416/18479/17295/109711/12841/170758/94216/16774/13730/18481/18591/12840/67938/67268/216148/320910/22330/16779/21825/228785/16400/16402/16775/192176/18590/22323/26417/12389/16776/54635/23797/18654/22341/16404/11461/18752/16399/21827/192897/18595/14254/12830/22324",50
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","52/976","215/10563",0.241860465116279,2.61759435760579,7.64570029482461,5.16620630696227e-11,2.44287755372073e-09,1.53044006386702e-09,"14183/14182/18750/17311/16001/16590/217692/14184/16416/13836/12550/17295/170758/29857/18591/14164/15901/13640/104111/21825/75292/17532/11512/110351/54354/18760/14678/18176/18590/13636/22323/26417/54635/23797/224129/14065/18645/18654/22341/64143/12801/11461/19730/21687/18752/16399/18595/12977/101540/14254/13639/22324",52
NA,NA,"mmu04382","Cornified envelope formation","51/976","223/10563",0.228699551569507,2.47515713445563,7.10374024885346,6.76280698915471e-10,2.79811139176276e-08,1.75299075903089e-08,"16687/16688/19041/74127/109620/18772/18810/20195/54419/20200/71908/16668/16669/94216/12739/67860/228677/20753/16774/14027/20194/12740/110310/406223/18600/16691/66166/16666/16682/12737/67855/71529/19054/19053/16776/12333/15109/16480/18260/320997/20198/406219/12738/20197/23801/16679/192897/58187/94179/12830/223917",51
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","48/976","204/10563",0.235294117647059,2.54652844744455,7.11656969483269,7.86144727435075e-10,2.89126560867789e-08,1.81135100941181e-08,"12505/14182/16398/18750/13866/16001/22422/93897/13179/16416/18479/17295/29857/22417/20544/18792/12512/319757/22419/22059/14362/17698/21825/22418/17532/14365/66922/16402/14368/22350/192176/13867/14369/69632/18176/26417/12389/23797/18793/22411/11735/20969/21803/11461/15200/18752/12322/22324",48
"Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton","52/976","235/10563",0.221276595744681,2.39482036972445,6.89923160542763,1.59312497974324e-09,5.27324368295012e-08,3.30363811588861e-08,"14183/14182/16398/12767/71960/14184/16416/18479/76820/109711/329165/15139/170758/73341/20544/20259/18481/18591/67938/14164/67268/320910/22330/17698/12669/228785/108100/17532/16400/66922/14673/16402/22350/227753/69632/77579/18176/18590/231637/26417/54635/23797/18645/14701/16404/11461/105855/226970/16399/192897/18595/22324",52
