"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","mmu01200","Carbon metabolism","42/952","123/10563",0.341463414634146,3.78873744619799,9.79077796594469,6.3731332341256e-15,2.0010903051666e-12,1.56582753268742e-12,"104174/60525/68263/235339/18563/110460/224530/21881/17449/17436/14718/108682/110208/17850/11676/18641/12974/68738/11428/18597/67078/71832/11429/15277/110821/68133/14381/13382/104776/93747/21351/110446/66646/433182/227095/66945/18648/14380/13806/66904/56451/18655",42
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","45/952","141/10563",0.319148936170213,3.54114518147685,9.56028341309644,1.18058425083575e-14,2.0010903051666e-12,1.56582753268742e-12,"11975/54405/28080/66335/68197/22272/78330/12861/12858/11972/227197/11951/12868/67264/66445/228033/66916/66694/66218/66945/11950/66046/66108/108664/17706/12866/21871/114143/66142/17705/69875/226139/17720/66152/17719/75406/17711/230075/17708/11958/17709/70383/17710/66290/192113",45
"Metabolism","Global and overview maps","mmu01212","Fatty acid metabolism","28/952","62/10563",0.451612903225806,5.01091081593928,9.96852237589552,6.52881874456046e-14,7.37756518135331e-12,5.77285025834819e-12,"68801/14081/20249/14104/76267/66885/110460/54325/107476/224530/56473/30049/170439/74147/20250/50790/329065/106529/93747/110446/56348/54397/12896/74559/30963/257633/71147/223722",28
"Metabolism","Amino acid metabolism","mmu00280","Valine, leucine and isoleucine degradation","26/952","57/10563",0.456140350877193,5.06114551083591,9.6755251752474,3.86676309451189e-13,3.27708172259883e-11,2.56427447320262e-11,"66885/100470/110460/67041/224530/78894/17850/74147/71724/56357/56752/110821/66948/13382/12036/104776/93747/110446/11669/12039/227095/13171/208715/66904/257633/78038",26
"Metabolism","Carbohydrate metabolism","mmu00630","Glyoxylate and dicarboxylate metabolism","19/952","33/10563",0.575757575757576,6.38836898395722,9.75679947044081,2.82165481910181e-12,1.91308196735103e-10,1.4969621356077e-10,"104174/60525/110460/224530/67432/17449/17850/12974/68738/11428/67078/71832/11429/110821/68133/13382/110446/66904/76238",19
"Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism","18/952","31/10563",0.580645161290323,6.44259962049336,9.55078515875767,8.77982745759191e-12,4.96060251353943e-10,3.88160792861958e-10,"100705/60525/107476/17850/52665/74147/68738/110821/13382/104776/93747/16828/12039/227095/13171/66904/56451/56690",18
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum","45/952","177/10563",0.254237288135593,2.82091226321037,7.6888034999859,7.98249323066984e-11,3.86580743599582e-09,3.0249448032012e-09,"20832/22433/66256/108687/70377/66212/72265/81910/27054/66357/66059/20014/18453/69608/67075/217379/13135/110379/70361/107513/109815/53421/54197/12017/67437/67838/66967/20335/67475/81500/69038/69162/13200/140740/17156/103963/320011/66397/75744/16430/22393/116891/100037258/108802/230815",45
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","51/952","217/10563",0.235023041474654,2.60771889400922,7.53114505826832,9.81142182395633e-11,4.1575899979015e-09,3.253260920575e-09,"68263/55951/12491/70456/54405/28080/18597/68197/11651/22272/78330/12861/12858/18708/14381/19013/227197/11951/18604/12868/13033/67264/66445/12896/228033/66916/66694/66218/66945/11950/66046/210789/66108/14380/14583/18796/17706/12866/66142/17705/69875/17720/66152/17719/75406/17711/230075/17708/17709/12825/17710",51
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome","38/952","136/10563",0.279411764705882,3.10023788927336,7.75828132564166,1.23582694542991e-10,4.65494816111932e-09,3.64243731284605e-09,"14667/11975/67963/11886/192654/13032/16889/64138/50917/110006/214505/14466/56325/18010/11433/17939/11972/55946/13033/12091/13034/54397/67489/104082/108664/21871/83429/114143/11764/66848/20597/74105/19025/11777/11768/18174/235504/16004",38
"Metabolism","Glycan biosynthesis and metabolism","mmu00510","N-Glycan biosynthesis","22/952","55/10563",0.4,4.43823529411765,8.04570627941501,5.79105555907316e-10,1.9631678345258e-08,1.53615368514362e-08,"20440/14595/66357/57357/66059/56737/20014/67075/13135/227697/13478/53618/103534/69038/13200/57170/17156/103963/66248/16430/230815/208624",22
"Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism","19/952","44/10563",0.431818181818182,4.79127673796792,7.93107147963608,1.85366959763681e-09,5.71267266908071e-08,4.47009319238733e-08,"100705/60525/68263/235339/18563/110460/107476/224530/17449/17436/68738/18597/56752/13382/110446/16828/11669/76238/75572",19
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis","51/952","238/10563",0.214285714285714,2.37762605042017,6.76522214887088,3.1310678659139e-09,8.84526672120677e-08,6.92130791412547e-08,"14081/108079/54405/28080/50790/68197/22272/78330/12861/70127/20111/12858/19744/26427/227197/11951/12868/67264/68033/66445/12896/228033/66916/66694/66218/66945/11950/66046/432530/66108/17706/12866/66142/17705/69875/226139/17720/66152/66853/17719/75406/17711/230075/17708/11958/17709/70383/17710/214663/66272/69487",51
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","27/952","87/10563",0.310344827586207,3.4434584178499,7.20234799488116,4.9943376722861e-09,1.30236959300384e-07,1.01908752503328e-07,"14081/68603/93734/234384/59038/74147/22436/50790/19299/74043/19301/12908/70503/19300/69129/17855/18631/330450/19193/93732/668173/111175/67993/56690/76263/19302/26458",27
"Metabolism","Lipid metabolism","mmu00100","Steroid biosynthesis","12/952","20/10563",0.6,6.65735294117647,7.96991033311098,1.71114701464634e-08,4.14342027117936e-07,3.24217329090886e-07,"12613/16987/73166/13595/16889/18194/13360/15490/66234/20775/13121/235293",12
