"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu00010","Glycolysis / Gluconeogenesis",53,10,1,0.058334871422079,0.995568708637607
"mmu00020","Citrate cycle (TCA cycle)",30,8,0,0.0128863814049157,1
"mmu00030","Pentose phosphate pathway",30,7,1,0.0391546610674993,0.953347070097548
"mmu00040","Pentose and glucuronate interconversions",18,2,2,0.599915543908679,0.532812096657598
"mmu00051","Fructose and mannose metabolism",31,6,1,0.11519165352304,0.957882564402103
"mmu00052","Galactose metabolism",25,5,1,0.129770277382921,0.922210840015294
"mmu00053","Ascorbate and aldarate metabolism",13,1,1,0.777603673095555,0.734838371082804
"mmu00061","Fatty acid biosynthesis",16,6,1,0.00510154716974878,0.804834480151901
"mmu00062","Fatty acid elongation",30,6,4,0.101796183607939,0.331539728798693
"mmu00071","Fatty acid degradation",41,6,8,0.2872312109949,0.0407819756421421
"mmu00100","Steroid biosynthesis",19,12,0,6.6684021696021e-08,1
"mmu00120","Primary bile acid biosynthesis",12,2,0,0.38291175215953,1
"mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,3,0,0.109982206092204,1
"mmu00140","Steroid hormone biosynthesis",21,2,3,0.68479809808602,0.333808583433882
"mmu00190","Oxidative phosphorylation",124,9,5,0.934411900341405,0.994593851685012
"mmu00220","Arginine biosynthesis",18,4,0,0.125386402913361,1
"mmu00230","Purine metabolism",110,14,9,0.312487933236937,0.751842881311466
"mmu00232","Caffeine metabolism",2,1,0,0.206411280686305,1
"mmu00240","Pyrimidine metabolism",50,8,5,0.173783996642549,0.541191993610745
"mmu00250","Alanine, aspartate and glutamate metabolism",30,6,2,0.101796183607939,0.802640524082258
"mmu00260","Glycine, serine and threonine metabolism",35,8,3,0.0318141660028784,0.673567581044596
"mmu00270","Cysteine and methionine metabolism",47,9,3,0.0650304702826925,0.847450194790878
"mmu00280","Valine, leucine and isoleucine degradation",52,15,5,0.000311104245112496,0.577095533590537
"mmu00290","Valine, leucine and isoleucine biosynthesis",4,0,0,1,1
"mmu00310","Lysine degradation",59,10,2,0.104602015824254,0.982347322575678
"mmu00330","Arginine and proline metabolism",44,11,4,0.00646486173282367,0.629432401023346
"mmu00340","Histidine metabolism",19,2,1,0.629993540288388,0.856362235067356
"mmu00350","Tyrosine metabolism",27,6,3,0.066904057072013,0.494560892411052
"mmu00360","Phenylalanine metabolism",14,4,2,0.0579516758806198,0.400082826270397
"mmu00380","Tryptophan metabolism",31,7,4,0.0459817256283506,0.354434617874428
"mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5,3,0,0.0109565672227741,1
"mmu00410","beta-Alanine metabolism",28,2,3,0.826118026091561,0.51958003339561
"mmu00430","Taurine and hypotaurine metabolism",15,4,1,0.0724338252419648,0.783840029326062
"mmu00440","Phosphonate and phosphinate metabolism",6,3,0,0.0201431862131907,1
"mmu00450","Selenocompound metabolism",16,0,1,1,0.804834480151901
"mmu00470","D-Amino acid metabolism",5,1,0,0.43899952470626,1
"mmu00480","Glutathione metabolism",58,17,4,0.000101582053650326,0.827008056980571
"mmu00500","Starch and sucrose metabolism",21,3,0,0.406322875861212,1
"mmu00510","N-Glycan biosynthesis",50,17,0,1.18456678465119e-05,1
"mmu00511","Other glycan degradation",17,2,0,0.568027727314925,1
"mmu00512","Mucin type O-glycan biosynthesis",24,11,1,1.63947265399016e-05,0.913837529118279
"mmu00513","Various types of N-glycan biosynthesis",42,13,0,0.000362438442934639,1
"mmu00514","Other types of O-glycan biosynthesis",37,10,1,0.00512966645207213,0.977201983282159
"mmu00515","Mannose type O-glycan biosynthesis",21,5,1,0.0710621683095723,0.88291603971993
"mmu00520","Amino sugar and nucleotide sugar metabolism",34,10,1,0.00261505875320016,0.969012041834298
"mmu00524","Neomycin, kanamycin and gentamicin biosynthesis",2,1,0,0.206411280686305,1
"mmu00531","Glycosaminoglycan degradation",16,2,2,0.534338433429597,0.468923266938471
"mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,1,0,0.901066631448606,1
"mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",13,5,0,0.00934792691282915,1
