"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu00010","Glycolysis / Gluconeogenesis",53,19,10,0.000279181983763287,0.593690184624884
"mmu00020","Citrate cycle (TCA cycle)",30,15,1,1.28354701631224e-05,0.998457632748827
"mmu00030","Pentose phosphate pathway",30,10,2,0.0134863408911809,0.987299405151435
"mmu00040","Pentose and glucuronate interconversions",18,5,4,0.141252946571637,0.472715717883608
"mmu00051","Fructose and mannose metabolism",31,10,4,0.0171614441350797,0.8776161348604
"mmu00052","Galactose metabolism",25,8,3,0.0332004740462826,0.888943774760163
"mmu00053","Ascorbate and aldarate metabolism",13,4,3,0.135536952099386,0.475877693280577
"mmu00061","Fatty acid biosynthesis",16,10,2,2.96996899195018e-05,0.846104882236528
"mmu00062","Fatty acid elongation",30,13,5,0.000303322257014034,0.717997869097698
"mmu00071","Fatty acid degradation",41,12,7,0.0210097181932952,0.707194847048102
"mmu00100","Steroid biosynthesis",19,13,3,3.81206695309868e-07,0.742822447303672
"mmu00120","Primary bile acid biosynthesis",12,2,0,0.585718175425153,1
"mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,1,1,0.848523399857645,0.906738897171493
"mmu00140","Steroid hormone biosynthesis",21,5,5,0.227305790118921,0.386206844288133
"mmu00190","Oxidative phosphorylation",124,70,3,2.2164749033707e-25,0.999999998950628
"mmu00220","Arginine biosynthesis",18,3,4,0.556434127739742,0.472715717883608
"mmu00230","Purine metabolism",110,21,26,0.200426932534985,0.156495605588882
"mmu00232","Caffeine metabolism",2,1,0,0.290391796184607,1
"mmu00240","Pyrimidine metabolism",50,11,6,0.153936092197562,0.941223532176732
"mmu00250","Alanine, aspartate and glutamate metabolism",30,8,10,0.0879995236079131,0.0508052865918777
"mmu00260","Glycine, serine and threonine metabolism",35,12,6,0.00549450448640778,0.697936227163623
"mmu00270","Cysteine and methionine metabolism",47,13,8,0.0264929308869021,0.716006678992325
"mmu00280","Valine, leucine and isoleucine degradation",52,28,4,2.55204546993742e-10,0.994670654115563
"mmu00290","Valine, leucine and isoleucine biosynthesis",4,1,1,0.496480258772758,0.577876921371123
"mmu00310","Lysine degradation",59,19,6,0.00127238624170996,0.981831767246962
"mmu00330","Arginine and proline metabolism",44,12,14,0.0357969086644435,0.0343461731827062
"mmu00340","Histidine metabolism",19,4,10,0.350884519913962,0.00122243295914937
"mmu00350","Tyrosine metabolism",27,4,8,0.634736949211522,0.13618685160161
"mmu00360","Phenylalanine metabolism",14,2,6,0.672173238023997,0.038181888870302
"mmu00380","Tryptophan metabolism",31,12,8,0.00170949567144602,0.241460564331511
"mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5,2,0,0.178955134939016,1
"mmu00410","beta-Alanine metabolism",28,9,8,0.0238151454908494,0.160011347861922
"mmu00430","Taurine and hypotaurine metabolism",15,2,4,0.709595696311236,0.32914859856318
"mmu00440","Phosphonate and phosphinate metabolism",6,3,1,0.0538510471960918,0.725767699040645
"mmu00450","Selenocompound metabolism",16,4,1,0.23720590776237,0.968295896353595
"mmu00470","D-Amino acid metabolism",5,1,2,0.575861539731194,0.250334641089013
"mmu00480","Glutathione metabolism",58,21,6,0.000115265038424501,0.97918633346031
"mmu00500","Starch and sucrose metabolism",21,7,3,0.0365595194363865,0.803378037334885
"mmu00510","N-Glycan biosynthesis",50,26,3,3.01259383518997e-09,0.998273306990015
"mmu00511","Other glycan degradation",17,6,7,0.0395366084855941,0.0322085189160144
"mmu00512","Mucin type O-glycan biosynthesis",24,11,5,0.000492175099535935,0.510161801269937
"mmu00513","Various types of N-glycan biosynthesis",42,20,6,1.25482487908699e-06,0.850615471892168
"mmu00514","Other types of O-glycan biosynthesis",37,13,5,0.00306935367301366,0.870535727312933
"mmu00515","Mannose type O-glycan biosynthesis",21,7,1,0.0365595194363865,0.98922633951955
"mmu00520","Amino sugar and nucleotide sugar metabolism",34,13,6,0.0012676040516285,0.669393194836931
"mmu00524","Neomycin, kanamycin and gentamicin biosynthesis",2,1,0,0.290391796184607,1
"mmu00531","Glycosaminoglycan degradation",16,3,3,0.473170647940308,0.625443197938462
"mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,3,0,0.631260310935725,1
"mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",13,5,2,0.0413050265952302,0.749785743317218
"mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",20,6,2,0.0818840910541416,0.922198569888215
"mmu00541","Biosynthesis of various nucleotide sugars",20,13,1,9.31285106588059e-07,0.986630132607549
"mmu00561","Glycerolipid metabolism",56,18,15,0.00173122207439816,0.111436024585389
"mmu00562","Inositol phosphate metabolism",70,18,10,0.0214290135273414,0.895323881256099
"mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",29,5,4,0.490524208978496,0.841578236622921
"mmu00564","Glycerophospholipid metabolism",90,23,26,0.0110250589569043,0.0191097474112713
"mmu00565","Ether lipid metabolism",39,9,12,0.150107643899033,0.0607932533270624
"mmu00590","Arachidonic acid metabolism",43,10,12,0.128738586228207,0.113717270874944
"mmu00591","Linoleic acid metabolism",18,6,8,0.0516333239927972,0.0135063883289553
"mmu00592","alpha-Linolenic acid metabolism",17,6,5,0.0395366084855941,0.221376244497775
"mmu00600","Sphingolipid metabolism",50,13,18,0.0425725021311237,0.00441392112002718
"mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",24,5,5,0.324450031272217,0.510161801269937
"mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",14,3,5,0.383410888566455,0.117055884191586
"mmu00604","Glycosphingolipid biosynthesis - ganglio series",12,4,4,0.106542513482723,0.189493838741999
"mmu00620","Pyruvate metabolism",39,20,4,2.72063643493966e-07,0.959901717945879
"mmu00630","Glyoxylate and dicarboxylate metabolism",30,19,2,4.99409235487518e-09,0.987299405151435
"mmu00640","Propanoate metabolism",29,18,0,2.02956540968626e-08,1
"mmu00650","Butanoate metabolism",19,10,2,0.000216882621216217,0.907455551157175
"mmu00670","One carbon pool by folate",32,9,3,0.0540412370559876,0.962395756955152
"mmu00730","Thiamine metabolism",11,2,3,0.536529392329492,0.36245431163685
"mmu00740","Riboflavin metabolism",8,3,1,0.118286838074496,0.821855911060387
"mmu00750","Vitamin B6 metabolism",9,2,1,0.426735459308008,0.856422031147156
"mmu00760","Nicotinate and nicotinamide metabolism",35,4,7,0.824233751865551,0.531435205257915
"mmu00770","Pantothenate and CoA biosynthesis",18,6,3,0.0516333239927972,0.707360324611757
"mmu00780","Biotin metabolism",3,1,0,0.402249208890998,1
"mmu00785","Lipoic acid metabolism",17,10,0,6.19156580229052e-05,1
"mmu00790","Folate biosynthesis",20,6,4,0.0818840910541416,0.561795480750197
"mmu00830","Retinol metabolism",31,7,9,0.20660640552476,0.130553852844923
"mmu00860","Porphyrin metabolism",29,11,0,0.00318894683572701,1
"mmu00900","Terpenoid backbone biosynthesis",22,11,1,0.000188873758859089,0.991318539758594
"mmu00910","Nitrogen metabolism",13,4,3,0.135536952099386,0.475877693280577
"mmu00920","Sulfur metabolism",11,1,1,0.848523399857645,0.906738897171493
"mmu00970","Aminoacyl-tRNA biosynthesis",44,14,0,0.00601029778696989,1
"mmu00980","Metabolism of xenobiotics by cytochrome P450",36,5,10,0.690626538172853,0.14438835610302
"mmu00982","Drug metabolism - cytochrome P450",38,5,10,0.736722372514728,0.187770234887464
"mmu00983","Drug metabolism - other enzymes",52,12,4,0.107268902893853,0.994670654115563
"mmu01040","Biosynthesis of unsaturated fatty acids",32,15,5,3.41903900686087e-05,0.771274610274476
"mmu01100","Metabolic pathways",1324,433,199,2.0511984087352e-58,0.999993218991829
"mmu01200","Carbon metabolism",107,46,5,1.65721037635771e-11,0.999998153013259
"mmu01210","2-Oxocarboxylic acid metabolism",30,15,0,1.28354701631224e-05,1
"mmu01212","Fatty acid metabolism",58,30,7,2.18991080438448e-10,0.950183999321961
"mmu01230","Biosynthesis of amino acids",69,27,8,2.33443505033426e-06,0.970325632887716
"mmu01232","Nucleotide metabolism",76,17,15,0.081126843871856,0.515902500441153
"mmu01240","Biosynthesis of cofactors",121,39,20,4.81808644885143e-06,0.819133626659952
"mmu01250","Biosynthesis of nucleotide sugars",34,18,3,5.82208445381539e-07,0.972814158996116
"mmu01320","Sulfur cycle",2,0,0,1,1
"mmu01521","EGFR tyrosine kinase inhibitor resistance",77,9,26,0.87585237668768,0.00203405745638853
"mmu01522","Endocrine resistance",87,7,24,0.989016071094266,0.0399119200380835
"mmu01523","Antifolate resistance",28,4,12,0.664188992768456,0.00378071994688671
"mmu01524","Platinum drug resistance",68,12,11,0.383637030775005,0.792789269130635
"mmu02010","ABC transporters",39,10,10,0.0760228598271931,0.211411027850089
"mmu03008","Ribosome biogenesis in eukaryotes",77,5,8,0.995920870262111,0.989044500134314
"mmu03010","Ribosome",189,17,28,0.997787054710244,0.958585845365364
"mmu03013","Nucleocytoplasmic transport",105,3,10,0.999996962480527,0.99817415244814
"mmu03015","mRNA surveillance pathway",94,3,13,0.999983575888841,0.938203709689809
"mmu03018","RNA degradation",74,6,9,0.982855353947711,0.964131364948153
"mmu03020","RNA polymerase",32,3,3,0.899566723276246,0.962395756955152
"mmu03022","Basal transcription factors",38,0,2,1,0.997216099613533
"mmu03030","DNA replication",35,4,1,0.824233751865551,0.999476439335439
"mmu03040","Spliceosome",138,1,20,0.999999999953087,0.946142115213468
"mmu03050","Proteasome",43,1,1,0.999380104183417,0.999907132205073
"mmu03060","Protein export",34,18,2,5.82208445381539e-07,0.994020128470694
"mmu03082","ATP-dependent chromatin remodeling",99,3,16,0.999992351316457,0.826683759107433
"mmu03083","Polycomb repressive complex",80,1,16,0.999998941964667,0.490151942008732
"mmu03250","Viral life cycle - HIV-1",59,3,8,0.997138738876911,0.908328934199271
"mmu03260","Virion - Human immunodeficiency virus",1,0,1,1,0.193935525055857
"mmu03264","Virion - Flavivirus and Alphavirus",5,3,1,0.0304574457057717,0.65976249144165
"mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",5,0,2,1,0.250334641089013
"mmu03266","Virion - Herpesvirus",9,3,4,0.157459057608994,0.0777842889745187
"mmu03267","Virion - Adenovirus",2,0,1,1,0.35027004209367
"mmu03271","Virion - Rotavirus",2,0,1,1,0.35027004209367
"mmu03272","Virion - Hepatitis viruses",36,6,11,0.51050797921972,0.0740495349282607
"mmu03273","Virion - Lassa virus and SFTS virus",12,2,5,0.585718175425153,0.0646974915110275
"mmu03320","PPAR signaling pathway",61,24,11,7.52091448982914e-06,0.656752081780845
"mmu03410","Base excision repair",45,6,2,0.733673094365007,0.999285046457145
"mmu03420","Nucleotide excision repair",57,4,4,0.985413433976975,0.997662464984798
"mmu03430","Mismatch repair",22,2,2,0.88262634344821,0.945290134499624
"mmu03440","Homologous recombination",40,7,2,0.446487639005942,0.998107322606815
"mmu03450","Non-homologous end-joining",12,2,0,0.585718175425153,1
"mmu03460","Fanconi anemia pathway",50,8,3,0.541224813107952,0.998273306990015
"mmu04010","MAPK signaling pathway",263,22,89,0.99987772866102,1.81323440615285e-08
"mmu04012","ErbB signaling pathway",80,10,21,0.830112381026464,0.0822631761170487
"mmu04014","Ras signaling pathway",191,18,65,0.996200846515465,1.16437806971669e-06
"mmu04015","Rap1 signaling pathway",183,16,55,0.998213987301489,0.000337285974521621
"mmu04020","Calcium signaling pathway",187,24,44,0.888440485447302,0.0912772796056756
"mmu04022","cGMP-PKG signaling pathway",134,15,32,0.947883933626796,0.114833545460738
"mmu04024","cAMP signaling pathway",162,20,37,0.90794496226763,0.154991824754464
"mmu04060","Cytokine-cytokine receptor interaction",182,35,50,0.118608519093245,0.00491262844732126
"mmu04061","Viral protein interaction with cytokine and cytokine receptor",61,15,10,0.0485119941051276,0.770771430642774
"mmu04062","Chemokine signaling pathway",148,23,31,0.564547460647076,0.347063632744982
"mmu04064","NF-kappa B signaling pathway",92,20,18,0.0797147373378359,0.52537820980808
"mmu04066","HIF-1 signaling pathway",99,25,21,0.00969586628723219,0.361580635839269
"mmu04068","FoxO signaling pathway",120,23,25,0.181953754835765,0.37988297256154
