"Pathway","N","Up","Down","P.Up","P.Down"
"Metabolic pathways",1324,433,199,2.0511984087352e-58,0.999993218991829
"Oxidative phosphorylation",124,70,3,2.2164749033707e-25,0.999999998950628
"Diabetic cardiomyopathy",189,78,17,2.73990082099096e-17,0.99997578641616
"Carbon metabolism",107,46,5,1.65721037635771e-11,0.999998153013259
"Cornified envelope formation",138,17,61,0.894119217516347,2.28145970947369e-11
"Thermogenesis",215,72,24,8.1371435951659e-11,0.99961057837268
"Fatty acid metabolism",58,30,7,2.18991080438448e-10,0.950183999321961
"Valine, leucine and isoleucine ...",52,28,4,2.55204546993742e-10,0.994670654115563
"Chemical carcinogenesis - react...",204,68,27,3.40403835017189e-10,0.992307150921654
"Protein processing in endoplasm...",160,56,17,1.60853769199929e-09,0.99909577708789
"Non-alcoholic fatty liver disea...",144,52,15,1.74966788575191e-09,0.998830724435855
"Lysosome",125,47,14,2.30263896545013e-09,0.995161946709557
"Cytoskeleton in muscle cells",198,23,74,0.96068771381969,2.39351516648657e-09
"N-Glycan biosynthesis",50,26,3,3.01259383518997e-09,0.998273306990015
"Glyoxylate and dicarboxylate me...",30,19,2,4.99409235487518e-09,0.987299405151435
"Peroxisome",80,34,4,1.02131333512028e-08,0.999957813234982
"MAPK signaling pathway",263,22,89,0.99987772866102,1.81323440615285e-08
"Propanoate metabolism",29,18,0,2.02956540968626e-08,1
"Signaling pathways regulating p...",109,6,45,0.999741950133087,1.13140062385742e-07
"Axon guidance",166,20,61,0.927366633536577,1.20019631533616e-07
