"","Pathway","N","Up","Down","P.Up","P.Down"
"mmu00010","Glycolysis / Gluconeogenesis",53,10,7,0.00755297745153628,0.539320281038251
"mmu00020","Citrate cycle (TCA cycle)",30,9,1,0.000351054511465751,0.984479671913151
"mmu00030","Pentose phosphate pathway",30,6,1,0.027074237947955,0.984479671913151
"mmu00040","Pentose and glucuronate interconversions",18,4,3,0.0478920466785281,0.418218934837684
"mmu00051","Fructose and mannose metabolism",31,4,4,0.22403301189269,0.583477098244476
"mmu00052","Galactose metabolism",25,5,1,0.0422846696243344,0.968906051560261
"mmu00053","Ascorbate and aldarate metabolism",13,3,0,0.0765988392154018,1
"mmu00061","Fatty acid biosynthesis",16,6,1,0.000940029976663475,0.891454927314118
"mmu00062","Fatty acid elongation",30,11,2,9.17844722610737e-06,0.915050527307693
"mmu00071","Fatty acid degradation",41,10,4,0.00102534293627184,0.795775207164057
"mmu00100","Steroid biosynthesis",19,3,4,0.18415025214848,0.225409843290595
"mmu00120","Primary bile acid biosynthesis",12,2,3,0.24246122170175,0.196145314928256
"mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,1,1,0.593970004948271,0.78268208499092
"mmu00140","Steroid hormone biosynthesis",21,8,3,0.000114966601172417,0.523563469632574
"mmu00190","Oxidative phosphorylation",124,22,3,0.000246577494349786,0.999993971027848
"mmu00220","Arginine biosynthesis",18,4,5,0.0478920466785281,0.073199254569848
"mmu00230","Purine metabolism",110,15,16,0.0252410640608267,0.349414390391602
"mmu00232","Caffeine metabolism",2,1,0,0.151112657215506,1
"mmu00240","Pyrimidine metabolism",50,7,4,0.0947910047062509,0.902995772377655
"mmu00250","Alanine, aspartate and glutamate metabolism",30,7,8,0.00746795339662604,0.0331158119057179
"mmu00260","Glycine, serine and threonine metabolism",35,6,5,0.0531408090059033,0.481258723756398
"mmu00270","Cysteine and methionine metabolism",47,10,5,0.00307823982137713,0.745679523080319
"mmu00280","Valine, leucine and isoleucine degradation",52,12,2,0.000570834185104475,0.993621971343581
"mmu00290","Valine, leucine and isoleucine biosynthesis",4,1,1,0.279405988884611,0.425881398911046
"mmu00310","Lysine degradation",59,7,4,0.179287949017639,0.95709489349447
"mmu00330","Arginine and proline metabolism",44,10,8,0.00182904298036327,0.203181597039731
"mmu00340","Histidine metabolism",19,3,5,0.18415025214848,0.0891864901958579
"mmu00350","Tyrosine metabolism",27,6,8,0.0164931516647286,0.0178373880683527
"mmu00360","Phenylalanine metabolism",14,3,5,0.092002850877906,0.0264666457946613
"mmu00380","Tryptophan metabolism",31,8,5,0.00219685543291547,0.374021951618811
