"Length","Symbol","logFC","logCPM","F","PValue","FDR"
2021,"Ptn",-8.80095667496804,7.97723170245078,2893.66855932927,4.6588159221545e-16,7.29803514205502e-12
1793,"Stc2",-5.00580443959489,6.11360623623261,1396.90385472694,4.1250087496625e-14,2.40246450969923e-10
2476,"Gjb6",7.5480522220212,4.86261544369657,1347.36593897493,5.7560923735417e-14,2.40246450969923e-10
5346,"Fgfr2",-5.09694253791715,7.3879114193996,1309.38102002295,6.1346045571637e-14,2.40246450969923e-10
640,"Fabp3",8.28673208241027,9.29738199799852,1223.41314457663,9.31689323845565e-14,2.91898265160816e-10
1345,"Hp",-4.33638099218164,4.93736513604414,1089.74307836839,2.01189054880102e-13,5.252710907828e-10
5261,"Hephl1",8.15919543010903,6.1284195802051,725.125920894804,2.49670312631587e-13,5.58726492481974e-10
975,"Cited1",-4.72248267832433,5.67904500348262,998.559762563139,3.24104758002998e-13,6.34637629264621e-10
1264,"Gipc2",-6.53803893979305,3.51683808672075,967.883391382867,4.15037518471256e-13,7.22395858539136e-10
1575,"Fgb",-9.44431699884721,3.94793659662228,771.047565395379,4.73392485324558e-13,7.27248361916236e-10
691,"Ly6d",-5.82024797502892,4.69093787021217,898.325934384188,5.10675517464322e-13,7.27248361916236e-10
625,"Glycam1",8.34074652314519,14.4907024280579,883.42771624069,6.83746378495699e-13,7.95170970657677e-10
3815,"C130021I20Rik",-4.28069770483021,5.38582674971117,869.013100186124,7.56192143909617e-13,7.95170970657677e-10
4089,"Kcnk6",4.57807853272592,5.91745038853077,868.673413351397,7.58980342632135e-13,7.95170970657677e-10
3756,"Gldc",7.37547538444448,6.86995419995699,875.553881131067,7.61414909662633e-13,7.95170970657677e-10
367,"Fam25a",-6.14457547796645,1.89592021811293,455.155960607172,8.25282437898263e-13,8.08003086854768e-10
3743,"Clic6",-6.49461810713008,4.03914406126709,842.607780394047,8.91938653380819e-13,8.14171869374593e-10
775,"AW112010",-4.6272763897535,3.64621580597025,846.757019446649,9.35531034072305e-13,8.14171869374593e-10
953,"Id3",-4.46075345611789,5.10119242061893,795.280971734962,1.30228764679265e-12,1.07370189405299e-09
1480,"Gm20016",-4.89088144614593,1.4417327195446,395.582050895285,2.61831128670657e-12,2.01731041286892e-09
10724,"Piezo2",-6.80190353404035,4.06266409778343,709.136666254669,2.70434207917315e-12,2.01731041286892e-09
5804,"Rgs8",9.61382755864253,2.63710480561413,492.106444687098,2.98066974971122e-12,2.12237234678301e-09
1477,"Arg1",-4.92841096489689,4.46450970108639,674.25028265816,3.59251989383422e-12,2.44681844073535e-09
4049,"Lpl",5.8657170889704,9.30451427857466,664.144060002225,3.8978861137282e-12,2.54418274881468e-09
3891,"Acsl1",4.41691520902415,9.32075810422798,650.931299959324,4.40422139039703e-12,2.75968512322278e-09
3870,"Slc16a12",5.39086418284906,4.66572782805937,592.943166596031,5.541497751418e-12,3.24665180721794e-09
5430,"Trp53inp1",-2.60074428488657,6.56431170060617,624.860143024484,5.64754751169369e-12,3.24665180721794e-09
3148,"Apln",6.15682150694608,5.67673622024589,622.333305952791,5.80314398992035e-12,3.24665180721794e-09
2644,"Mocs1",2.7957509095154,6.31119848691898,615.32187454441,6.20169154760908e-12,3.34998269287229e-09
4402,"Eps8",-3.98716082295248,5.71626093210437,607.292142488441,6.72255208523161e-12,3.51029261383844e-09
7857,"Slc7a2",-4.27486679989205,6.65085027784328,583.25648345226,8.58454681194808e-12,4.3379653486828e-09
7073,"Ablim1",-2.97296514206725,5.30841581841762,576.95199229218,9.17343030759899e-12,4.49068080526682e-09
3188,"Foxa1",-3.37502482953771,4.72667265032486,578.661123153498,9.51249602134297e-12,4.51555303558599e-09
