"","Length","Symbol","logFC","logCPM","F","PValue","FDR"
"13645",4757,"Egf",-5.35819429098087,3.68001350246971,1176.61719852746,1.24898309949181e-13,1.08820604204712e-09
"12992",765,"Csn1s2b",-8.55200043224516,10.1924228457305,1074.47638524237,2.04268486196039e-13,1.08820604204712e-09
"11941",7050,"Atp2b2",-7.37062035452279,6.60816554282717,1089.24887486001,2.08402050822941e-13,1.08820604204712e-09
"69219",3747,"Ddah1",-6.25465775012301,4.21557022309188,919.353856634935,5.43895638782924e-13,2.13003129538362e-09
"13358",1678,"Slc25a1",-4.12869320398221,7.50235931402903,878.540812920696,7.07160713041261e-13,2.21553451395827e-09
"19659",2628,"Rbp1",5.39013167794954,6.82960010631744,791.771923689289,1.33527757887611e-12,3.40438449120285e-09
"83492",2382,"Gsdmc",-4.84423803106082,3.1690635936865,410.700310501573,1.52126980136738e-12,3.40438449120285e-09
"67547",3707,"Slc39a8",-6.504775459624,5.0766589174643,689.90335640264,3.09618094550407e-12,6.06270931391516e-09
"68801",2781,"Elovl5",-2.8565691479785,7.21705367831781,639.529484355041,4.90414815030235e-12,8.53594230827625e-09
"14618",1497,"Gjb1",-6.03485015669385,2.64114251838144,564.398646010213,5.76021582626094e-12,9.02337809183776e-09
"72027",2226,"Slc39a4",4.34513146364258,4.28231998987161,605.979642762326,6.83514930534547e-12,9.73387398802153e-09
"12705",975,"Cited1",-3.5363599308069,5.67904500348262,584.537026528188,8.49383401117747e-12,1.10879924820913e-08
"217294",1952,"BC006965",3.71763611512049,4.68361710540637,575.389509256738,9.32612306777607e-12,1.12379782966702e-08
"14598",2022,"Ggt1",-3.01603272739709,6.38394013627205,555.754476015022,1.15090774928046e-11,1.15911441368482e-08
"19041",6277,"Ppl",3.61501963950819,6.96979511092657,555.137998447603,1.15868764635434e-11,1.15911441368482e-08
"68603",1506,"Pmvk",-2.67642176748682,5.30651903364575,553.173079211373,1.18390236954722e-11,1.15911441368482e-08
"544998",657,"Gm16440",-6.82438296776104,0.955620938191999,383.40878429945,1.28284532650301e-11,1.18161852455126e-08
"100705",8485,"Acacb",-4.31652727161723,6.58471559344213,540.834935099046,1.35774870360183e-11,1.18161852455126e-08
"230810",3313,"Slc30a2",-3.20090021889129,5.21822478248517,531.938389379114,1.50462665976163e-11,1.24052508553505e-08
"20531",4175,"Slc34a2",-4.18264136084362,8.00782569315211,511.153680306719,1.91397091996145e-11,1.49911772305981e-08
"170439",5951,"Elovl6",-3.17905529763144,5.71376750590535,500.521945466074,2.17051293176615e-11,1.61909928933889e-08
"20512",4206,"Slc1a3",-4.14648567870809,3.65533541965321,482.949384162719,2.83258091685261e-11,1.92035842240983e-08
"26366",1050,"Ceacam10",-3.29515359023812,4.96964092698509,463.084949617319,2.98413603346153e-11,1.92035842240983e-08
"13631",6325,"Eef2k",-1.90127081806071,6.22869431449948,474.78340705507,2.98725046332541e-11,1.92035842240983e-08
"207521",5770,"Dtx4",4.72070155793931,3.8786327224287,470.451761294125,3.18260974125919e-11,1.92035842240983e-08
"11416",3109,"Slc33a1",-2.6026697954315,4.68295566204065,469.729612113214,3.18731688366776e-11,1.92035842240983e-08
"14219",2403,"Ccn2",6.98783646365871,9.71833952650498,456.621756482891,3.78319339440688e-11,2.06592093285713e-08
"27224",4592,"Eloa",-2.03369792824521,7.12182881688213,455.558170143734,3.83495716837603e-11,2.06592093285713e-08
"74127",1774,"Krt80",4.26834577123557,4.29779769861695,450.244773659884,4.12216586819583e-11,2.06592093285713e-08
"74051",10871,"Steap2",-3.23144971848031,4.94215276327538,450.01435938252,4.13001094522301e-11,2.06592093285713e-08
"244954",2525,"Prss35",-6.82007061067903,0.516296744172753,329.666529708805,4.14477938039686e-11,2.06592093285713e-08
"12683",1164,"Cidea",-4.79736318698643,7.92630444155652,450.462399185086,4.2636089937008e-11,2.06592093285713e-08
"224022",3231,"Slc7a4",-2.68221695825741,4.47282914940142,446.27787783881,4.35208367598374e-11,2.06592093285713e-08
"22051",1760,"Trip6",2.34453951815669,5.86296471609767,435.802865535239,5.01216106447955e-11,2.309279502208e-08
"20440",4836,"St6gal1",-2.84523342150011,7.61184792171493,432.433141059595,5.25228776264377e-11,2.35077393719471e-08
"70358",1216,"Steap1",-3.91132416029448,2.91033065010472,418.26197385063,6.56273048411775e-11,2.83239441041515e-08
"110460",2076,"Acat2",-2.49365765672473,4.88941503955974,413.924058510247,6.83749924886528e-11,2.83239441041515e-08
"66885",3348,"Acadsb",-1.88849270181575,6.48263679071541,413.587273789653,6.87079397355733e-11,2.83239441041515e-08
"140474",11281,"Muc4",2.50465227038292,6.06251112855098,309.230301749854,7.46028275041941e-11,2.9965469047518e-08
"57776",3888,"Ttyh1",-4.54515663279828,2.13559188619216,406.846896205352,7.72632181881230e-11,3.02582078229237e-08
"13032",2472,"Ctsc",-3.40028953263247,5.94958714243673,402.388268779605,8.10622622477522e-11,3.09008666407426e-08
"64291",5306,"Osbpl1a",-2.54520066403031,6.09970595197003,400.932949189124,8.28494349767756e-11,3.09008666407426e-08
"16790",3423,"Anpep",3.37038080755241,6.93129791397009,389.718733411534,9.82761100170072e-11,3.53658360168325e-08
"52150",4089,"Kcnk6",-2.42174511440402,5.91745038853077,387.94022290616,1.01144501847319e-10,3.53658360168325e-08
"213006",4853,"Mfsd4a",-2.55665057940302,4.3604015164452,387.585585879532,1.0159352829604e-10,3.53658360168325e-08
"56745",4519,"C1qtnf1",4.79981503277863,5.18255960832601,382.702289793187,1.09687770312359e-10,3.735345482485e-08
"12778",2579,"Ackr3",-3.03843791660275,7.47005162399897,378.96632591223,1.16283214192214e-10,3.76334767708712e-08
"71310",5848,"Tbc1d9",2.23950825216342,6.51218421018684,378.423956900946,1.1728252036057e-10,3.76334767708712e-08
"22781",3580,"Ikzf4",-2.38877007407873,5.87115271151492,378.194081799683,1.17717227052198e-10,3.76334767708712e-08
"60525",2833,"Acss2",-2.55337686706012,5.10675289807207,372.051289740515,1.29905519456184e-10,3.99576497066222e-08
"224530",1991,"Acat3",-2.57823087447937,4.11023918089201,371.396107392545,1.31297618590237e-10,3.99576497066222e-08
"18405",768,"Orm1",-4.43274325475672,3.01813339622528,353.18853949093,1.32639501100821e-10,3.99576497066222e-08
"56072",2755,"Lgals12",-2.36516462773858,4.90172123007884,364.09295580018,1.48247787255714e-10,4.38170110822784e-08
"30935",3268,"Tor3a",-3.5017428628502,5.13562174060864,357.02307771934,1.66371499126106e-10,4.77197060799871e-08
"380714",931,"Rph3al",-2.69000875076876,3.2092873885091,356.640449282634,1.67544451605445e-10,4.77197060799871e-08
"11886",2251,"Asah1",-2.45330823104802,6.34524056103942,354.54089899425,1.73472053202414e-10,4.78345661932615e-08
"231070",2648,"Insig1",-4.1068351414491,6.67380873532462,354.343273397197,1.7405491688579e-10,4.78345661932615e-08
"20249",4837,"Scd1",-3.29540415440657,12.0014486910052,351.102315330953,1.83913488431751e-10,4.83441122164375e-08
"192166",4558,"Sardh",-2.17839856210745,5.11136118751513,350.73907245984,1.85068945994608e-10,4.83441122164375e-08
"64297",4525,"Gprc5b",-2.50290197196892,6.39596237859489,350.70762335528,1.85167362463214e-10,4.83441122164375e-08
"19224",2864,"Ptgs1",-4.1303615645567,5.18184773058514,348.648565925021,1.91887317537887e-10,4.92772922824754e-08
"67041",3482,"Oxct1",-2.45091344456769,7.3439689250982,344.794698722678,2.05027381044355e-10,5.18024826461263e-08
"56349",3738,"Net1",-2.08357680958555,5.98576935086908,342.63571389435,2.12893971828594e-10,5.29362550586497e-08
"17131",4441,"Smad7",3.1013258327406,7.26482202274781,339.567377189572,2.24692592851358e-10,5.49970229221333e-08
"26897",1559,"Acot1",3.52177518057412,6.70572342253719,336.65656054617,2.36581557653959e-10,5.7016155394604e-08
"12351",1300,"Car4",-6.05085067612005,4.79617295362077,338.987750010277,2.4578764511527e-10,5.83373251625864e-08
