"NGenes","Direction","PValue","FDR","Contrast"
225,"Down",8.45884536773342e-36,4.67689560381981e-32,"B.LvsP.REACTOME_RRNA_PROCESSING"
110,"Down",1.77151218996761e-35,4.89734544916547e-32,"B.LvsP.REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION"
104,"Down",5.22772487940252e-35,9.63469695273885e-32,"B.LvsP.KEGG_RIBOSOME"
137,"Down",1.39726940741556e-31,1.93137563840015e-28,"B.LvsP.REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE"
119,"Down",1.8850967000703e-29,2.08453993093774e-26,"B.LvsP.REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY"
140,"Down",3.50440759535014e-28,3.22931159911515e-25,"B.LvsP.REACTOME_NONSENSE_MEDIATED_DECAY_NMD"
160,"Down",5.59238817342686e-28,4.41718774441102e-25,"B.LvsP.REACTOME_EUKARYOTIC_TRANSLATION_INITIATION"
135,"Down",1.34080268190392e-27,9.26662253530844e-25,"B.LvsP.REACTOME_SELENOAMINO_ACID_METABOLISM"
189,"Down",1.65126706175483e-21,1.01442839827138e-18,"B.LvsP.REACTOME_INFLUENZA_INFECTION"
196,"Down",2.31050778484471e-20,1.27747975424064e-17,"B.LvsP.SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP"
219,"Down",4.95510456497447e-20,2.49061573997671e-17,"B.LvsP.REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS"
61,"Down",8.99272055521074e-20,4.14339599581335e-17,"B.LvsP.REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL"
346,"Down",2.7197941390387e-18,1.15674936882654e-15,"B.LvsP.REACTOME_TRANSLATION"
415,"Down",6.92244394484061e-18,2.73387089793027e-15,"B.LvsP.WONG_EMBRYONIC_STEM_CELL_CORE"
84,"Down",1.10193211087839e-17,4.06172176069776e-15,"B.LvsP.BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES"
107,"Down",4.36284965352389e-17,1.50763723339585e-14,"B.LvsP.GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN"
84,"Down",4.96829805652199e-17,1.61586587967707e-14,"B.LvsP.REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S"
94,"Down",5.83394579575746e-17,1.79199368359683e-14,"B.LvsP.MOOTHA_VOXPHOS"
186,"Down",7.22446096264873e-16,2.10231814013078e-13,"B.LvsP.ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER"
58,"Down",2.24636655065375e-15,6.21008032928229e-13,"B.LvsP.ISHIDA_E2F_TARGETS"
83,"Down",3.64793113630695e-15,9.60448154887672e-13,"B.LvsP.CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP"
335,"Down",9.91562355126406e-15,2.49197648249723e-12,"B.LvsP.KOBAYASHI_EGFR_SIGNALING_24HR_DN"
172,"Down",1.39990659089951e-14,3.36525371351451e-12,"B.LvsP.DANG_MYC_TARGETS_UP"
135,"Down",7.50339045032122e-14,1.72859357499275e-11,"B.LvsP.KEGG_PARKINSONS_DISEASE"
56,"Down",2.27856542991516e-13,5.03927530480037e-11,"B.LvsP.ZHAN_MULTIPLE_MYELOMA_PR_UP"
69,"Down",6.04466393849354e-13,1.28542103522811e-10,"B.LvsP.IRITANI_MAD1_TARGETS_DN"
100,"Down",7.11574713052493e-13,1.45714688461749e-10,"B.LvsP.CROONQUIST_NRAS_SIGNALING_DN"
775,"Down",1.33448159841095e-12,2.63512455629076e-10,"B.LvsP.REACTOME_METABOLISM_OF_RNA"
125,"Down",1.39069498629731e-12,2.65143192387512e-10,"B.LvsP.CROONQUIST_IL6_DEPRIVATION_DN"
278,"Down",1.88364555972579e-12,3.47155876657464e-10,"B.LvsP.REACTOME_SIGNALING_BY_ROBO_RECEPTORS"
61,"Down",2.40780002595904e-12,4.29442785275082e-10,"B.LvsP.POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN"
133,"Down",3.15513051233943e-12,5.45147393835146e-10,"B.LvsP.REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS"
763,"Down",5.87178297715293e-12,9.8379054789935e-10,"B.LvsP.CAIRO_HEPATOBLASTOMA_CLASSES_UP"
1184,"Down",7.85415883633073e-12,1.27722482959037e-09,"B.LvsP.LEE_BMP2_TARGETS_DN"
117,"Down",1.05031989050988e-11,1.64937546702512e-09,"B.LvsP.ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR"
176,"Down",1.07392868173095e-11,1.64937546702512e-09,"B.LvsP.ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR"
49,"Down",1.23608200147415e-11,1.84710740166232e-09,"B.LvsP.YU_MYC_TARGETS_UP"
174,"Down",1.51675020414767e-11,2.20687154703486e-09,"B.LvsP.KARLSSON_TGFB1_TARGETS_UP"
31,"Down",4.53148981204102e-11,6.42425824891661e-09,"B.LvsP.REACTOME_CRISTAE_FORMATION"
69,"Down",5.42682671460793e-11,7.50123122626682e-09,"B.LvsP.KANG_DOXORUBICIN_RESISTANCE_UP"
47,"Down",7.03669697990366e-11,9.42996945568978e-09,"B.LvsP.WHITFIELD_CELL_CYCLE_LITERATURE"
370,"Down",7.30230582785428e-11,9.42996945568978e-09,"B.LvsP.MANALO_HYPOXIA_DN"
215,"Down",7.33385217208646e-11,9.42996945568978e-09,"B.LvsP.WINNEPENNINCKX_MELANOMA_METASTASIS_UP"
108,"Down",1.02742431039476e-10,1.29105204822106e-08,"B.LvsP.REACTOME_RESPIRATORY_ELECTRON_TRANSPORT"
73,"Down",1.16313725547907e-10,1.42910797456529e-08,"B.LvsP.SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP"
13,"Down",2.31707406556116e-10,2.78502228445384e-08,"B.LvsP.KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN"
22,"Down",2.69887638520087e-10,3.17491224122885e-08,"B.LvsP.EGUCHI_CELL_CYCLE_RB1_TARGETS"
167,"Down",3.51955072669786e-10,4.0540824933151e-08,"B.LvsP.KONG_E2F3_TARGETS"
189,"Down",3.71721310630613e-10,4.18148809571279e-08,"B.LvsP.REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
185,"Down",3.78141444719912e-10,4.18148809571279e-08,"B.LvsP.WHITEFORD_PEDIATRIC_CANCER_MARKERS"
105,"Down",5.94194039931629e-10,6.44176244467054e-08,"B.LvsP.SCHUHMACHER_MYC_TARGETS_UP"
73,"Down",6.18602498714488e-10,6.57741002960078e-08,"B.LvsP.REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
31,"Down",6.86929386952484e-10,7.16609920841563e-08,"B.LvsP.REICHERT_MITOSIS_LIN9_TARGETS"
50,"Up",7.45324953219726e-10,7.63129938213308e-08,"B.LvsP.REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP"
95,"Down",8.10290746882625e-10,8.14563189002552e-08,"B.LvsP.DANG_REGULATED_BY_MYC_UP"
131,"Down",9.64152042274482e-10,9.51927971738502e-08,"B.LvsP.LEE_EARLY_T_LYMPHOCYTE_UP"
192,"Down",1.39876104549719e-09,1.35679821413228e-07,"B.LvsP.BENPORATH_PROLIFERATION"
54,"Down",1.67352457979244e-09,1.59533058649524e-07,"B.LvsP.NAKAMURA_CANCER_MICROENVIRONMENT_DN"
211,"Down",1.88300104217828e-09,1.76459538342436e-07,"B.LvsP.SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM"
266,"Down",2.3116598139099e-09,2.13019451851798e-07,"B.LvsP.FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN"
833,"Down",2.49901266605953e-09,2.26508869354806e-07,"B.LvsP.BERENJENO_TRANSFORMED_BY_RHOA_UP"
18,"Down",2.84643477197329e-09,2.53837707326456e-07,"B.LvsP.REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING"
292,"Down",3.15888687825137e-09,2.77229929362727e-07,"B.LvsP.GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP"
88,"Down",3.30830106345884e-09,2.85806196560374e-07,"B.LvsP.REACTOME_DNA_REPLICATION_PRE_INITIATION"
149,"Down",3.54035090344031e-09,3.00466011009855e-07,"B.LvsP.GAVIN_FOXP3_TARGETS_CLUSTER_P6"
67,"Down",3.58668054379643e-09,3.00466011009855e-07,"B.LvsP.PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP"
80,"Down",4.4593036231852e-09,3.64791318319825e-07,"B.LvsP.MODY_HIPPOCAMPUS_PRENATAL"
70,"Down",4.48649116399857e-09,3.64791318319825e-07,"B.LvsP.MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN"
221,"Down",5.15016501968881e-09,4.12684962229847e-07,"B.LvsP.HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP"
47,"Down",5.23634662531835e-09,4.13596578448359e-07,"B.LvsP.KAMMINGA_EZH2_TARGETS"
165,"Down",5.81567034333473e-09,4.52885089130954e-07,"B.LvsP.REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION"
18,"Down",6.42005266566787e-09,4.93006544284412e-07,"B.LvsP.FINETTI_BREAST_CANCER_KINOME_RED"
414,"Down",7.2105086913524e-09,5.46121952801198e-07,"B.LvsP.DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP"
36,"Down",9.47926902177486e-09,7.08255113802611e-07,"B.LvsP.FARMER_BREAST_CANCER_CLUSTER_2"
735,"Down",1.03020892995996e-08,7.59470023166485e-07,"B.LvsP.GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP"
407,"Down",1.1301739616254e-08,8.22201557082478e-07,"B.LvsP.REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
29,"Up",1.230036640143e-08,8.83230205629957e-07,"B.LvsP.HORTON_SREBF_TARGETS"
139,"Down",1.46688234132587e-08,1.03979390579368e-06,"B.LvsP.KEGG_OXIDATIVE_PHOSPHORYLATION"
