"","Length","Symbol","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"1",3634,"Xkr4",438,300,65,237,354,287,0,0,0,0,0,0
"2",3130,"Sox17",106,182,82,105,43,82,16,25,18,8,3,10
"3",4203,"Mrpl15",309,234,337,300,290,270,560,464,489,328,307,342
"4",2433,"Lypla1",652,515,948,935,928,791,826,862,668,646,544,581
"5",2847,"Tcea1",1604,1495,1721,1317,1159,1066,1334,1258,1068,926,508,500
"6",2241,"Rgs20",4,2,14,4,2,2,170,165,138,60,27,15
"7",1976,"Atp6v1h",769,752,1062,987,995,903,1381,1430,1762,1570,1330,1296
"8",7046,"Rb1cc1",1494,1412,1157,967,1603,1577,1262,1336,1288,1278,717,622
"9",5232,"Pcmtd1",1344,1242,1374,1593,2029,1982,1085,961,1036,1144,1427,1459
"10",2048,"Rrs1",1691,1808,2127,1653,793,544,1207,1071,1076,948,383,409
"11",3139,"Adhfe1",18,15,15,21,24,24,26,55,172,197,247,252
"12",1246,"2610203C22Rik",5,3,3,4,17,12,19,15,27,53,18,12
"13",3187,"Vxn",17,6,15,18,84,77,5,8,9,7,6,5
"14",3564,"Mybl1",764,537,286,262,358,282,256,311,140,141,39,49
"15",5179,"Vcpip1",1501,1378,1137,1021,1181,956,1475,1636,1446,1290,473,432
"16",5622,"Sgk3",280,232,145,146,212,232,207,168,55,58,42,36
"17",407,"Snhg6",352,366,424,362,195,153,405,375,206,192,93,93
"18",74,"Snord87",10,11,11,14,8,3,8,5,3,2,3,0
"19",501,"Tcf24",14,10,4,7,2,3,1,1,4,0,3,1
"20",1240,"Cops5",1134,1051,1174,1031,956,818,1531,1714,1426,1219,734,763
"21",4354,"Cspp1",670,606,493,434,542,551,561,623,466,497,251,266
"22",7042,"Arfgef1",3447,3604,3304,2975,2983,2772,3703,3534,3018,3079,2290,2213
"23",1930,"Cpa6",92,121,89,61,71,63,0,0,0,0,0,0
"24",11187,"Prex2",388,553,145,147,137,161,137,151,24,38,62,43
"25",4864,"Sulf1",884,965,331,535,437,372,42,63,10,11,18,17
"26",8512,"Slco5a1",38,15,23,9,10,5,13,7,18,8,1,0
"27",2593,"Prdm14",8,11,13,12,18,15,5,9,5,3,0,0
"28",8213,"Ncoa2",2356,2516,3180,2743,3210,3146,2359,2541,1445,1268,719,740
"29",2888,"Tram1",1477,1481,1409,1290,1026,945,2333,2717,3945,3090,4555,4628
"30",1889,"Lactb2",141,119,135,122,180,177,293,332,201,182,344,377
"31",4345,"Eya1",280,388,412,366,497,619,1,2,1,1,0,1
"32",1717,"Msc",5,2,3,2,2,1,55,44,36,16,1,2
"33",1633,"Terf1",270,235,181,146,169,221,214,220,150,137,154,121
"34",2748,"Sbspon",733,924,382,393,245,244,10,13,3,19,0,1
"35",934,"Rpl7",13915,16804,14309,12427,9690,8652,15065,14918,12087,10919,3834,3766
"36",2295,"Rdh10",2322,1860,1809,1253,1278,1388,541,760,620,609,114,108
"37",2890,"Stau2",395,419,533,464,439,362,422,489,469,357,191,222
"38",2354,"Ube2w",750,719,712,650,842,717,411,404,345,335,208,226
"39",955,"Eloc",3119,2920,2716,2221,2115,1980,1347,1240,923,805,549,523
