"","B.lactating","B.pregnant","B.virgin","L.lactating","L.pregnant","L.virgin"
"497097",-11.1323674773606,-12.0158759863294,-11.2191532545642,-19.0267376293459,-19.0267376293459,-19.0267376293459
"20671",-12.7633606322756,-12.5095785692774,-12.1480389521844,-14.5018067998699,-14.2946465723511,-14.1391468215185
"27395",-11.2667767715719,-11.2893574539354,-11.5240464487773,-10.6020389922036,-10.8596228615959,-10.9247138609518
"18777",-10.1460384006372,-10.2032614116489,-10.7591033693397,-10.051971201048,-10.377806403629,-10.4277675203057
"21399",-9.88764974854637,-9.73145349690856,-9.77973057407342,-10.1616245669266,-9.96304658160896,-9.99754622999682
"58175",-16.1506378867156,-14.8426766459578,-15.9788536147916,-13.3362948931888,-12.2779402285425,-12.0436476096105
"108664",-10.0466558755931,-10.1202568848701,-10.4904924918175,-9.20419161137451,-9.44910348218568,-9.91772508267045
"12421",-9.53017653637779,-10.0869797500861,-9.84375717397108,-9.87746747101692,-9.70795304676888,-9.99682013139314
"319263",-9.29807379595149,-9.74433115958035,-9.9608470033528,-9.10988412325675,-9.86869801354288,-10.2332570488118
"59014",-10.39841512288,-9.51260502122351,-9.65564181369234,-10.4028873760212,-9.94777655276462,-10.1258585317551
"76187",-13.7187485504929,-14.153704945773,-14.3136505344163,-10.8646581450437,-11.6453476297353,-13.463602605629
"72481",-14.2196478247454,-15.7613363974905,-15.7030879374496,-13.6715040574126,-13.1708397617341,-14.3234785188588
"76982",-12.5122039610061,-14.2406327140119,-14.6720726583297,-14.666758841663,-14.773382123087,-15.2711710551369
"17864",-11.1340562271228,-11.4392246124689,-10.6525071853874,-12.5987050156751,-11.9195887289254,-11.5199696678907
"70675",-9.92871207316731,-10.0692958571982,-9.85365447854566,-10.269268495541,-9.64613095241915,-9.81728542004518
"170755",-11.498114480469,-12.0704037876688,-11.5814880270718,-12.7189150546535,-12.8295314873222,-11.9293085435072
"73824",-11.7428396862821,-11.0801473815567,-11.2401213260468,-11.8510128284848,-11.5726609629493,-11.1982277092255
"266793",-15.1757931318455,-14.5156592502694,-14.7599892916549,-15.9324977589553,-15.9056635561365,-15.2704874906847
"100039596",-15.9387795179203,-15.3228630053621,-14.6289635148366,-15.6562257815435,-16.1184137952806,-17.0216986378635
"26754",-10.1145304722148,-10.0483157468017,-10.1292687484187,-9.76627623093511,-9.68088386514148,-9.77525012256126
"211660",-10.5978267266826,-10.9145640789747,-10.667497208185,-10.8292880870392,-10.686730892093,-10.783118012846
"211673",-8.93736355194095,-9.00126817595575,-8.95534340572059,-8.66491209240878,-8.84181322640631,-8.97092196126776
"329093",-12.6955243826727,-12.7367544397988,-12.4527868768147,-19.0267376293459,-19.0267376293459,-19.0267376293459
"109294",-11.8964096408734,-12.0668700928255,-10.9644403959281,-12.4219755294747,-13.4266197070448,-12.1957385056074
