"Length","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
2006,"Mrgprf",5.14598683927246,5.15318362749126,2.75210772086906,6.47808537014164e-13,1.01479207323269e-08
765,"Csn1s2b",6.08336450351318,6.09211684832375,10.1924228457305,7.52003358306057e-11,5.89006630393219e-07
11281,"Muc4",-7.17686698088365,-7.33858075916998,6.06251112855098,1.57508599352497e-10,6.1831641007626e-07
667,"Tnni2",5.75338848070203,5.7584198405703,3.86618432828525,1.57884815850944e-10,6.1831641007626e-07
1445,"Gjb4",-4.54233179838366,-4.54428317967162,5.54790631600119,6.79483705126676e-10,2.08728878353182e-06
1812,"Cldn4",-5.32308021500445,-5.32640371499704,9.87836657624822,8.04312525674913e-10,2.08728878353182e-06
888,"Ecrg4",-2.80806946236515,-2.80818319798562,6.69008464758178,1.04759166749593e-09,2.08728878353182e-06
1922,"Gjb3",-3.5831872061759,-3.58387137561614,5.50821099161047,1.17925873319856e-09,2.08728878353182e-06
2242,"Wif1",-1.8229263364115,-1.82298206501735,6.77404081289167,1.19920836589763e-09,2.08728878353182e-06
7094,"Myof",2.32041430679671,2.32067977422015,6.44988981394608,1.7636558275481e-09,2.76276685385409e-06
8292,"Atp2b4",2.14173870146075,2.14182786132693,6.15322675392502,2.1536836728355e-09,3.06704133954256e-06
1289,"Igfbp6",2.86738898609126,2.86827763771585,3.68345415011563,3.27361597183583e-09,4.27343284990069e-06
3346,"Micall2",-2.25265199295187,-2.25293971762711,5.19232948823275,3.61093322642156e-09,4.35117453783798e-06
2181,"Nherf4",3.32372977105987,3.32802001494463,1.81517817026805,4.18866394030413e-09,4.68681575891887e-06
3224,"Gfra1",-2.26792447826731,-2.27025648952693,2.74248089406399,4.79499807601495e-09,5.00757632405162e-06
2873,"Creb5",2.57227660909869,2.57282196557148,4.8754406009211,6.01558083293691e-09,5.88962960924729e-06
4040,"Lif",-3.71585513214598,-3.71650284012041,7.75673030503623,8.09906033048267e-09,7.463045886883e-06
1375,"Krt19",2.29701677527242,2.29708500559437,9.6239606768576,1.34599734620475e-08,1.17139157934985e-05
1685,"Ddit4",-2.1740580169778,-2.17416869489559,7.16420342071795,1.65073151620313e-08,1.36098469480642e-05
2846,"Prrg4",-3.30306144762215,-3.30683351066292,4.48195004593337,1.81915234545944e-08,1.38047369404693e-05
2365,"Ak1",-2.73382154531372,-2.7340616423865,6.45719465300866,1.85061906000546e-08,1.38047369404693e-05
2424,"Naaa",2.54181866461198,2.54303376970398,3.74006514176786,2.3953818046939e-08,1.70562072593318e-05
3183,"Thbs3",3.42776692541264,3.4300485827994,3.45065421902905,3.17110429487106e-08,2.15979777300674e-05
2001,"Sfrp2",-3.40824802530837,-3.41139841742196,3.27880975699544,4.44943181055664e-08,2.90418122134874e-05
3506,"Cpxm2",1.51268986046814,1.51275521790595,6.00844156660561,5.61480418567232e-08,3.4449244517797e-05
4422,"Csf1",-2.83065136456835,-2.83071659251662,8.17922463523189,5.9314486332541e-08,3.4449244517797e-05
2627,"Nr1d1",-2.3039682641238,-2.30414264603395,6.45524405606593,5.93762912212269e-08,3.4449244517797e-05
4286,"Hs6st2",-1.75564227919235,-1.75605967173018,3.96004190308777,6.92774683199389e-08,3.87582693297087e-05
4441,"Smad7",-1.96866696335693,-1.96875170139413,7.26482202274781,8.2772201485631e-08,4.37194631306669e-05
3736,"Ceacam1",-3.49363029259341,-3.49626632960847,8.25388706536952,8.37270280191515e-08,4.37194631306669e-05
6717,"Skil",-1.88743404930253,-1.88747781120967,8.74410230500338,8.86547851152695e-08,4.4792962365819e-05
1976,"Bbc3",-2.49886030050507,-2.49976843980232,4.36527684670343,9.15017424644883e-08,4.4792962365819e-05
1689,"Chi3l1",-2.34058830365389,-2.34074736933588,6.94487584349565,9.58886576034159e-08,4.55180551926518e-05
2992,"Lad1",-2.09998637815211,-2.10201743849037,4.95038195981402,1.04786124636825e-07,4.82786659539962e-05
5133,"C3",-4.03901701492487,-4.03928675033984,9.4453429487036,1.29627389755926e-07,5.80175160150452e-05
1902,"Grwd1",-1.99386623948887,-1.99442406266339,4.91280387711031,1.44326511178036e-07,6.28020777112205e-05
4036,"Ncs1",-2.19444046190229,-2.19536269904691,3.70485488871053,1.51331410601654e-07,6.40704472182409e-05
1494,"Serpinf1",-1.71355002984185,-1.71370421229929,5.0325941083924,1.59767781556086e-07,6.58621657388445e-05
1263,"Cldn3",-2.33449350542171,-2.33698137395276,6.90637869137373,1.7687879608239e-07,6.92187009043904e-05
3284,"Itprid1",2.57357318131225,2.57383756515915,6.40859898433141,1.81481351852129e-07,6.92187009043904e-05
686,"Cck",4.01063030505357,4.01844286993606,4.11017128666282,1.83068188758847e-07,6.92187009043904e-05
2812,"Mtmr11",1.70868710841906,1.70916604780577,3.57628492380567,1.85584771017197e-07,6.92187009043904e-05
3192,"Ocln",-3.52308675066951,-3.54907730813975,5.31746170807077,1.97284718197631e-07,7.1871281641067e-05
2038,"Sync",3.65377068795294,3.65911129194526,2.05878215865703,2.25678003405219e-07,8.03464982577898e-05
1024,"Tppp3",2.59740070969053,2.59752276410428,6.37556345557639,2.35420241157853e-07,8.05097917250405e-05
4477,"Fbln2",-2.26513744988056,-2.26537480033828,6.44777451492269,2.36415602895108e-07,8.05097917250405e-05
1824,"Msmo1",2.03653414437646,2.0369591216191,4.95727221042305,2.41983297084477e-07,8.06525180601772e-05
3976,"Col6a1",2.56962894699394,2.56972199465958,6.75943890800989,2.52766595176694e-07,8.20239283851428e-05
1086,"Ccdc153",3.17096255378968,3.17348508231411,2.43270822586558,2.56570219653495e-07,8.20239283851428e-05
3243,"Zfp750",-4.09432139029378,-4.13432324223077,5.2304880177752,2.81967330853925e-07,8.83403647565347e-05
8348,"Nfatc2",1.99144084420341,1.9914803922981,7.24286942162962,3.24130107419546e-07,9.95587869162194e-05
2119,"Fam110a",-1.47731903983135,-1.47743409653459,7.07311350981027,3.30889751695669e-07,9.96805376983202e-05
1421,"Bhlhe41",-1.78530757026201,-1.78539616694068,6.7676154906714,3.39632073794771e-07,0.00010038370633953
2891,"Pkp2",-3.44125423553982,-3.4671025819132,5.00488078285088,3.52340656492039e-07,0.000100707399101796
1791,"Barx2",1.97706123789544,1.97881090463549,4.55148500516044,3.53584867577324e-07,0.000100707399101796
1803,"Rcl1",-1.91078619160222,-1.9115844330489,4.6627954147184,3.82669590331876e-07,0.00010583452862202
1453,"Cldn7",-3.24947646599656,-3.25551262988986,7.14418319185771,3.85098508232056e-07,0.00010583452862202
2953,"Aif1l",-1.73507487005085,-1.736105035172,3.20207024596375,4.50027503641984e-07,0.000120187634597082
3450,"Wdr43",-1.92595527921538,-1.92610184855241,6.60728274355229,4.52669673873464e-07,0.000120187634597082
2621,"Cyp2s1",2.0610809932813,2.06186495586539,3.31617679719741,4.73071899397311e-07,0.000121621180766653
320,"Igkc",-6.19563669814213,-6.35631986338687,-0.0395488767119954,4.73596682206563e-07,0.000121621180766653
3488,"Gpsm2",2.16086752382295,2.16098787230003,6.00507639737792,4.90280537677838e-07,0.000123874913269731
4320,"Rrp12",-1.71797856166152,-1.71817976499508,6.42786682724661,5.09661521271253e-07,0.000126727741757368
3426,"Kif23",-2.82122509296726,-2.82487433790771,3.66068700665956,6.02620761133706e-07,0.000147500847236867
1559,"Acot1",-2.11061489452745,-2.11121630336497,6.70572342253719,6.55187216830382e-07,0.000157900119256122
2387,"Pclaf",-4.19267951682522,-4.21423685669144,3.26970009586201,6.69616509428207e-07,0.000158932463942316
2367,"Fam43b",-2.24258512591327,-2.24615675030658,1.65166881006275,7.09417657668738e-07,0.000165866083692251
2914,"Melk",-3.31349082045368,-3.32817815324022,2.92421039693598,7.30073242971756e-07,0.000168185255164008
1786,"Chst12",2.19501585364282,2.19641939421532,2.70904094929855,7.47831121023121e-07,0.000169779340736626
