"Length","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
2006,"Mrgprf",5.61229096127789,5.62231145664717,2.75210772086906,2.92002719892912e-13,4.57422260712247e-09
1699,"Serpinb11",-10.5617274143996,-10.8705785624365,3.0046647953846,6.66699886402743e-13,5.22192686024948e-09
625,"Glycam1",7.80071672622135,7.80322458440648,14.4907024280579,2.8369374366151e-12,1.48135416481919e-08
2103,"Nrg1",3.83354985845087,3.83378443719335,6.90066859365841,1.31495294257141e-11,4.23953844725992e-08
765,"Csn1s2b",8.63667364956524,8.68945451931073,10.1924228457305,1.98569134943732e-11,4.23953844725992e-08
1478,"Ckb",3.16262190843597,3.16277347914017,7.17285271478088,2.41229060847914e-11,4.23953844725992e-08
4711,"Lgr5",-5.84300587751915,-5.84728528968049,4.29056853971863,2.46794671512026e-11,4.23953844725992e-08
920,"Csn1s2a",7.30428367868966,7.30531182288441,15.5178724798732,2.53887467393126e-11,4.23953844725992e-08
3224,"Gfra1",-3.01481249715522,-3.01739146183795,2.74248089406399,2.99417371459788e-11,4.23953844725992e-08
4731,"Septin3",3.28768507460663,3.28873437761585,4.59782027472432,3.20943159003592e-11,4.23953844725992e-08
2761,"Dmpk",4.3884801961654,4.38885822390858,6.66654727907142,3.31057813877669e-11,4.23953844725992e-08
8547,"Scn5a",-4.51571214167236,-4.51721659558986,4.61169258946451,3.61563980573167e-11,4.23953844725992e-08
2461,"Casq2",4.23382649682556,4.23454271312035,5.46464437832231,3.62836319931982e-11,4.23953844725992e-08
667,"Tnni2",7.55556988909469,7.57333187291677,3.86618432828525,3.96266135714156e-11,4.23953844725992e-08
1251,"Them5",-4.80799682655755,-4.82122854081191,1.76032276018514,4.05956442444295e-11,4.23953844725992e-08
3920,"Galnt16",-3.85945505456758,-3.86177881289814,3.38535426267812,4.39494243780867e-11,4.30292333051705e-08
9437,"Ncam1",3.36945535132724,3.37125603524004,3.97218964257183,5.07461222988392e-11,4.67610591653715e-08
1445,"Gjb4",-5.37528670798276,-5.37727645311372,5.54790631600119,7.72707767436519e-11,6.46339616188279e-08
2791,"A830039N20Rik",2.7442731406156,2.74600117795599,2.89535134480674,7.83942081556164e-11,6.46339616188279e-08
6330,"Adcy7",-5.18268492950127,-5.18911497334996,3.17162140019837,8.61630047602099e-11,6.62171900772565e-08
8292,"Atp2b4",2.71177251775488,2.71191746255909,6.15322675392502,8.87686557052273e-11,6.62171900772565e-08
562,"Wap",8.88472481560097,8.89094467206728,14.0621611204813,1.1189938377939e-10,7.96774475865522e-08
7827,"Kcnma1",2.81018763652892,2.81064582935498,4.83368580281328,2.23456274776053e-10,1.52193154102908e-07
953,"Id3",-2.68939586402634,-2.68984009019587,5.10119242061893,2.42448748231042e-10,1.58248318376636e-07
10480,"Fbn2",-3.05728289070615,-3.05819866456476,4.04911638450398,2.98714053955442e-10,1.8717422620848e-07
7981,"Pgm5",3.04896703432862,3.04902454683624,8.28354752437467,3.33954593175688e-10,2.01207642388352e-07
6080,"Sez6l",2.87571823063065,2.87663896181516,3.96338633957628,3.88006251490067e-10,2.25115478873774e-07
4534,"Ldlr",2.28301629226543,2.28307633621391,7.78643296723291,4.62544135133888e-10,2.58776924174013e-07
4477,"Fbln2",-3.68618689658766,-3.68646327501515,6.44777451492269,5.37684576191212e-10,2.90442375380529e-07
2100,"Parm1",-3.09412166307641,-3.09526942191603,4.24240801311775,6.39645362259587e-10,3.34001486659881e-07
2209,"Gm9885",3.46200007329112,3.47130422573381,1.68711444324153,8.18086926159821e-10,4.12157941733737e-07
7116,"Synpo2",3.38038310162597,3.38047695029387,7.5193845030814,8.53610363983922e-10,4.12157941733737e-07
2362,"Mab21l4",-7.88977395563384,-8.19763535488871,2.11550203892352,8.68254840549845e-10,4.12157941733737e-07
3222,"Nkd2",-3.13823438956232,-3.14007364029887,2.89828779426934,9.21578953630232e-10,4.22923245618019e-07
3436,"Sema3b",-4.22827860943529,-4.2308854599741,3.47614790340423,9.44929051811724e-10,4.22923245618019e-07
2846,"Prrg4",-4.01756619535414,-4.02150402457079,4.48195004593337,1.08948372893473e-09,4.73597387427411e-07
7116,"Plcb1",2.4946226398997,2.49483164408237,5.84970952690239,1.11861495913273e-09,4.73597387427411e-07
6495,"Ppargc1a",4.32755232181566,4.33116819580342,3.57110935791262,1.27737030558298e-09,5.26579100972564e-07
6717,"Skil",-2.5467214042189,-2.54677111198791,8.74410230500338,1.361744047199e-09,5.46967192291597e-07
2365,"Ak1",-3.35640512366084,-3.35666012298957,6.45719465300866,1.47280201163543e-09,5.58377363168889e-07
1120,"Csn2",6.34059111274405,6.34121858360045,15.3296016001632,1.5210032599694e-09,5.58377363168889e-07
640,"Fabp3",3.93837649268102,3.94305507936403,9.29738199799852,1.52732210088135e-09,5.58377363168889e-07
1689,"Chi3l1",-3.24636368012777,-3.2465409984736,6.94487584349565,1.53273071281597e-09,5.58377363168889e-07
2109,"Ackr4",3.21549065958121,3.21599823429868,5.3669355090604,1.61626477809685e-09,5.66083312779287e-07
531,"Ppp1r14a",2.96506503911916,2.96590684791784,4.45701251154968,1.62615697893826e-09,5.66083312779287e-07
930,"Gstk1",2.74819952636358,2.74931641615018,4.22692288729143,1.79240640693086e-09,6.10392312273301e-07
2690,"Asb2",2.43539596060561,2.43568567781662,5.0635133859474,1.87577856035016e-09,6.13986535633378e-07
9535,"Cntn2",-3.89425964841114,-3.8954956335421,4.28092235807624,1.88135038049168e-09,6.13986535633378e-07
14743,"Lrp1b",3.72023768279755,3.72708879431149,2.35645955578036,1.95448598006296e-09,6.2435517384703e-07
4312,"Plekha7",-2.36183880143941,-2.36236420519766,4.75817899790078,2.06666884972131e-09,6.2435517384703e-07
4188,"Kcnmb1",2.23942010518942,2.23964071981887,5.40751901512702,2.14413891720457e-09,6.2435517384703e-07
3161,"St8sia6",-3.70992228078061,-3.71349413696546,2.67846512456047,2.16461291265391e-09,6.2435517384703e-07
8260,"Ildr2",-3.79117674082647,-3.79935295248692,1.81406478333929,2.16775401262437e-09,6.2435517384703e-07
1416,"Csn1s1",5.02038072703742,5.02064945126697,15.1376511943172,2.17940786683173e-09,6.2435517384703e-07
3928,"Sstr3",-3.5061868854733,-3.52107723505805,0.554699849564947,2.19211838886605e-09,6.2435517384703e-07
1958,"Lao1",7.44048176422744,7.45899714185794,11.3346200250741,2.26923022124041e-09,6.34776632423769e-07
4017,"St14",-2.43527221265414,-2.43564223914201,8.04479939030098,2.3272559134952e-09,6.39587085700041e-07
3520,"Matn2",3.81829450865615,3.81846539953628,7.32408785950402,2.43633060470613e-09,6.4967957033139e-07
2181,"Nherf4",3.46778909982807,3.47256617014937,1.81517817026805,2.4469259271977e-09,6.4967957033139e-07
7866,"Synm",3.42490453198527,3.4249768762277,8.36443968179596,2.51543075952936e-09,6.56737047467123e-07
2290,"Cdh13",2.01233330920367,2.0124290433519,6.4514674887045,2.58157036244576e-09,6.62955733241194e-07
7736,"Triobp",2.21100049005749,2.21119275776066,5.77467016049371,2.67115946877988e-09,6.74898598039303e-07
1922,"Gjb3",-3.34823535641563,-3.34890849395679,5.50821099161047,2.71719505247671e-09,6.75632706302343e-07
1927,"Atp6v1b1",-8.49660344465397,-8.80486672070213,5.79521491004792,2.77767617437961e-09,6.79879644869633e-07
499,"S100a4",2.82625364656848,2.82823307669404,2.72309918399677,3.08518724881446e-09,7.43530126964284e-07
6588,"Dtna",3.13126869108359,3.1318083321359,5.00625224956904,3.31075019253329e-09,7.73917278587933e-07
1676,"Pnck",2.91455890905315,2.91513790696964,5.07979189828444,3.34409162377921e-09,7.73917278587933e-07
6604,"Nrk",3.84062153096745,3.85013963332113,1.81104266818136,3.3594877078825e-09,7.73917278587933e-07
3205,"Eogt",1.9830654561516,1.9831159340537,7.38568877111497,3.61638564326611e-09,8.21024363793675e-07
3442,"Smim1",3.1438625706176,3.14626650567557,4.05060421424623,3.69788977061559e-09,8.26910443041065e-07
1330,"Igfbp2",2.6949919092113,2.69502910074571,8.68184244101257,3.74788646383119e-09,8.26910443041065e-07
1315,"Actg2",2.63943716099884,2.63949883478413,7.91538077555754,4.07682041673788e-09,8.8699155316943e-07
5102,"Ace",-2.5719138177041,-2.57266965032067,5.25863959127429,4.26330859653719e-09,9.14859303626782e-07
8348,"Nfatc2",2.76999066576047,2.77006799146913,7.24286942162962,4.35248626128612e-09,9.21374287608743e-07
1812,"Cldn4",-4.60475399543032,-4.60802255685552,9.87836657624822,4.78857032351703e-09,1.00017272157192e-06
3359,"Fbln1",-2.38007941733007,-2.38096009320956,3.38289902258208,5.04221996090785e-09,1.0357964390694e-06
886,"Msrb1",2.11310151461731,2.11318791553353,7.05860868523466,5.09137094212215e-09,1.0357964390694e-06
1589,"Ckmt1",3.10406998254793,3.10515707848264,4.97590975534883,5.6436783626598e-09,1.13343873783418e-06
2929,"Clmp",2.42804207202978,2.42825522937868,5.57668275018739,5.77769967313137e-09,1.14566665037472e-06
547,"Npy",-4.48338428411441,-4.49469207582378,1.78562301170566,5.97211230596251e-09,1.16941424091128e-06
5330,"Podxl",-2.3780170072073,-2.37900687004991,6.67465444583565,6.17548764851391e-09,1.19430881498729e-06
2037,"Gm13446",5.34186141134616,5.39349125939285,0.940179397450444,6.32846844639762e-09,1.20896900259535e-06
5867,"Cd109",3.30091352492754,3.30157504401464,4.59243480380768,6.52074590643657e-09,1.23069258583529e-06
2767,"Cav1",2.76184016301601,2.76186030367901,9.3976068218598,6.76846907674763e-09,1.26223890580061e-06
