"Length","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
1699,"Serpinb11",-7.25521571365411,-7.28339723087233,3.0046647953846,8.71654418413751e-13,1.36544664644514e-08
625,"Glycam1",7.16239317337915,7.16489475040312,14.4907024280579,6.47378413792287e-12,5.07059142602809e-08
920,"Csn1s2a",7.63639470930897,7.63742419625847,15.5178724798732,1.70249266877806e-11,7.45310634457609e-08
4731,"Septin3",3.37209759240397,3.37315370786188,4.59782027472432,2.23499983034065e-11,7.45310634457609e-08
9437,"Ncam1",3.53483944082619,3.53666096022641,3.97218964257183,2.37890403593236e-11,7.45310634457609e-08
1478,"Ckb",3.10965739941281,3.10980825679623,7.17285271478088,2.96486771537093e-11,7.74077546021427e-08
1251,"Them5",-3.94710450309937,-3.95416171347689,1.76032276018514,1.10334409123563e-10,2.46912645560088e-07
953,"Id3",-2.73999999500726,-2.74046296006349,5.10119242061893,1.75071959750616e-10,3.42812781186674e-07
2768,"F2rl1",-3.15692686294348,-3.15759126766958,5.61901764048631,1.98462783459421e-10,3.45435500321314e-07
2103,"Nrg1",2.92373760962356,2.92395664537109,6.90066859365841,3.45573038696015e-10,5.41340165117307e-07
2209,"Gm9885",3.5168262561845,3.52616378385485,1.68711444324153,5.4470514676121e-10,7.75709647637669e-07
4711,"Lgr5",-3.97074826996783,-3.97186403709507,4.29056853971863,6.3684954376252e-10,7.86265696499041e-07
3222,"Nkd2",-3.16183740166961,-3.16371108183414,2.89828779426934,6.525026526963e-10,7.86265696499041e-07
640,"Fabp3",4.09446466821984,4.09917702638348,9.29738199799852,8.37264914862412e-10,8.10877185957937e-07
3490,"Serpinb10",-3.63486352145684,-3.64079890950763,1.81749207915579,8.4877949472922e-10,8.10877185957937e-07
3436,"Sema3b",-4.14821586360689,-4.15067141437113,3.47614790340423,8.75914089123701e-10,8.10877185957937e-07
2859,"Fmod",3.35071759659537,3.35078905420794,8.06648112255628,8.7998162536131e-10,8.10877185957937e-07
1120,"Csn2",6.63209823908511,6.63272713979,15.3296016001632,1.00976637602074e-09,8.39108025818398e-07
562,"Wap",7.17374173959315,7.1799317035147,14.0621611204813,1.01774991960099e-09,8.39108025818398e-07
4652,"Hpcal4",3.59603597830312,3.59702282606323,4.69358506339946,1.31436979930595e-09,1.01706861083439e-06
1986,"Apol10b",2.38910106252243,2.38987487745248,3.96284374955226,1.36344978152072e-09,1.01706861083439e-06
14743,"Lrp1b",3.73490228481128,3.74175862595727,2.35645955578036,1.66773507896073e-09,1.17709044216772e-06
3108,"Nphs2",3.92678623935202,3.9441929992853,1.06657712181236,1.73332770064654e-09,1.17709044216772e-06
1416,"Csn1s1",5.11755391948099,5.11782319983351,15.1376511943172,1.80339422994097e-09,1.17709044216772e-06
1676,"Pnck",3.01818764190066,3.0187727549506,5.07979189828444,2.09499734610216e-09,1.31272533706761e-06
5771,"Iqgap2",-3.69391269256865,-3.69614902228254,4.98801194032193,2.18636015366474e-09,1.31728199258301e-06
6330,"Adcy7",-3.30365837878709,-3.30526802437991,3.17162140019837,2.29715942430757e-09,1.33277786599178e-06
7981,"Pgm5",2.58646149018018,2.58651601512377,8.28354752437467,2.68570992863478e-09,1.50255878685942e-06
531,"Ppp1r14a",2.8149259078111,2.81575403162125,4.45701251154968,3.21192055371575e-09,1.73499087841232e-06
1315,"Actg2",2.64227891752559,2.64234061377426,7.91538077555754,4.01088688816118e-09,2.08031744046036e-06
11050,"Celsr1",-2.8172902885796,-2.81799767972692,4.41680530527507,4.11681076631160e-09,2.08031744046036e-06
1330,"Igfbp2",2.6453807684378,2.645417722168,8.68184244101257,4.74476771630012e-09,2.29061071484759e-06
4605,"Psd2",2.02424850815128,2.02447646165462,5.22538249893711,4.82541676284522e-09,2.29061071484759e-06
5008,"Malt1",-2.03249265786579,-2.03267596371279,5.51804236502929,5.69003526734868e-09,2.62160007244168e-06
3161,"St8sia6",-3.19356489340201,-3.19596364773303,2.67846512456047,6.03597651943951e-09,2.70153063362914e-06
3549,"Ptch2",-3.27106890991287,-3.27469606860695,2.20229489663188,6.63853737135475e-09,2.88868577561867e-06
2109,"Ackr4",2.88799792856004,2.8884898754257,5.3669355090604,7.03235024568892e-09,2.9110304578618e-06
1607,"Popdc1",3.57337402372508,3.5793451305232,2.32674907305386,7.06154850933601e-09,2.9110304578618e-06
1658,"Spp1",3.08248674221377,3.08283218837677,12.962879589918,8.19880142672463e-09,3.23074741444144e-06
7100,"Tnc",-3.0421062400059,-3.04287902516879,6.81782829870514,8.2495944192568e-09,3.23074741444144e-06
4086,"Spaar",3.90844348287221,3.91716346202357,2.29676334910233,8.73319252628783e-09,3.33671855912924e-06
2532,"Plat",-3.13296113579137,-3.13325253810866,5.57562152864228,9.03306796207865e-09,3.36911927680862e-06
4399,"Fgfr3",-2.61072921462179,-2.61129298498229,4.41518186025743,9.92700650671687e-09,3.6164315564586e-06
3849,"Pigr",5.62341680749633,5.63742958307309,8.97634156587815,1.0163987307518e-08,3.61861048118795e-06
7866,"Synm",3.03138364037035,3.03145365409992,8.36443968179596,1.05025674014298e-08,3.65606040763105e-06
544,"Wfdc18",3.2484936520978,3.24910457063114,10.4109797993403,1.12660411430062e-08,3.83657683706938e-06
11860,"Tanc2",-2.18181086037515,-2.18193923990055,6.68125858874832,1.15827073245941e-08,3.86049170722908e-06
5504,"Ptpru",-2.45950409411021,-2.4601005439544,4.21823020400017,1.1983051791476e-08,3.91071888153066e-06
3920,"Galnt16",-2.33660704915956,-2.33730392236023,3.38535426267812,1.27489595521775e-08,4.07576431397674e-06
5171,"Ntrk3",2.80189580674716,2.80198520705847,7.61967023806857,1.33940213053171e-08,4.19634687495585e-06
5330,"Podxl",-2.15228651338379,-2.15309811757987,6.67465444583565,1.77678327429493e-08,5.35386477775161e-06
1597,"Csn3",2.96246334117303,2.9626311803278,13.4606078963203,1.82742665516381e-08,5.35386477775161e-06
4312,"Plekha7",-1.98816624380378,-1.9885430894094,4.75817899790078,1.83064343723383e-08,5.35386477775161e-06
2761,"Dmpk",2.59357183726047,2.59390307831497,6.66654727907142,1.85477331744615e-08,5.35386477775161e-06
5722,"Car8",-3.19471070316485,-3.19801334070161,3.96874516496663,1.87974824625815e-08,5.35386477775161e-06
3205,"Eogt",1.75431780644378,1.7543653463474,7.38568877111497,2.32967272792881e-08,6.42974159775904e-06
5755,"Plin4",4.05547754131519,4.05630000059781,5.72689451428143,2.33958040901542e-08,6.42974159775904e-06
