"Length","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
4757,"Egf",5.35819429098087,5.36205310249535,3.68001350246971,1.78400745221726e-13,1.24972478169818e-09
765,"Csn1s2b",8.55200043224516,8.55242524231897,10.1924228457305,2.20968471438162e-13,1.24972478169818e-09
7050,"Atp2b2",7.37062035452279,7.37282100176904,6.60816554282717,2.3933446186368e-13,1.24972478169818e-09
3747,"Ddah1",6.25465775012301,6.25977884903397,4.21557022309188,7.06111218281394e-13,2.76530805859451e-09
1678,"Slc25a1",4.12869320398221,4.12883239175901,7.50235931402903,1.11866270081578e-12,3.50477024165583e-09
2628,"Rbp1",-5.39013167794954,-5.3917347495256,6.82960010631744,1.83703549018203e-12,4.79619349228358e-09
2382,"Gsdmc",4.84423803106082,4.84788085494732,3.1690635936865,2.81248258432097e-12,6.293934240484e-09
3707,"Slc39a8",6.504775459624,6.50909627657773,5.0766589174643,3.8744181548631e-12,7.58659504949131e-09
1497,"Gjb1",6.03485015669385,6.04650845794765,2.64114251838144,8.36664492551859e-12,1.45626103064721e-08
2226,"Slc39a4",-4.34513146364258,-4.34679971296515,4.28231998987161,1.15734196168311e-11,1.81297618297659e-08
2781,"Elovl5",2.8565691479785,2.85665310234308,7.21705367831781,1.37237912546218e-11,1.95439263639682e-08
975,"Cited1",3.5363599308069,3.53729433516553,5.67904500348262,1.74785196081696e-11,2.15855602562539e-08
1952,"BC006965",-3.71763611512049,-3.71909532627898,4.68361710540637,1.91547293457414e-11,2.15855602562539e-08
8485,"Acacb",4.31652727161723,4.31681289124889,6.58471559344213,2.0623641281555e-11,2.15855602562539e-08
657,"Gm16440",6.82438296776104,6.88889466356259,0.955620938191999,2.14344722335169e-11,2.15855602562539e-08
6277,"Ppl",-3.61501963950819,-3.61529148437808,6.96979511092657,2.20471729396784e-11,2.15855602562539e-08
4175,"Slc34a2",4.18264136084362,4.18273442755809,8.00782569315211,2.95409802517723e-11,2.58600925479825e-08
2022,"Ggt1",3.01603272739709,3.01638456362484,6.38394013627205,2.97147568377711e-11,2.58600925479825e-08
3313,"Slc30a2",3.20090021889129,3.20121820792083,5.21822478248517,3.44851880534385e-11,2.84321300451113e-08
1506,"Pmvk",2.67642176748682,2.67671455899301,5.30651903364575,3.9621139310889e-11,3.10332573652538e-08
2403,"Ccn2",-6.98783646365871,-6.9898139068153,9.71833952650498,4.48083909595022e-11,3.34249259228858e-08
5951,"Elovl6",3.17905529763144,3.17936929395993,5.71376750590535,5.02493080008356e-11,3.53083973458227e-08
4206,"Slc1a3",4.14648567870809,4.15000894823573,3.65533541965321,5.18412472999631e-11,3.53083973458227e-08
5770,"Dtx4",-4.72070155793931,-4.72750049616197,3.8786327224287,5.69871392073531e-11,3.65353445977507e-08
1164,"Cidea",4.79736318698643,4.79751332318232,7.92630444155652,5.83072847075499e-11,3.65353445977507e-08
1050,"Ceacam10",3.29515359023812,3.2955644014397,4.96964092698509,6.60966767097948e-11,3.98232477176514e-08
2525,"Prss35",6.82007061067903,6.90026752320192,0.516296744172753,6.98165564406576e-11,4.05065317275149e-08
1774,"Krt80",-4.26834577123557,-4.27143386063886,4.29779769861695,7.56022699367005e-11,4.22967699485147e-08
10871,"Steap2",3.23144971848031,3.23299632835437,4.94215276327538,1.02352939989836e-10,5.52882346531306e-08
3109,"Slc33a1",2.6026697954315,2.60314146101375,4.68295566204065,1.16366720672221e-10,6.07628226443448e-08
1216,"Steap1",3.91132416029448,3.91393357284634,2.91033065010472,1.25614375895128e-10,6.34757805934575e-08
