"Length","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
2021,"Ptn",-7.26461182455056,-7.26564735796206,7.97723170245078,2.136295795446e-15,3.34650736356616e-11
4089,"Kcnk6",6.99982364712994,7.0030975014306,5.91745038853077,8.60771533400984e-15,6.74199303536321e-11
5261,"Hephl1",10.0221140210362,10.0468216854246,6.1284195802051,1.76558358994273e-14,6.9855436567323e-11
640,"Fabp3",10.0132005951463,10.016038183786,9.29738199799852,1.88200186260246e-14,6.9855436567323e-11
4757,"Egf",7.22062423129621,7.23493990352025,3.68001350246971,2.28439733219905e-14,6.9855436567323e-11
765,"Csn1s2b",11.3620362790417,11.3650227771942,10.1924228457305,3.4545829442677e-14,6.9855436567323e-11
4836,"St6gal1",6.26447312384561,6.26511147412544,7.61184792171493,3.59440694600452e-14,6.9855436567323e-11
2382,"Gsdmc",11.3536077158928,11.7443863726079,3.1690635936865,3.66078628884068e-14,6.9855436567323e-11
7050,"Atp2b2",10.5598297458194,10.5800828680258,6.60816554282717,4.013398845234e-14,6.9855436567323e-11
2644,"Mocs1",4.54922305220348,4.54975591600609,6.31119848691898,4.77857079146646e-14,7.19824496793446e-11
3756,"Gldc",9.57467299074686,9.58506441670367,6.86995419995699,5.05462461840275e-14,7.19824496793446e-11
3313,"Slc30a2",6.15424431462231,6.15697294592788,5.21822478248517,6.59568561506972e-14,8.6101179300056e-11
625,"Glycam1",11.1031471331414,11.1032921215633,14.4907024280579,7.6965161223074e-14,9.27430192738042e-11
1345,"Hp",-5.41748053408491,-5.41948527347745,4.93736513604414,9.49138720217092e-14,1.06201843230005e-10
1678,"Slc25a1",4.91263477571304,4.9128805576725,7.50235931402903,1.82172561162925e-13,1.90248878041148e-10
4175,"Slc34a2",7.03846004570127,7.03916732822207,8.00782569315211,2.37830476584735e-13,2.21224770003766e-10
4049,"Lpl",8.12635839852618,8.12706479573949,9.30451427857466,2.40077950211556e-13,2.21224770003766e-10
691,"Ly6d",-9.23927597577948,-9.27305762429851,4.69093787021217,2.76049370838692e-13,2.30986973184391e-10
3747,"Ddah1",6.85411591858933,6.86190404976118,4.21557022309188,2.80162942260034e-13,2.30986973184391e-10
736,"Fkbp11",4.64353525341727,4.64388373130487,6.85804125368011,3.08978946160832e-13,2.35078097080023e-10
2781,"Elovl5",3.90905486350612,3.9092433968302,7.21705367831781,3.26590986507791e-13,2.35078097080023e-10
2023,"Ormdl3",3.7100177045617,3.7102431946478,6.88905718642772,3.41007012770675e-13,2.35078097080023e-10
3891,"Acsl1",5.90765047594544,5.90782198871604,9.32075810422798,3.49489933994352e-13,2.35078097080023e-10
770,"Sec11c",3.3516698929106,3.3519878849638,5.96240405313809,3.60157952755861e-13,2.35078097080023e-10
4257,"Gm2a",3.79599363040108,3.79607788950763,8.17303158208646,4.16274393254042e-13,2.60837534812982e-10
3987,"Rapgef5",4.03177042027654,4.03224180353584,5.964435959436,5.61670238172808e-13,3.38406318499117e-10
1164,"Cidea",8.29510707865317,8.29685705055469,7.92630444155652,6.1826344894226e-13,3.58707293617797e-10
6325,"Eef2k",2.94781019005922,2.94807371252008,6.22869431449948,6.50446094106898e-13,3.63901359435162e-10
4837,"Scd1",6.03807035038458,6.03809390490663,12.0014486910052,6.87501632561961e-13,3.64421337426669e-10
4525,"Gprc5b",4.5921926725888,4.59310040512085,6.39596237859489,6.97902337874246e-13,3.64421337426669e-10
1896,"Tmem165",4.01588859080568,4.01613724548406,6.99751358234632,8.85195968579408e-13,4.43832230600479e-10
3148,"Apln",7.39438004380418,7.40056420411247,5.67673622024589,9.14443462067816e-13,4.43832230600479e-10
2039,"Cel",5.38293313375725,5.38303870028208,9.27213869500505,9.39011114091915e-13,4.43832230600479e-10
8485,"Acacb",5.98243826468935,5.98337628979218,6.58471559344213,9.6331285288326e-13,4.43832230600479e-10
2476,"Gjb6",6.14427501162635,6.15587754477569,4.86261544369657,1.1402180044955e-12,5.10329001154916e-10
4206,"Slc1a3",7.56015447914377,7.60019555455708,3.65533541965321,1.17452879888104e-12,5.11083156513098e-10
5346,"Fgfr2",-3.94800479929901,-3.94837071266705,7.3879114193996,1.21639372821151e-12,5.11923736325973e-10
2833,"Acss2",4.28011413896549,4.28108800527693,5.10675289807207,1.2454300688981e-12,5.11923736325973e-10
1485,"Pdhb",2.98527821287286,2.98543521232107,6.80416281794105,1.27449892861238e-12,5.11923736325973e-10
2267,"Tmprss4",4.18552117805226,4.18631854899515,5.31218893438182,1.47316263873544e-12,5.76927318394767e-10
4035,"Dlat",3.35058591223012,3.3507539118548,6.93133349035968,1.78184567828977e-12,6.80795428058762e-10
2927,"Lpo",8.77477668403521,8.79595353810343,4.8730152773395,1.94077916773803e-12,7.18631419401339e-10
4294,"Cyb5b",3.20671286903421,3.2068576739593,7.10428560698746,1.99725755499197e-12,7.18631419401339e-10
2700,"Slc52a2",3.85019668241095,3.85096580439935,5.29260187590774,2.06067258748654e-12,7.18631419401339e-10
2755,"Lgals12",3.80293531157916,3.8036479801701,4.90172123007884,2.06743067224588e-12,7.18631419401339e-10
953,"Id3",-5.05978927452745,-5.06340769472126,5.10119242061893,2.11024866214246e-12,7.18631419401339e-10
1927,"Atp6v1b1",-6.17825596096374,-6.18024074749085,5.79521491004792,2.23226325094866e-12,7.44008592044909e-10
3346,"Retreg1",3.06949720304121,3.06959416703411,7.59037230782126,2.44970935119555e-12,7.97724033495098e-10
4631,"Dab2",5.98562392709255,5.98601764257482,8.22704629802164,2.49527466589593e-12,7.97724033495098e-10
9938,"Fasn",5.241922970421,5.24195214770711,11.0629278068483,2.58230955044228e-12,8.08082094823222e-10
