"Length","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
2021,"Ptn",-8.80095667496804,-8.80397317061468,7.97723170245078,5.11115436293815e-16,8.00662330954261e-12
1793,"Stc2",-5.00580443959489,-5.00651038585919,6.11360623623261,5.66796628215902e-14,3.22949101255992e-10
2476,"Gjb6",7.5480522220212,7.5597578879705,4.86261544369657,6.9241790850718e-14,3.22949101255992e-10
5346,"Fgfr2",-5.09694253791715,-5.09778625451228,7.3879114193996,8.36089753747626e-14,3.22949101255992e-10
640,"Fabp3",8.28673208241027,8.28956332512861,9.29738199799852,1.03079828042129e-13,3.22949101255992e-10
5261,"Hephl1",8.15919543010903,8.18384083916519,6.1284195802051,3.13550922838366e-13,7.11215503367258e-10
1345,"Hp",-4.33638099218164,-4.3373029209404,4.93736513604414,3.17810949477868e-13,7.11215503367258e-10
975,"Cited1",-4.72248267832433,-4.72346641581613,5.67904500348262,4.72776806866489e-13,9.2521930357137e-10
1264,"Gipc2",-6.53803893979305,-6.55064715425734,3.51683808672075,5.61375634355366e-13,9.2521930357137e-10
1575,"Fgb",-9.44431699884721,-9.50929952177692,3.94793659662228,5.90628345720632e-13,9.2521930357137e-10
691,"Ly6d",-5.82024797502892,-5.8233271382403,4.69093787021217,6.74841129082573e-13,9.61035117007137e-10
625,"Glycam1",8.34074652314519,8.34089113008641,14.4907024280579,7.40521541657369e-13,9.66689162505224e-10
3756,"Gldc",7.37547538444448,7.38581791971116,6.86995419995699,9.19598388352441e-13,1.10811605796469e-09
3743,"Clic6",-6.49461810713008,-6.50282085482747,4.03914406126709,1.16849649958989e-12,1.2428390302321e-09
4089,"Kcnk6",4.57807853272592,4.58124002323471,5.91745038853077,1.20614992856874e-12,1.2428390302321e-09
3815,"C130021I20Rik",-4.28069770483021,-4.28257434707442,5.38582674971117,1.26941745826452e-12,1.2428390302321e-09
775,"AW112010",-4.6272763897535,-4.63020324028884,3.64621580597025,1.49218421999569e-12,1.33275020006906e-09
367,"Fam25a",-6.14457547796645,-6.17409950157196,1.89592021811293,1.53140782644386e-12,1.33275020006906e-09
953,"Id3",-4.46075345611789,-4.46310439000061,5.10119242061893,2.12298376853934e-12,1.75034424916678e-09
10724,"Piezo2",-6.80190353404035,-6.81186614895712,4.06266409778343,3.48105063164582e-12,2.72653290723659e-09
5804,"Rgs8",9.61382755864253,9.82223424315449,2.63710480561413,4.07974502574377e-12,3.0432955156322e-09
4049,"Lpl",5.8657170889704,5.86641385588151,9.30451427857466,4.78739308186636e-12,3.4088414830653e-09
1477,"Arg1",-4.92841096489689,-4.93058595716724,4.46450970108639,5.25655465599736e-12,3.58017081244342e-09
1480,"Gm20016",-4.89088144614593,-4.90967557722008,1.4417327195446,6.01793830235947e-12,3.92795847943588e-09
3891,"Acsl1",4.41691520902415,4.41708146161835,9.32075810422798,6.48195729168686e-12,4.06159443897099e-09
3148,"Apln",6.15682150694608,6.16295561844952,5.67673622024589,7.52871075130069e-12,4.50493681654511e-09
3870,"Slc16a12",5.39086418284906,5.39491685449027,4.66572782805937,7.76465330652525e-12,4.50493681654511e-09
