"","Length","Symbol","logFC","logCPM","F","PValue","FDR"
"19242",2021,"Ptn",-7.26461182455056,7.97723170245078,2311.78058424223,1.85951477903981e-15,2.91292990136586e-11
"52150",4089,"Kcnk6",6.99982364712994,5.91745038853077,1851.57870930396,7.30461127881646e-15,5.71616318386461e-11
"244698",5261,"Hephl1",10.0221140210362,6.1284195802051,1090.15590755245,1.55911890863798e-14,5.71616318386461e-11
"14077",640,"Fabp3",10.0132005951463,9.29738199799852,1603.27971272422,1.7700331320053e-14,5.71616318386461e-11
"13645",4757,"Egf",7.22062423129621,3.68001350246971,1610.62500775083,1.82450149500945e-14,5.71616318386461e-11
"83492",2382,"Gsdmc",11.3536077158928,3.1690635936865,700.161943961698,2.76086357258438e-14,5.75191827493132e-11
"20440",4836,"St6gal1",6.26447312384561,7.61184792171493,1469.8712170967,3.01531254650415e-14,5.75191827493132e-11
"56738",2644,"Mocs1",4.54922305220348,6.31119848691898,1451.76747484675,3.25407561163572e-14,5.75191827493132e-11
"12992",765,"Csn1s2b",11.3620362790417,10.1924228457305,1445.65127897502,3.30464503507066e-14,5.75191827493132e-11
"11941",7050,"Atp2b2",10.5598297458194,6.60816554282717,1445.68545515733,3.69500760014991e-14,5.78822940563483e-11
"104174",3756,"Gldc",9.57467299074686,6.86995419995699,1384.96476903085,4.61535183483385e-14,6.57268059024294e-11
"230810",3313,"Slc30a2",6.15424431462231,5.21822478248517,1342.12521492572,5.28707418149389e-14,6.90183475442515e-11
"15439",1345,"Hp",-5.41748053408491,4.93736513604414,1300.79581824678,6.81276246340377e-14,8.20937876840154e-11
"14663",625,"Glycam1",11.1031471331414,14.4907024280579,1270.07925525886,7.3974125200505e-14,8.27717622332794e-11
"13358",1678,"Slc25a1",4.91263477571304,7.50235931402903,1152.59129029193,1.34143714184149e-13,1.40090752179646e-10
"66286",770,"Sec11c",3.3516698929106,5.96240405313809,1109.86387744227,1.69111498032779e-13,1.51136050756875e-10
"66612",2023,"Ormdl3",3.7100177045617,6.88905718642772,1090.58940727257,1.88266857147586e-13,1.51136050756875e-10
"68801",2781,"Elovl5",3.90905486350612,7.21705367831781,1085.78685323887,1.93427478574778e-13,1.51136050756875e-10
"20531",4175,"Slc34a2",7.03846004570127,8.00782569315211,1072.76061536525,2.08668400968101e-13,1.51136050756875e-10
"66120",736,"Fkbp11",4.64353525341727,6.85804125368011,1066.02563182334,2.16520905429719e-13,1.51136050756875e-10
"16956",4049,"Lpl",8.12635839852618,9.30451427857466,1063.79897752386,2.19305201334698e-13,1.51136050756875e-10
"17068",691,"Ly6d",-9.23927597577948,4.69093787021217,1026.00956069498,2.247967371103e-13,1.51136050756875e-10
"69219",3747,"Ddah1",6.85411591858933,4.21557022309188,1061.09527210379,2.26249236627567e-13,1.51136050756875e-10
"14667",4257,"Gm2a",3.79599363040108,8.17303158208646,1048.44865189154,2.39679527947546e-13,1.51136050756875e-10
"13631",6325,"Eef2k",2.94781019005922,6.22869431449948,1047.36690487907,2.41200208676787e-13,1.51136050756875e-10
"14081",3891,"Acsl1",5.90765047594544,9.32075810422798,1017.09730287029,2.88657704734572e-13,1.7391626710258e-10
"217944",3987,"Rapgef5",4.03177042027654,5.964435959436,990.779252651574,3.38982592047356e-13,1.9667267794155e-10
"64297",4525,"Gprc5b",4.5921926725888,6.39596237859489,938.359451694312,4.72713533068464e-13,2.64466339125625e-10
"68263",1485,"Pdhb",2.98527821287286,6.80416281794105,932.155236998843,4.92260103876394e-13,2.65905328524956e-10
"21982",1896,"Tmem165",4.01588859080568,6.99751358234632,918.186661942699,5.39889174010052e-13,2.81912130362249e-10
"12683",1164,"Cidea",8.29510707865317,7.92630444155652,918.949582392938,5.63341955847617e-13,2.81957529127435e-10
"20249",4837,"Scd1",6.03807035038458,12.0014486910052,908.523773323065,5.75974524869322e-13,2.81957529127435e-10
"14183",5346,"Fgfr2",-3.94800479929901,7.3879114193996,878.827795664216,7.05839430910204e-13,3.31764635819947e-10
"12613",2039,"Cel",5.38293313375725,9.27213869500505,872.095105921007,7.39945772781525e-13,3.31764635819947e-10
"30878",3148,"Apln",7.39438004380418,5.67673622024589,865.499771941992,7.77022457293926e-13,3.31764635819947e-10
"60525",2833,"Acss2",4.28011413896549,5.10675289807207,863.897313286496,7.83852336076759e-13,3.31764635819947e-10
"100705",8485,"Acacb",5.98243826468935,6.58471559344213,863.36383699199,7.86833457539313e-13,3.31764635819947e-10
"14623",2476,"Gjb6",6.14427501162635,4.86261544369657,869.243751013795,8.33500601068653e-13,3.31764635819947e-10
"214523",2267,"Tmprss4",4.18552117805226,5.31218893438182,603.99544695988,8.37858514117145e-13,3.31764635819947e-10
"235339",4035,"Dlat",3.35058591223012,6.93133349035968,852.26376627559,8.51362986188289e-13,3.31764635819947e-10
"66427",4294,"Cyb5b",3.20671286903421,7.10428560698746,846.506049613368,8.87364161256402e-13,3.31764635819947e-10
"20512",4206,"Slc1a3",7.56015447914377,3.65533541965321,854.496063280996,8.89506205198709e-13,3.31764635819947e-10
"66270",3346,"Retreg1",3.06949720304121,7.59037230782126,828.838058113711,1.00939751964502e-12,3.67725863842772e-10
"56072",2755,"Lgals12",3.80293531157916,4.90172123007884,812.398703845248,1.14435881934828e-12,4.0100183357886e-10
"52710",2700,"Slc52a2",3.85019668241095,5.29260187590774,810.740023095502,1.15547185022306e-12,4.0100183357886e-10
"100041649",398,"Mpc1-ps",3.25721597266498,5.18780888111084,808.203693384458,1.17753490868992e-12,4.0100183357886e-10
"15903",953,"Id3",-5.05978927452745,5.10119242061893,790.254005345455,1.35367860174502e-12,4.51178197794378e-10
"66885",3348,"Acadsb",2.6792184463918,6.48263679071541,784.500131342885,1.4120462923483e-12,4.60827191034087e-10
"76113",2927,"Lpo",8.77477668403521,4.8730152773395,765.84954171768,1.676344344305e-12,5.19260420138277e-10
"110935",1927,"Atp6v1b1",-6.17825596096374,5.79521491004792,535.897504893665,1.68214994237959e-12,5.19260420138277e-10
"76267",3460,"Fads1",3.99173192071672,9.35266178163288,761.695581913041,1.69053823345369e-12,5.19260420138277e-10
"14104",9938,"Fasn",5.241922970421,11.0629278068483,740.396320593894,2.00980139903428e-12,5.99104228672413e-10
"14618",1497,"Gjb1",6.62305571829486,2.64114251838144,665.994788979545,2.03848608224319e-12,5.99104228672413e-10
"13132",4631,"Dab2",5.98562392709255,8.22704629802164,737.102202117885,2.0652172581111e-12,5.99104228672413e-10
"20832",804,"Ssr4",2.6371928895559,7.30935662946526,732.661536813951,2.14271821151987e-12,6.01558540290906e-10
"27205",5330,"Podxl",-3.84410571112205,6.67465444583565,732.249997850126,2.15048057812261e-12,6.01558540290906e-10
"67547",3707,"Slc39a8",6.46216744094319,5.0766589174643,728.344738424659,2.22501210265488e-12,6.11487975229626e-10
"432466",1550,"Gm5424",3.57478759245788,4.78912260388032,720.172365355775,2.38222924798405e-12,6.27525965314254e-10
"18563",4272,"Pcx",4.67472334673866,8.4566073049672,720.031991232155,2.38247156941372e-12,6.27525965314254e-10
"107350",775,"AW112010",-4.54962343915244,3.64621580597025,723.874568569195,2.42979606549297e-12,6.27525965314254e-10
"13447",4245,"Doc2b",3.65804223059891,5.0398601330251,716.063988834733,2.47372981000867e-12,6.27525965314254e-10
"224617",8053,"Tbc1d24",3.58546306857159,5.16973348656447,713.188422397316,2.52548013548144e-12,6.27525965314254e-10
"544998",657,"Gm16440",9.2534824146778,0.955620938191999,485.132931502542,2.56789069674136e-12,6.27525965314254e-10
"68603",1506,"Pmvk",3.06796874112784,5.30651903364575,710.814406925572,2.5770209980927e-12,6.27525965314254e-10
"67213",3352,"Cmtm6",3.14551878655792,8.41460192215523,709.604421441116,2.60384217972719e-12,6.27525965314254e-10
"26357",2491,"Abcg2",5.19430044643284,7.28476746730853,699.222504377309,2.84856568650739e-12,6.76102749683913e-10
"20856",1793,"Stc2",-3.19585654721574,6.11360623623261,691.588516240972,3.04703006130465e-12,6.95741839313817e-10
"13491",1336,"Drd4",8.70109566054745,3.49547656644503,706.08510249641,3.0571890313584e-12,6.95741839313817e-10
"104112",4427,"Acly",4.24375969339237,9.88226086977557,690.881974718929,3.0645507125856e-12,6.95741839313817e-10
"26366",1050,"Ceacam10",4.12021511544955,4.96964092698509,668.350617163334,3.15984711671555e-12,7.07128644047845e-10
"12993",920,"Csn1s2a",8.81991763613992,15.5178724798732,683.739400979973,3.26501820700867e-12,7.1240540544839e-10
"17341",3494,"Bhlha15",5.06572247739628,4.09660954996011,685.163167572711,3.27438169117677e-12,7.1240540544839e-10
"69121",1520,"Chrdl2",8.2719353733468,7.13156143733422,686.384267543442,3.34780370282723e-12,7.18401986366966e-10
"53322",1736,"Nucb2",3.40671997344157,6.61928954669964,678.793920830123,3.41271654791884e-12,7.22435198961468e-10
"14711",1032,"Gnmt",4.85677407171826,3.15272359145383,671.876180484038,3.63887593616092e-12,7.52065991918122e-10
"23794",8104,"Adamts5",7.0101128031366,5.02774079397886,670.467767149003,3.6850176546274e-12,7.52065991918122e-10
"27224",4592,"Eloa",2.5061162689367,7.12182881688213,669.552291930028,3.70943690340247e-12,7.52065991918122e-10
"71690",2103,"Esm1",-6.1966938311256,3.42111391363394,608.462525258211,3.74472693071264e-12,7.52065991918122e-10
"55951",907,"Mpc1",3.36395669045684,5.90090820572289,664.226168261382,3.8943096039098e-12,7.7090827369009e-10
"18405",768,"Orm1",8.84568645285149,3.01813339622528,625.458813731346,3.93697171370617e-12,7.7090827369009e-10
"16443",19459,"Itsn1",2.88583295532326,6.40248488301298,655.695887981726,4.21301665764144e-12,8.14776616567324e-10
"54120",1264,"Gipc2",-4.90625659438263,3.51683808672075,659.584123467891,4.28575954543917e-12,8.18736869259812e-10
"16591",5118,"Kl",8.49000273054732,1.21348950126514,433.654796144134,4.3869895364985e-12,8.2351530710018e-10
"110135",1575,"Fgb",-6.22151525161072,3.94793659662228,545.241093526285,4.41591355227674e-12,8.2351530710018e-10
"225908",5597,"Myrf",4.56242361291912,2.4506646504356,630.347732621896,5.75791293834429e-12,1.06114948446074e-09
"192166",4558,"Sardh",2.98913541534473,5.11136118751513,617.358248283531,6.07829708420991e-12,1.10716888167614e-09
"110460",2076,"Acat2",3.09454907653756,4.88941503955974,609.908387131534,6.54378216597022e-12,1.17825686930946e-09
"14555",2786,"Gpd1",3.87898446386263,7.46354676980449,608.128694955152,6.6629303920099e-12,1.18607732489585e-09
"68159",1188,"Stx19",5.12000371625673,2.69207633952194,613.15874529074,6.87737588833182e-12,1.20060051259982e-09
"667742",10724,"Piezo2",-6.82521501038794,4.06266409778343,606.236517040993,7.01038441523494e-12,1.20060051259982e-09
"21835",1038,"Thrsp",9.43715511119121,8.63004093263545,603.985223331788,7.02660164032478e-12,1.20060051259982e-09
"74315",7020,"Rnf145",2.35351559802159,6.88409454126179,602.455800612935,7.0510850404841e-12,1.20060051259982e-09
"56078",3449,"Car5b",4.5288180840915,5.08713050794651,600.682513005304,7.18220490926005e-12,1.20977677315654e-09
