"","Length","Symbol","logFC","logCPM","F","PValue","FDR"
"211577",2006,"Mrgprf",5.61229096127789,2.75210772086906,562.779815574542,1.72473741582053e-13,2.70180116188286e-09
"66957",1699,"Serpinb11",-10.5617274143996,3.0046647953846,651.221209503749,4.91689583568186e-13,3.85115866329782e-09
"14663",625,"Glycam1",7.80071672622135,14.4907024280579,713.153682889828,2.52645315266695e-12,1.31922962121759e-08
"211323",2103,"Nrg1",3.83354985845087,6.90066859365841,600.535054855776,7.65751375089298e-12,2.07328407710383e-08
"14585",3224,"Gfra1",-3.01481249715522,2.74248089406399,391.917295235289,7.75346331693839e-12,2.07328407710383e-08
"12709",1478,"Ckb",3.16262190843597,7.17285271478088,564.344123757742,1.05569943634576e-11,2.07328407710383e-08
"268723",2791,"A830039N20Rik",2.7442731406156,2.89535134480674,277.412829916799,1.35974888154338e-11,2.07328407710383e-08
"24050",4731,"Septin3",3.28768507460663,4.59782027472432,514.291231810996,1.37310698396005e-11,2.07328407710383e-08
"12992",765,"Csn1s2b",8.63667364956524,10.1924228457305,525.692686256545,1.59998511582641e-11,2.07328407710383e-08
"14160",4711,"Lgr5",-5.84300587751915,4.29056853971863,332.38525421859,1.70748873132e-11,2.07328407710383e-08
"66198",1251,"Them5",-4.80799682655755,1.76032276018514,327.828037557587,1.93938314491275e-11,2.07328407710383e-08
"17967",9437,"Ncam1",3.36945535132724,3.97218964257183,379.738140779678,1.94070877781154e-11,2.07328407710383e-08
"108760",3920,"Galnt16",-3.85945505456758,3.38535426267812,376.571297423939,2.04050698897357e-11,2.07328407710383e-08
"12373",2461,"Casq2",4.23382649682556,5.46464437832231,387.631037925052,2.15616724130042e-11,2.07328407710383e-08
"20271",8547,"Scn5a",-4.51571214167236,4.61169258946451,372.561425862693,2.17548641121237e-11,2.07328407710383e-08
"13400",2761,"Dmpk",4.3884801961654,6.66654727907142,498.765180792578,2.21746191272799e-11,2.07328407710383e-08
"12993",920,"Csn1s2a",7.30428367868966,15.5178724798732,497.561262357857,2.24997314463869e-11,2.07328407710383e-08
"381290",8292,"Atp2b4",2.71177251775488,6.15322675392502,479.201537813181,2.83972313633666e-11,2.47134794059521e-08
"21953",667,"Tnni2",7.55556988909469,3.86618432828525,468.44839081516,3.21047427978669e-11,2.64695155751887e-08
"14621",1445,"Gjb4",-5.37528670798276,5.54790631600119,324.169748568241,5.45605325044416e-11,4.23975321942064e-08
"11513",6330,"Adcy7",-5.18268492950127,3.17162140019837,430.595582172926,5.68367811093735e-11,4.23975321942064e-08
"16531",7827,"Kcnma1",2.81018763652892,4.83368580281328,374.479807250965,7.17267899729211e-11,5.00357258762246e-08
"15903",953,"Id3",-2.68939586402634,5.10119242061893,409.148263038182,7.34645193203425e-11,5.00357258762246e-08
"16835",4534,"Ldlr",2.28301629226543,7.78643296723291,392.395721016535,9.43069684523978e-11,6.15549442002838e-08
"22373",562,"Wap",8.88472481560097,14.0621611204813,387.609334390769,1.01634092647292e-10,6.36839224527934e-08
"56747",6080,"Sez6l",2.87571823063065,3.96338633957628,272.592067178891,1.07435498478567e-10,6.47298878333365e-08
"14119",10480,"Fbn2",-3.05728289070615,4.04911638450398,363.192055805659,1.12202189966076e-10,6.50980483636513e-08
"226041",7981,"Pgm5",3.04896703432862,8.28354752437467,367.407917018278,1.40166703835005e-10,7.84182648419767e-08
"231440",2100,"Parm1",-3.09412166307641,4.24240801311775,333.722634141261,2.49377329357537e-10,1.34706753944338e-07
"791275",2209,"Gm9885",3.46200007329112,1.68711444324153,260.257706245541,2.87477378342679e-10,1.44028836666316e-07
"18795",7116,"Plcb1",2.4946226398997,5.84970952690239,324.604781200895,2.94264132722803e-10,1.44028836666316e-07
"14115",4477,"Fbln2",-3.68618689658766,6.44777451492269,323.688060239477,2.99384054219473e-10,1.44028836666316e-07
"72293",3222,"Nkd2",-3.13823438956232,2.89828779426934,246.728428871346,3.03412167889463e-10,1.44028836666316e-07
"12554",2290,"Cdh13",2.01233330920367,6.4514674887045,316.339287525455,3.43800056257706e-10,1.58400820037558e-07
"16533",4188,"Kcnmb1",2.23942010518942,5.40751901512702,284.361562157035,3.8020876804395e-10,1.68596284773968e-07
"20482",6717,"Skil",-2.5467214042189,8.74410230500338,309.99704640007,3.87453957986777e-10,1.68596284773968e-07
"118449",7116,"Synpo2",3.38038310162597,7.5193845030814,304.84602578616,4.29382019570246e-10,1.76630002928927e-07
"65256",2690,"Asb2",2.43539596060561,5.0635133859474,278.655304351181,4.30020088199094e-10,1.76630002928927e-07
"233765",4312,"Plekha7",-2.36183880143941,4.75817899790078,302.631418990823,4.47314326883286e-10,1.76630002928927e-07
"101351",3205,"Eogt",1.9830654561516,7.38568877111497,301.083585912329,4.61233350613463e-10,1.76630002928927e-07
"71874",2362,"Mab21l4",-7.88977395563384,2.11550203892352,188.819888076384,4.62293655926333e-10,1.76630002928927e-07
"110253",7736,"Triobp",2.21100049005749,5.77467016049371,297.536186926774,4.94950875085777e-10,1.8460489186235e-07
"20347",3436,"Sema3b",-4.22827860943529,3.47614790340423,294.123325698769,5.55459375139824e-10,1.96113351542926e-07
"76263",930,"Gstk1",2.74819952636358,4.22692288729143,291.62235932133,5.57947156087251e-10,1.96113351542926e-07
"19143",4017,"St14",-2.43527221265414,8.04479939030098,291.140654065267,5.63364239989253e-10,1.96113351542926e-07
"228413",2846,"Prrg4",-4.01756619535414,4.48195004593337,290.099813913405,5.75906344646849e-10,1.96121149758541e-07
"68458",531,"Ppp1r14a",2.96506503911916,4.45701251154968,278.026733888624,5.97873088031109e-10,1.98753048102985e-07
"20607",3928,"Sstr3",-3.5061868854733,0.554699849564947,183.805837527584,6.09010297410997e-10,1.98753048102985e-07
"252837",2109,"Ackr4",3.21549065958121,5.3669355090604,225.532474073219,6.46334864451882e-10,2.06629299013035e-07
"12654",1689,"Chi3l1",-3.24636368012777,6.94487584349565,279.548474171954,7.17698398317204e-10,2.22179283763444e-07
"11636",2365,"Ak1",-3.35640512366084,6.45719465300866,280.475580759867,7.23341428147824e-10,2.22179283763444e-07
"94217",14743,"Lrp1b",3.72023768279755,2.35645955578036,199.847088789122,7.62465618962929e-10,2.2568261024408e-07
"19017",6495,"Ppargc1a",4.32755232181566,3.57110935791262,277.689050832031,7.63560698559606e-10,2.2568261024408e-07
"14077",640,"Fabp3",3.93837649268102,9.29738199799852,274.932294449849,7.92813145931002e-10,2.29989220944614e-07
"20198",499,"S100a4",2.82625364656848,2.72309918399677,210.871622644372,8.17760391725914e-10,2.3219776283793e-07
"27361",886,"Msrb1",2.11310151461731,7.05860868523466,272.780593520312,8.30071798207729e-10,2.3219776283793e-07
"100039795",8260,"Ildr2",-3.79117674082647,1.81406478333929,213.256475210117,8.64797804763661e-10,2.3766767739689e-07
"11790",11933,"Speg",2.00784176579097,6.01583856570149,266.911069880901,9.45815082930992e-10,2.55451608174379e-07
"21367",9535,"Cntn2",-3.89425964841114,4.28092235807624,222.110230139679,9.97436244456102e-10,2.64069680846006e-07
"67702",2434,"Rnf149",-1.64833731923083,6.5069306948661,263.368188951514,1.02253096346724e-09,2.64069680846006e-07
"241230",3161,"St8sia6",-3.70992228078061,2.67846512456047,264.34601918316,1.04374974418056e-09,2.64069680846006e-07
"170761",2181,"Nherf4",3.46778909982807,1.81517817026805,257.26062122391,1.0451529021674e-09,2.64069680846006e-07
"14114",3359,"Fbln1",-2.38007941733007,3.38289902258208,262.11715704105,1.10131560027903e-09,2.73842998069382e-07
"11421",5102,"Ace",-2.5719138177041,5.25863959127429,257.863936889441,1.15908475832967e-09,2.79644766575935e-07
"22420",2068,"Wnt6",2.02055876974041,5.06851691334487,222.871556202391,1.16035172853085e-09,2.79644766575935e-07
"240354",5008,"Malt1",-1.96403511191571,5.51804236502929,256.178329774084,1.20499541868026e-09,2.81414314491585e-07
"16008",1330,"Igfbp2",2.6949919092113,8.68184244101257,254.847848811241,1.24912101962872e-09,2.81414314491585e-07
"93843",1676,"Pnck",2.91455890905315,5.07979189828444,255.607786338337,1.25064239765941e-09,2.81414314491585e-07
"14620",1922,"Gjb3",-3.34823535641563,5.50821099161047,248.49297554056,1.27250638618211e-09,2.81414314491585e-07
"11468",1315,"Actg2",2.63943716099884,7.91538077555754,254.757928625398,1.29532048775884e-09,2.81414314491585e-07
"12991",1120,"Csn2",6.34059111274405,15.3296016001632,253.05553412192,1.2958017850739e-09,2.81414314491585e-07
"233335",7866,"Synm",3.42490453198527,8.36443968179596,252.836027331625,1.30474008447323e-09,2.81414314491585e-07
"328561",1986,"Apol10b",2.11737421631232,3.96284374955226,253.354790937845,1.31818777810103e-09,2.81414314491585e-07
"27205",5330,"Podxl",-2.3780170072073,6.67465444583565,251.969851215056,1.32937499344892e-09,2.81414314491585e-07
"13527",6588,"Dtna",3.13126869108359,5.00625224956904,250.642194504772,1.4300602074725e-09,2.91287491877995e-07
"68859",3442,"Smim1",3.1438625706176,4.05060421424623,248.448679242091,1.44510974220751e-09,2.91287491877995e-07
"71566",2929,"Clmp",2.42804207202978,5.57668275018739,248.445064314238,1.44891533384483e-09,2.91287491877995e-07
"17181",3520,"Matn2",3.81829450865615,7.32408785950402,248.613098782068,1.45039415042985e-09,2.91287491877995e-07
"27206",6604,"Nrk",3.84062153096745,1.81104266818136,229.497922390103,1.53009352700512e-09,3.01319277378168e-07
"18019",8348,"Nfatc2",2.76999066576047,7.24286942162962,245.829835253963,1.53881533292393e-09,3.01319277378168e-07
"20130",946,"Rras",1.68808947668627,6.26138372623465,244.96160200139,1.57081580373834e-09,3.01705161533791e-07
"98170",3489,"Tmem132a",1.7768834509456,7.97280126811995,244.73673236261,1.57930566522636e-09,3.01705161533791e-07
"12632",2940,"Cfl2",1.80250168229002,6.31041033082975,243.955823404887,1.60944426832559e-09,3.03758367027957e-07
"26903",7056,"Dysf",2.08778476752279,5.14307458966692,243.309683810125,1.64268030723159e-09,3.05537968183059e-07
"12990",1416,"Csn1s1",5.02038072703742,15.1376511943172,242.73541885235,1.65788236805363e-09,3.05537968183059e-07
"110935",1927,"Atp6v1b1",-8.49660344465397,5.79521491004792,189.454444894643,1.72522915541574e-09,3.1425249673939e-07
"100470",1958,"Lao1",7.44048176422744,11.3346200250741,239.107559128274,1.83369239070677e-09,3.25256378994903e-07
"16763",2992,"Lad1",-2.47154646607967,4.95038195981402,238.468237716524,1.841711696082e-09,3.25256378994903e-07
"259300",3058,"Ehd2",2.44400313887427,8.0098361738952,238.331053331501,1.84792963488965e-09,3.25256378994903e-07
