"","Length","Symbol","logFC","logCPM","F","PValue","FDR"
"211577",2006,"Mrgprf",5.14598683927246,2.75210772086906,510.493019180076,3.5675596978126e-13,5.58858226662343e-09
"12992",765,"Csn1s2b",6.08336450351318,10.1924228457305,427.735371747329,5.56940052763685e-11,3.50243309768599e-07
"24117",2242,"Wif1",-1.8229263364115,6.77404081289167,311.236154088266,7.31846977605367e-11,3.50243309768599e-07
"140474",11281,"Muc4",-7.17686698088365,6.06251112855098,300.888736802275,8.94333379555949e-11,3.50243309768599e-07
"21953",667,"Tnni2",5.75338848070203,3.86618432828525,377.798173402139,1.1745550436828e-10,3.67988095185821e-07
"78896",888,"Ecrg4",-2.80806946236515,6.69008464758178,248.399529917639,3.18079833860858e-10,7.13890851771738e-07
"381290",8292,"Atp2b4",2.14173870146075,6.15322675392502,313.881065580605,3.61342953812867e-10,7.13890851771738e-07
"226101",7094,"Myof",2.32041430679671,6.44988981394608,311.761395092661,3.74542939458257e-10,7.13890851771738e-07
"14621",1445,"Gjb4",-4.54233179838366,5.54790631600119,238.839495267909,4.10151143692668e-10,7.13890851771738e-07
"14585",3224,"Gfra1",-2.26792447826731,2.74248089406399,209.124748178768,5.77284540011569e-10,7.94437403988351e-07
"12740",1812,"Cldn4",-5.32308021500445,9.87836657624822,289.87755184803,5.7839494380825e-10,7.94437403988351e-07
"14620",1922,"Gjb3",-3.5831872061759,5.50821099161047,281.068851727217,6.08569987096087e-10,7.94437403988351e-07
"231830",3346,"Micall2",-2.25265199295187,5.19232948823275,280.561807038422,7.0230173327193e-10,8.46273588592676e-07
"16012",1289,"Igfbp6",2.86738898609126,3.68345415011563,259.146814435959,1.14694512127604e-09,1.28334966605637e-06
"170761",2181,"Nherf4",3.32372977105987,1.81517817026805,237.562202030461,1.68110748054207e-09,1.6581412673891e-06
"231991",2873,"Creb5",2.57227660909869,4.8754406009211,241.892999905981,1.69360103914622e-09,1.6581412673891e-06
"55987",3506,"Cpxm2",1.51268986046814,6.00844156660561,233.154839972078,2.26533762897717e-09,2.08744199752514e-06
"16669",1375,"Krt19",2.29701677527242,9.6239606768576,219.827090551466,2.97534734406313e-09,2.51037463505613e-06
"74747",1685,"Ddit4",-2.1740580169778,7.16420342071795,218.966646477014,3.044820814942e-09,2.51037463505613e-06
"50786",4286,"Hs6st2",-1.75564227919235,3.96004190308777,143.202075315776,3.34860851462793e-09,2.62279761908233e-06
"16878",4040,"Lif",-3.71585513214598,7.75673030503623,204.721160712574,4.52060837078898e-09,3.3721585775433e-06
"67111",2424,"Naaa",2.54181866461198,3.74006514176786,193.071485146809,6.37201239244847e-09,4.34058464954818e-06
"11636",2365,"Ak1",-2.73382154531372,6.45719465300866,193.841305591541,6.3730256584493e-09,4.34058464954818e-06
"228413",2846,"Prrg4",-3.30306144762215,4.48195004593337,188.102629875279,7.42237162346232e-09,4.84464381173072e-06
"20482",6717,"Skil",-1.88743404930253,8.74410230500338,177.892950460673,1.02689264794112e-08,6.43450933199907e-06
"17131",4441,"Smad7",-1.96866696335693,7.26482202274781,175.058034833352,1.12748906952246e-08,6.79312164387284e-06
"20317",1494,"Serpinf1",-1.71355002984185,5.0325941083924,173.397273926803,1.19359715425675e-08,6.92507385978964e-06
"194126",2812,"Mtmr11",1.70868710841906,3.57628492380567,170.416806683225,1.32315271577978e-08,7.32254268886736e-06
"217166",2627,"Nr1d1",-2.3039682641238,6.45524405606593,169.589038784354,1.355593603429e-08,7.32254268886736e-06
"73847",2119,"Fam110a",-1.47731903983135,7.07311350981027,168.047604748192,1.4293022107576e-08,7.46333971050596e-06
"21827",3183,"Thbs3",3.42776692541264,3.45065421902905,167.041669394426,1.4827947360717e-08,7.49289662598812e-06
"16763",2992,"Lad1",-2.09998637815211,4.95038195981402,165.970983668021,1.5365122486998e-08,7.52170761746322e-06
"101612",1902,"Grwd1",-1.99386623948887,4.91280387711031,158.896208394853,1.97643309446796e-08,9.12871252789037e-06
"20319",2001,"Sfrp2",-3.40824802530837,3.27880975699544,158.846859073161,1.98133562686417e-08,9.12871252789037e-06
"12977",4422,"Csf1",-2.83065136456835,8.17922463523189,154.750447467455,2.30201684451592e-08,1.00889993067644e-05
"12654",1689,"Chi3l1",-2.34058830365389,6.94487584349565,154.375600835942,2.33487171011108e-08,1.00889993067644e-05
"60599",5430,"Trp53inp1",1.25471307874526,6.56431170060617,153.535167781062,2.40904561002812e-08,1.00889993067644e-05
"170770",1976,"Bbc3",-2.49886030050507,4.36527684670343,153.119663451488,2.44737934029395e-08,1.00889993067644e-05
"14299",4036,"Ncs1",-2.19444046190229,3.70485488871053,149.903912677268,2.8233151665529e-08,1.13403159189875e-05
"79362",1421,"Bhlhe41",-1.78530757026201,6.7676154906714,145.551811192852,3.27526938241032e-08,1.25413617472652e-05
"108897",2953,"Aif1l",-1.73507487005085,3.20207024596375,140.814805954889,3.28245024984278e-08,1.25413617472652e-05
"12739",1263,"Cldn3",-2.33449350542171,6.90637869137373,142.797594823752,3.65560512931266e-08,1.36345367501626e-05
"66234",1824,"Msmo1",2.03653414437646,4.95727221042305,142.079182099321,3.76184542306648e-08,1.37044903610085e-05
