"","Length","Symbol","logFC","logCPM","F","PValue","FDR"
"100041311",1306,"Gm11978",-24.0382359353733,-1.96863602750746,6885.14008660829,6.8999910162289e-26,1.08088359269226e-21
"246691",414,"Prok1",-24.5571202123522,-1.67828806436415,6816.73448046154,6.13969844287567e-25,4.80891880538237e-21
"18784",2275,"Pla2g5",-19.8259196461681,-1.54807879905247,5617.33095804461,2.13891803526356e-24,1.11687170074679e-20
"270109",7212,"Pcnx2",-20.1421615440619,-1.637714525284,7376.78593387779,3.77621700899797e-24,1.47886098614883e-20
"239857",9564,"Cadm2",-24.5567771854123,-2.15299225666817,5145.41264829182,7.0389530411936e-24,1.90400016259943e-20
"68127",1189,"B230217C12Rik",-24.5571202123522,-0.0553502578453522,9951.05609602696,7.29269133456532e-24,1.90400016259943e-20
"14917",3936,"Gucy2c",-24.038577574899,-1.87064501308435,5263.70240856749,2.44075372003768e-23,5.11976655410436e-20
"72632",587,"Smim18",-25.3750425294028,-2.24263128350961,5112.03761118533,2.61462703050334e-23,5.11976655410436e-20
"14545",3938,"Gdap1",-23.6576683493638,-1.47550623577332,7952.79246355528,3.01055883505717e-23,5.24004490568561e-20
"74092",1349,"Tbc1d22bos",-23.357563402111,-1.73163073968753,4683.66860543797,4.2066103616769e-23,6.15966302865209e-20
"239845",4584,"Gpr156",-21.1618049441851,-2.10898769307379,5125.00673344393,4.32532992755653e-23,6.15966302865209e-20
"319829",4025,"9330154K18Rik",-23.1074978800913,-2.05667330573128,8449.32995562949,4.87613559752576e-23,6.36538867793676e-20
"68169",4684,"Ndnf",-24.5571202123522,-1.80539074087795,6178.57836538321,5.40904121051949e-23,6.51789465867599e-20
"12879",1838,"Cys1",-24.5571202123522,-0.875356940146929,5803.33417364187,8.10203836361789e-23,9.06560221186244e-20
"12796",599,"Camp",-25.3750425294028,-1.86133783604284,8057.63053269177,9.39382456199323e-23,9.81028411757493e-20
"68692",1341,"1110028F18Rik",-25.3750425294028,-1.61059486049446,5568.02971825896,1.27925257924075e-22,1.18821557476489e-19
"666706",615,"Gm8246",-27.4497800221527,-1.70690191324851,4830.14941698001,1.33570179433924e-22,1.18821557476489e-19
"69428",749,"Spmip3",-20.5433259339252,-1.29783530718054,4976.51887124252,1.36532909963409e-22,1.18821557476489e-19
"75172",3389,"Ccdc146",-24.5571202123522,-1.89397664362677,6684.04503404453,1.53805414699669e-22,1.26808516908964e-19
"18988",2522,"Pou2f3",-20.7516739434792,-1.98295657099598,4521.94295230295,1.72426941530797e-22,1.34584776970497e-19
"19289",3146,"Igdcc3",-20.7962639455856,-1.56667906506866,8935.09687189855,1.8042006488225e-22,1.34584776970497e-19
"72112",742,"Ppp1r14d",-20.5820675377583,-1.30711465784009,4904.82152598732,1.91089929466451e-22,1.36064715685998e-19
"12296",4450,"Cacnb2",-24.557463159238,-1.62105475372942,4975.03130852659,2.12469947257965e-22,1.39268801926859e-19
"12260",1062,"C1qb",-24.5567771854123,-1.99934487745718,3637.95683219122,2.13370650893368e-22,1.39268801926859e-19
"268723",2791,"A830039N20Rik",-24.5571202123522,2.89535134480674,6278.66263796524,2.37748481449834e-22,1.48973198476466e-19
"71664",1227,"Tmt1b",-25.3746981844612,-1.91398716916469,5899.85332409535,2.5651632383298e-22,1.5455108510937e-19
"73234",462,"Snorc",-18.3440596118974,-0.372378291513479,3360.32873455469,3.15555706568382e-22,1.83080746051619e-19
"18300",1251,"Fam3d",-24.038577574899,-1.37816776601525,3740.45812410669,3.76056482839024e-22,1.98509803032926e-19
"104080",1675,"Nxph4",-25.3750425294028,-0.777869650171364,4724.36258993348,3.78302110018121e-22,1.98509803032926e-19
"791284",1338,"Gm10152",-24.5571202123522,-1.92668547307202,6576.63431366873,3.80165597892612e-22,1.98509803032926e-19
"241112",2101,"Catip",-25.3746981844612,-1.11722023155337,4766.60095879048,4.31738830857784e-22,2.13275770409298e-19
"214305",2605,"Hhipl1",-25.3746981844612,-1.32263767208394,4220.46357154863,4.38914442316904e-22,2.13275770409298e-19
"72022",2568,"Slc35f2",-20.6228114960053,-1.68862185275407,4894.37812742456,4.56509241710882e-22,2.13275770409298e-19
"66473",887,"Ctrb1",-25.3750425294028,-1.83762827634678,4742.05971285348,4.64107117517748e-22,2.13275770409298e-19
"71206",1673,"Katnal2",-21.2859821955503,-2.00072229464388,6248.1970437741,4.7651784004631e-22,2.13275770409298e-19
