"","Length","Symbol","logFC","logCPM","F","PValue","FDR"
"19041",6277,"Ppl",-4.62309851175502,6.96979511092657,511.195617925135,1.91015700988022e-11,2.99226095597736e-07
"20512",4206,"Slc1a3",5.02909014945747,3.65533541965321,427.151218366391,5.93365071637915e-11,3.20202203181633e-07
"231991",2873,"Creb5",-5.61392258206424,4.8754406009211,421.531703920741,6.13218391027704e-11,3.20202203181633e-07
"67547",3707,"Slc39a8",6.18918838680052,5.0766589174643,386.607667955618,1.03264170475889e-10,4.0013554420823e-07
"217294",1952,"BC006965",-3.87926932296975,4.68361710540637,373.116859210224,1.27716420111149e-10,4.0013554420823e-07
"13358",1678,"Slc25a1",3.46653259519781,7.50235931402903,349.145982808075,1.90181092148939e-10,4.22968008537301e-07
"14598",2022,"Ggt1",3.17563711107857,6.38394013627205,346.44276174166,1.99251771279946e-10,4.22968008537301e-07
"19659",2628,"Rbp1",-4.39432682802477,6.82960010631744,341.824131397184,2.16006643364086e-10,4.22968008537301e-07
"192166",4558,"Sardh",2.92117527471738,5.11136118751513,334.936077842614,2.43952206288671e-10,4.24612367945781e-07
"20440",4836,"St6gal1",3.3493475672143,7.61184792171493,301.452741847387,4.57804321111997e-10,7.17150469021944e-07
"14063",2768,"F2rl1",-3.91864275224837,5.61901764048631,289.978950361636,5.77018241058703e-10,8.21726431471326e-07
"74127",1774,"Krt80",-4.45263106451918,4.29779769861695,281.586182024597,6.87963045811879e-10,8.93942934278428e-07
"12023",1791,"Barx2",-3.65214898845489,4.55148500516044,278.00152898614,7.41861356247658e-10,8.93942934278428e-07
"16669",1375,"Krt19",-3.53477792422703,9.6239606768576,271.738484753431,8.49166151857895e-10,9.50156269203852e-07
"24059",4033,"Slco2a1",4.33461636075018,7.87893179146153,260.469415021697,1.09194461387331e-09,1.09962275173605e-06
"56072",2755,"Lgals12",3.87674383519435,4.90172123007884,254.573701725711,1.25327752725529e-09,1.09962275173605e-06
"68801",2781,"Elovl5",2.43617648507338,7.21705367831781,253.607592127602,1.27915592242883e-09,1.09962275173605e-06
"319710",4662,"Frmd6",-3.84118828272706,7.82352496780063,250.778489412844,1.36709323983585e-09,1.09962275173605e-06
"11988",7857,"Slc7a2",3.65413053958845,6.65085027784328,250.240250824119,1.38457066136283e-09,1.09962275173605e-06
"110596",6259,"Arhgef28",-4.7784889927116,4.53125322287852,249.009879050905,1.42685684387888e-09,1.09962275173605e-06
"13824",3853,"Epb41l4a",-2.67803701997268,4.93589614861476,247.607166249387,1.47411923309652e-09,1.09962275173605e-06
"53381",975,"Prdx4",2.42415854164838,6.74833848158243,243.054205863176,1.64506954895433e-09,1.10708312616023e-06
"116873",4910,"Stim2",2.4547282616033,5.37973370225134,242.559554301266,1.66501988882553e-09,1.10708312616023e-06
"98170",3489,"Tmem132a",-2.56841703746969,7.97280126811995,241.800910441948,1.69613756960393e-09,1.10708312616023e-06
"213006",4853,"Mfsd4a",2.877385128761,4.3604015164452,239.099725769057,1.81291268384886e-09,1.1359710876997e-06
"20832",804,"Ssr4",2.05160898971461,7.30935662946526,235.683551793629,1.9733942994063e-09,1.1889700653923e-06
"74747",1685,"Ddit4",3.13954810984875,7.16420342071795,231.549521620484,2.19067663779702e-09,1.27099813078112e-06
"13032",2472,"Ctsc",3.5141756619503,5.94958714243673,228.086897125157,2.39429267037433e-09,1.33952123862192e-06
"19012",1536,"Plpp1",3.51807354934019,4.99384189899057,224.237739999086,2.64927427872798e-09,1.37354682465762e-06
"74051",10871,"Steap2",2.9176844853943,4.94215276327538,222.21569536817,2.7923170175143e-09,1.37354682465762e-06
"209683",10780,"Ttc28",-3.94677981535097,6.44535461702595,221.416185588255,2.86171468694808e-09,1.37354682465762e-06
"100041678",875,"Gm3500",4.90062928921989,3.59132688671636,221.13336988646,2.88357857910397e-09,1.37354682465762e-06
"209588",1615,"Sectm1a",3.49957915574264,5.64489115039612,220.885149037453,2.89352347358453e-09,1.37354682465762e-06
"19270",9190,"Ptprg",-2.5001138052782,7.09120352656069,215.268153058154,3.36591769954976e-09,1.54018682068375e-06
"66120",736,"Fkbp11",2.92343126061015,6.85804125368011,214.462342164249,3.44120898333427e-09,1.54018682068375e-06
"80281",5000,"Cttnbp2nl",-3.41794268869838,6.39107486018054,211.307177137254,3.75398569551038e-09,1.63350516444917e-06
"18019",8348,"Nfatc2",-4.21654430074197,7.24286942162962,208.580915624591,4.05274678753479e-09,1.70173452862273e-06
"100705",8485,"Acacb",3.74240454837764,6.58471559344213,207.920023730842,4.12805056416622e-09,1.70173452862273e-06
"27224",4592,"Eloa",1.90448108803169,7.12182881688213,205.98017822863,4.36077493242133e-09,1.7227790785937e-06
"68337",1439,"Crip2",-2.42698448246241,7.25366474496964,205.559454645981,4.41339335105656e-09,1.7227790785937e-06
"76574",2151,"Mfsd2a",2.28218080418776,6.75489529833755,204.409995924158,4.56093984304086e-09,1.7227790785937e-06
"225358",3344,"Fam13b",-2.528906365802,6.89287738139631,203.154656561513,4.72868424987284e-09,1.7227790785937e-06
"23790",3436,"Coro1c",-3.0878238396462,5.14808610383804,203.164791613775,4.72898183080302e-09,1.7227790785937e-06
"13631",6325,"Eef2k",1.71196219913309,6.22869431449948,200.662683953325,5.08333475052927e-09,1.80172091884255e-06
