"","Length","Symbol"
"497097",3634,"Xkr4"
"100503874",3259,"Gm19938"
"100038431",1634,"Gm10568"
"19888",9747,"Rp1"
"20671",3130,"Sox17"
"27395",4203,"Mrpl15"
"18777",2433,"Lypla1"
"100503730",799,"Gm19860"
"21399",2847,"Tcea1"
"58175",2241,"Rgs20"
"108664",1976,"Atp6v1h"
"18387",4707,"Oprk1"
"226304",3692,"Npbwr1"
"12421",7046,"Rb1cc1"
"620393",858,"Alkal1"
"240690",6161,"St18"
"319263",5232,"Pcmtd1"
"71096",4193,"Sntg1"
"59014",2048,"Rrs1"
"76187",3139,"Adhfe1"
"72481",1246,"2610203C22Rik"
"76982",3187,"Vxn"
"17864",3564,"Mybl1"
"70675",5179,"Vcpip1"
"73331",1494,"1700034P13Rik"
"170755",5622,"Sgk3"
"620986",451,NA
"240697",2553,"Mcmdc2"
"73824",407,"Snhg6"
"266793",74,"Snord87"
"100038398",2646,NA
"100039596",501,"Tcf24"
"69312",1502,"Ppp1r42"
"26754",1240,"Cops5"
"211660",4354,"Cspp1"
"211673",7042,"Arfgef1"
"329093",1930,"Cpa6"
"109294",11187,"Prex2"
"320492",8293,"A830018L16Rik"
"329096",3200,"Gm17644"
"240725",4864,"Sulf1"
"240726",8512,"Slco5a1"
"383491",2593,"Prdm14"
"17978",8213,"Ncoa2"
"72265",2888,"Tram1"
"212442",1889,"Lactb2"
"381246",1926,"Xkr9"
"433273",1245,"Gm5523"
"14048",4345,"Eya1"
"17681",1717,"Msc"
"277328",4263,"Trpa1"
"98741",5309,"Kcnb2"
"21749",1633,"Terf1"
"226866",2748,"Sbspon"
"665434",572,"Gm7634"
"75799",717,"4930444P10Rik"
"19989",934,"Rpl7"
"98711",2295,"Rdh10"
"29819",2890,"Stau2"
"66799",2354,"Ube2w"
"67923",955,"Eloc"
"329101",2788,"D030040B21Rik"
"70397",1732,"Tmem70"
"17087",603,"Ly96"
"57339",4809,"Jph1"
"14545",3938,"Gdap1"
"94227",6923,"Pi15"
"83691",4006,"Crispld1"
"78081",1192,"Crisp4"
"654454",222,"Defb44-ps"
"654460",258,"Defb18"
"77673",469,"Defb41"
"654464",256,NA
"226896",1753,"Tfap2d"
"21419",6391,"Tfap2b"
"241035",12928,"Pkhd1"
"75028",786,"4930486I03Rik"
"387202",73,"Mir206"
"723817",119,"Mir133b"
"16171",1171,"Il17a"
"257630",1178,"Il17f"
"17215",2886,"Mcm3"
"77741",1120,"6720483E21Rik"
"74229",4420,"Paqr8"
"71877",2208,"Efhc1"
"170829",1409,"Tram2"
"75712",1112,"Tmem14a"
"14859",1450,"Gsta3"
"241041",1148,"Gm4956"
"368204",1950,"Khdc1a"
"433278",844,"Khdc1c"
"98582",2247,"Khdc1b"
"226922",6980,"Kcnq5"
"116837",4066,"Rims1"
"66755",1781,"Ppp1r14bl"
"387225",71,"Mir30a"
"723964",84,"Mir30c-2"
"70155",4844,"Ogfrl1"
"100503399",1522,"Gm19673"
"280645",4362,"B3gat2"
"98366",2259,"Smap1"
"68002",667,"Sdhaf4"
"68187",6467,"Fam135a"
"12839",3888,"Col9a1"
"12823",10542,"Col19a1"
"68421",5392,"Lmbrd1"
"210933",5522,"Adgrb3"
"100504323",1551,"Gm20172"
